shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
North, 38.356820, -81.639460, 1, 0.00
North, 38.356630, -81.639740, 2, 0.02
North, 38.355860, -81.638470, 3, 0.11
North, 38.355410, -81.637770, 4, 0.16
North, 38.355220, -81.637500, 5, 0.18
North, 38.354710, -81.636820, 6, 0.23
North, 38.354100, -81.636100, 7, 0.28
North, 38.353910, -81.635900, 8, 0.30
North, 38.353360, -81.635390, 9, 0.35
North, 38.352420, -81.634610, 10, 0.43
North, 38.352930, -81.633480, 11, 0.50
North, 38.353250, -81.632850, 12, 0.54
North, 38.353620, -81.632040, 13, 0.59
North, 38.353730, -81.632080, 14, 0.60
North, 38.354790, -81.632850, 15, 0.68
North, 38.354830, -81.632710, 16, 0.69
North, 38.354910, -81.632150, 17, 0.72
North, 38.354970, -81.632030, 18, 0.73
North, 38.354980, -81.631810, 19, 0.74
North, 38.355030, -81.631270, 20, 0.77
North, 38.355030, -81.631060, 21, 0.78
North, 38.355070, -81.630510, 22, 0.81
North, 38.355080, -81.630060, 23, 0.83
North, 38.355070, -81.629970, 24, 0.84
North, 38.354800, -81.629920, 25, 0.86
North, 38.354660, -81.629870, 26, 0.87
North, 38.354550, -81.629820, 27, 0.88
North, 38.354430, -81.629740, 28, 0.89
North, 38.354290, -81.629800, 29, 0.90
North, 38.354190, -81.629870, 30, 0.90
North, 38.354140, -81.630120, 31, 0.92
North, 38.354160, -81.630260, 32, 0.93
North, 38.354160, -81.630290, 33, 0.93
North, 38.354210, -81.630450, 34, 0.94
North, 38.354250, -81.630540, 35, 0.94
North, 38.354340, -81.630690, 36, 0.95
North, 38.354440, -81.630830, 37, 0.96
North, 38.354560, -81.630980, 38, 0.97
North, 38.354700, -81.631120, 39, 0.99
North, 38.354940, -81.631330, 40, 1.01
North, 38.355060, -81.631400, 41, 1.02
North, 38.355350, -81.631550, 42, 1.04
North, 38.355430, -81.631600, 43, 1.04
North, 38.355470, -81.631620, 44, 1.05
North, 38.355570, -81.631720, 45, 1.05
North, 38.355860, -81.631760, 46, 1.08
North, 38.355900, -81.631770, 47, 1.08
North, 38.357020, -81.631850, 48, 1.16
North, 38.357390, -81.631830, 49, 1.18
North, 38.357540, -81.631840, 50, 1.19
North, 38.357590, -81.631830, 51, 1.19
North, 38.357640, -81.631830, 52, 1.20
North, 38.357920, -81.631850, 53, 1.22
North, 38.358000, -81.631850, 54, 1.22
North, 38.358110, -81.631840, 55, 1.23
North, 38.358320, -81.631800, 56, 1.25
North, 38.358450, -81.631760, 57, 1.25
North, 38.358810, -81.631610, 58, 1.28
North, 38.358950, -81.631530, 59, 1.29
North, 38.359070, -81.631450, 60, 1.30
North, 38.359270, -81.631300, 61, 1.32
North, 38.359400, -81.631190, 62, 1.33
North, 38.359590, -81.630980, 63, 1.34
North, 38.359750, -81.630770, 64, 1.36
North, 38.359910, -81.630510, 65, 1.38
North, 38.360070, -81.630170, 66, 1.40
North, 38.360250, -81.629750, 67, 1.43
North, 38.360980, -81.627800, 68, 1.54
North, 38.361180, -81.627220, 69, 1.58
North, 38.361570, -81.626190, 70, 1.64
North, 38.361950, -81.624800, 71, 1.72
North, 38.362260, -81.623560, 72, 1.79
North, 38.362280, -81.623500, 73, 1.79
North, 38.363930, -81.617010, 74, 2.16
North, 38.364130, -81.616290, 75, 2.21
North, 38.364350, -81.615630, 76, 2.24
North, 38.364590, -81.615000, 77, 2.28
North, 38.364810, -81.614480, 78, 2.31
North, 38.365140, -81.613780, 79, 2.36
North, 38.365520, -81.613070, 80, 2.41
North, 38.365790, -81.612620, 81, 2.44
North, 38.365960, -81.612360, 82, 2.45
North, 38.366520, -81.611570, 83, 2.51
North, 38.366960, -81.611030, 84, 2.55
North, 38.367290, -81.610650, 85, 2.59
North, 38.367770, -81.610160, 86, 2.63
North, 38.368440, -81.609560, 87, 2.68
North, 38.369000, -81.609120, 88, 2.73
North, 38.369170, -81.609000, 89, 2.74
North, 38.373240, -81.606410, 90, 3.06
North, 38.373290, -81.606350, 91, 3.06
North, 38.374500, -81.605590, 92, 3.15
North, 38.375230, -81.605110, 93, 3.21
North, 38.375420, -81.604970, 94, 3.23
North, 38.376570, -81.604180, 95, 3.32
North, 38.380260, -81.601500, 96, 3.61
North, 38.380320, -81.601440, 97, 3.62
North, 38.380600, -81.601200, 98, 3.64
North, 38.380950, -81.600870, 99, 3.67
North, 38.381210, -81.600590, 100, 3.69
North, 38.381510, -81.600230, 101, 3.72
North, 38.381740, -81.599920, 102, 3.74
North, 38.381950, -81.599610, 103, 3.77
North, 38.382090, -81.599380, 104, 3.78
North, 38.382400, -81.598810, 105, 3.82
North, 38.382900, -81.597670, 106, 3.89
North, 38.383280, -81.596450, 107, 3.96
North, 38.384970, -81.590450, 108, 4.31
North, 38.385210, -81.589660, 109, 4.35
North, 38.385410, -81.589160, 110, 4.38
North, 38.385520, -81.588920, 111, 4.40
North, 38.385760, -81.588470, 112, 4.43
North, 38.386050, -81.588040, 113, 4.46
North, 38.386200, -81.587850, 114, 4.47
North, 38.386440, -81.587570, 115, 4.50
North, 38.386830, -81.587180, 116, 4.53
North, 38.387240, -81.586870, 117, 4.56
North, 38.387350, -81.586800, 118, 4.57
North, 38.387740, -81.586580, 119, 4.60
North, 38.387960, -81.586480, 120, 4.62
North, 38.388380, -81.586330, 121, 4.65
North, 38.388590, -81.586270, 122, 4.66
North, 38.388800, -81.586230, 123, 4.68
North, 38.389130, -81.586190, 124, 4.70
North, 38.389560, -81.586190, 125, 4.73
North, 38.389740, -81.586200, 126, 4.74
North, 38.389900, -81.586220, 127, 4.75
North, 38.390220, -81.586280, 128, 4.78
North, 38.390480, -81.586350, 129, 4.79
North, 38.390650, -81.586410, 130, 4.81
North, 38.390960, -81.586540, 131, 4.83
North, 38.391470, -81.586820, 132, 4.87
North, 38.391750, -81.587030, 133, 4.89
North, 38.392020, -81.587250, 134, 4.91
