shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
South, 39.654710, -79.961430, 1, 0.00
South, 39.654700, -79.961440, 2, 0.00
South, 39.654650, -79.961510, 3, 0.01
South, 39.654600, -79.961620, 4, 0.01
South, 39.654600, -79.961650, 5, 0.01
South, 39.654570, -79.961800, 6, 0.02
South, 39.654570, -79.961960, 7, 0.03
South, 39.654450, -79.962560, 8, 0.06
South, 39.654430, -79.962610, 9, 0.07
South, 39.654420, -79.962790, 10, 0.08
South, 39.654330, -79.963350, 11, 0.11
South, 39.654320, -79.963490, 12, 0.11
South, 39.653630, -79.963520, 13, 0.16
South, 39.653480, -79.963520, 14, 0.17
South, 39.653270, -79.963530, 15, 0.19
South, 39.653210, -79.963540, 16, 0.19
South, 39.653200, -79.963530, 17, 0.19
South, 39.653070, -79.963520, 18, 0.20
South, 39.652920, -79.963520, 19, 0.21
South, 39.652850, -79.963530, 20, 0.22
South, 39.652780, -79.963530, 21, 0.22
South, 39.652660, -79.963550, 22, 0.23
South, 39.652590, -79.963570, 23, 0.23
South, 39.652530, -79.963600, 24, 0.24
South, 39.652370, -79.963730, 25, 0.25
South, 39.652300, -79.963830, 26, 0.26
South, 39.652250, -79.963940, 27, 0.27
South, 39.652220, -79.964020, 28, 0.27
South, 39.652130, -79.964360, 29, 0.29
South, 39.651710, -79.966330, 30, 0.40
South, 39.651600, -79.966720, 31, 0.42
South, 39.651510, -79.966610, 32, 0.43
South, 39.651230, -79.966320, 33, 0.45
South, 39.651120, -79.966270, 34, 0.46
South, 39.650920, -79.966100, 35, 0.48
South, 39.650650, -79.965890, 36, 0.50
South, 39.650550, -79.965830, 37, 0.51
South, 39.650480, -79.965770, 38, 0.51
South, 39.650380, -79.965710, 39, 0.52
South, 39.650280, -79.965640, 40, 0.53
South, 39.649980, -79.965260, 41, 0.56
South, 39.649900, -79.965050, 42, 0.57
South, 39.649360, -79.964100, 43, 0.63
South, 39.649330, -79.964060, 44, 0.64
South, 39.647940, -79.961640, 45, 0.80
South, 39.647560, -79.961010, 46, 0.84
South, 39.647460, -79.960770, 47, 0.85
South, 39.647480, -79.960700, 48, 0.86
South, 39.647460, -79.960530, 49, 0.87
South, 39.647470, -79.959850, 50, 0.90
South, 39.647390, -79.959840, 51, 0.91
South, 39.647320, -79.959850, 52, 0.91
South, 39.647050, -79.960040, 53, 0.94
South, 39.646500, -79.960460, 54, 0.98
South, 39.646080, -79.960750, 55, 1.01
South, 39.645520, -79.961100, 56, 1.06
South, 39.645390, -79.961190, 57, 1.07
South, 39.644340, -79.961810, 58, 1.15
South, 39.643280, -79.962380, 59, 1.22
South, 39.642930, -79.962580, 60, 1.25
South, 39.642720, -79.962840, 61, 1.27
South, 39.642370, -79.963220, 62, 1.30
South, 39.642310, -79.963260, 63, 1.31
South, 39.642050, -79.962820, 64, 1.34
South, 39.642020, -79.962700, 65, 1.34
