fare_id,route_id,origin_id,destination_id,contains_id
1zone,I79,1,2,
2zone,I79,1,3,
2zone,I79,1,4,
2zone,I79,1,5,
3zone,I79,1,6,
3zone,I79,1,7,
1zone,I79,2,1,
1zone,I79,2,3,
2zone,I79,2,4,
3zone,I79,2,5,
3zone,I79,2,6,
3zone,I79,2,7,
1zone,I79,3,2,
1zone,I79,3,4,
2zone,I79,3,5,
2zone,I79,3,1,
3zone,I79,3,6,
3zone,I79,3,7,
1zone,I79,4,3,
1zone,I79,4,5,
2zone,I79,4,1,
2zone,I79,4,2,
2zone,I79,4,6,
3zone,I79,4,7,
1zone,I79,5,4,
szone,I79,5,6,
1zone,I79,5,7,
2zone,I79,5,3,
3zone,I79,5,2,
2zone,I79,5,1,
szone,I79,6,5,
szone,I79,6,7,
2zone,I79,6,4,
3zone,I79,6,3,
3zone,I79,6,2,
3zone,I79,6,1,
szone,I79,7,6,
1zone,I79,7,5,
3zone,I79,7,4,
3zone,I79,7,3,
3zone,I79,7,2,
3zone,I79,7,1,
