GTFS Generator Process start:Thu Mar  3 23:04:58 2016
Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['10', '15', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['10', '25', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['10', '50', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['11', '40', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['12', '20', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['12', '45', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['13', '05', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['13', '30', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_m-sat
   exception:Incorrect time format from spreadsheet:['13', '45', '00'].  Thu Mar  3 23:05:06 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['13', '50', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['14', '00', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['14', '55', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['15', '10', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['15', '55', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['16', '20', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['16', '40', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['15', '05', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['17', '15', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_north_sun
   exception:Incorrect time format from spreadsheet:['17', '20', '00'].  Thu Mar  3 23:05:17 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['21', '15', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['21', '05', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['20', '40', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['19', '50', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['19', '20', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['18', '45', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['18', '25', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['18', '00', '00'].  Thu Mar  3 23:05:27 2016 Workbook: Barons_I-Ride-79 Worksheet:I79_south_m-sun
   exception:Incorrect time format from spreadsheet:['17', '40', '00'].  Thu Mar  3 23:05:27 2016 
