shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35685,-81.63943,1,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35663,-81.63974,2,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35586,-81.63847,3,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35541,-81.63777,4,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35522,-81.6375,5,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35471,-81.63682,6,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35442,-81.63647,7,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35431,-81.63635,8,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3541,-81.6361,9,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35391,-81.6359,10,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35336,-81.63539,11,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35169,-81.634,12,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35131,-81.6348,13,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35056,-81.6358,14,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35128,-81.63665,15,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3519,-81.63734,16,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35328,-81.63532,17,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35368,-81.63468,18,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35463,-81.63325,19,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35471,-81.6331,20,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35477,-81.63294,21,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35483,-81.63271,22,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35491,-81.63215,23,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35497,-81.63203,24,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35498,-81.63181,25,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35503,-81.63127,26,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35503,-81.63106,27,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35507,-81.63051,28,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35508,-81.63006,29,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35507,-81.62997,30,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3548,-81.62992,31,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35466,-81.62987,32,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3546,-81.62984,33,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35455,-81.62982,34,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35443,-81.62974,35,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35429,-81.6298,36,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35419,-81.62987,37,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35414,-81.63012,38,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35416,-81.63026,39,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35416,-81.63029,40,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35421,-81.63045,41,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35425,-81.63054,42,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35434,-81.63069,43,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35444,-81.63083,44,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35456,-81.63098,45,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3547,-81.63112,46,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35494,-81.63133,47,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35506,-81.6314,48,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35535,-81.63155,49,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35543,-81.6316,50,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35547,-81.63162,51,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35557,-81.63172,52,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35586,-81.63176,53,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3559,-81.63177,54,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35702,-81.63185,55,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35739,-81.63183,56,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35754,-81.63184,57,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35759,-81.63183,58,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35764,-81.63183,59,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35792,-81.63185,60,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.358,-81.63185,61,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35811,-81.63184,62,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35832,-81.6318,63,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35845,-81.63176,64,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35881,-81.63161,65,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35895,-81.63153,66,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35907,-81.63145,67,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35927,-81.6313,68,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.3594,-81.63119,69,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35959,-81.63098,70,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35975,-81.63077,71,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.35991,-81.63051,72,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36007,-81.63017,73,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36025,-81.62975,74,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36098,-81.6278,75,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36118,-81.62722,76,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36157,-81.62619,77,
Directions from I-ride-79 Greyhound to I-ride-79 Mtn Line,38.36195,-81.6248,78,
