shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3464,-81.63864,1,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34596,-81.63807,2,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34618,-81.63781,3,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34641,-81.63756,4,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34705,-81.63675,5,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34754,-81.63606,6,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34755,-81.63605,7,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34837,-81.63489,8,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.34872,-81.63435,9,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35048,-81.63144,10,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35134,-81.63215,11,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35219,-81.63291,12,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35395,-81.63427,13,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35548,-81.63662,14,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35563,-81.63688,15,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3568,-81.63877,16,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35705,-81.63912,17,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35685,-81.63943,18,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35663,-81.63974,19,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35586,-81.63847,20,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35541,-81.63777,21,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35522,-81.6375,22,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35471,-81.63682,23,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3541,-81.6361,24,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35391,-81.6359,25,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35336,-81.63539,26,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35169,-81.634,27,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35131,-81.6348,28,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35056,-81.6358,29,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35128,-81.63665,30,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3519,-81.63734,31,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35328,-81.63532,32,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35368,-81.63468,33,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35463,-81.63325,34,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35471,-81.6331,35,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35477,-81.63294,36,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35483,-81.63271,37,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35491,-81.63215,38,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35497,-81.63203,39,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35498,-81.63181,40,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35503,-81.63127,41,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35503,-81.63106,42,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35507,-81.63051,43,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35508,-81.63006,44,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35507,-81.62997,45,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3548,-81.62992,46,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35466,-81.62987,47,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3546,-81.62984,48,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35455,-81.62982,49,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35443,-81.62974,50,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35429,-81.6298,51,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35419,-81.62987,52,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35414,-81.63012,53,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35416,-81.63026,54,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35416,-81.63029,55,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35421,-81.63045,56,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35425,-81.63054,57,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35434,-81.63069,58,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35444,-81.63083,59,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35456,-81.63098,60,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3547,-81.63112,61,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35494,-81.63133,62,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35506,-81.6314,63,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35535,-81.63155,64,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35543,-81.6316,65,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35547,-81.63162,66,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35557,-81.63172,67,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35586,-81.63176,68,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3559,-81.63177,69,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35702,-81.63185,70,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35739,-81.63183,71,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35754,-81.63184,72,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35759,-81.63183,73,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35764,-81.63183,74,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35792,-81.63185,75,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.358,-81.63185,76,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35811,-81.63184,77,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35832,-81.6318,78,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35845,-81.63176,79,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35881,-81.63161,80,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35895,-81.63153,81,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35907,-81.63145,82,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35927,-81.6313,83,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3594,-81.63119,84,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35959,-81.63098,85,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35975,-81.63077,86,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.35991,-81.63051,87,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36007,-81.63017,88,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36025,-81.62975,89,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36098,-81.6278,90,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36118,-81.62722,91,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36157,-81.62619,92,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36195,-81.6248,93,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36226,-81.62356,94,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36228,-81.6235,95,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36231,-81.62336,96,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36393,-81.61701,97,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36413,-81.61629,98,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36435,-81.61563,99,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36459,-81.615,100,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36481,-81.61448,101,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36514,-81.61378,102,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36552,-81.61307,103,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36579,-81.61262,104,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36596,-81.61236,105,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36652,-81.61157,106,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36696,-81.61103,107,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36729,-81.61065,108,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36777,-81.61016,109,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36844,-81.60956,110,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.369,-81.60912,111,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.36917,-81.609,112,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.37324,-81.60641,113,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.37329,-81.60635,114,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3745,-81.60559,115,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.37523,-81.60511,116,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.37542,-81.60497,117,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.37657,-81.60418,118,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.38026,-81.6015,119,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.38032,-81.60144,120,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.3806,-81.6012,121,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.38095,-81.60087,122,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.38121,-81.60059,123,
Directions from I-ride-79 Amtrak to I-ride-79 Mtn Line,38.38151,-81.60023,124,
