shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Mtw-Chas_7days,39.62926,-79.95958,1,
Mtw-Chas_7days,39.62918,-79.95963,2,
Mtw-Chas_7days,39.62916,-79.95965,3,
Mtw-Chas_7days,39.62877,-79.95994,4,
Mtw-Chas_7days,39.62873,-79.95995,5,
Mtw-Chas_7days,39.62842,-79.95992,6,
Mtw-Chas_7days,39.62816,-79.95977,7,
Mtw-Chas_7days,39.62882,-79.95924,8,
Mtw-Chas_7days,39.62939,-79.95876,9,
Mtw-Chas_7days,39.62952,-79.95864,10,
Mtw-Chas_7days,39.6297,-79.9585,11,
Mtw-Chas_7days,39.63017,-79.95807,12,
Mtw-Chas_7days,39.63029,-79.95795,13,
Mtw-Chas_7days,39.63058,-79.9577,14,
Mtw-Chas_7days,39.63059,-79.9577,15,
Mtw-Chas_7days,39.63063,-79.95766,16,
Mtw-Chas_7days,39.63101,-79.95733,17,
Mtw-Chas_7days,39.6314,-79.95701,18,
Mtw-Chas_7days,39.63152,-79.9569,19,
Mtw-Chas_7days,39.63181,-79.95666,20,
Mtw-Chas_7days,39.63191,-79.95664,21,
Mtw-Chas_7days,39.63197,-79.95662,22,
Mtw-Chas_7days,39.63408,-79.95657,23,
Mtw-Chas_7days,39.63412,-79.95656,24,
Mtw-Chas_7days,39.63444,-79.95656,25,
Mtw-Chas_7days,39.63489,-79.95658,26,
Mtw-Chas_7days,39.63516,-79.95661,27,
Mtw-Chas_7days,39.63555,-79.95668,28,
Mtw-Chas_7days,39.63588,-79.95678,29,
Mtw-Chas_7days,39.63595,-79.95679,30,
Mtw-Chas_7days,39.63643,-79.95691,31,
Mtw-Chas_7days,39.63649,-79.95693,32,
Mtw-Chas_7days,39.6366,-79.95699,33,
Mtw-Chas_7days,39.63682,-79.95714,34,
Mtw-Chas_7days,39.6373,-79.95753,35,
Mtw-Chas_7days,39.6386,-79.9585,36,
Mtw-Chas_7days,39.63881,-79.95867,37,
Mtw-Chas_7days,39.63894,-79.95874,38,
Mtw-Chas_7days,39.63967,-79.95926,39,
Mtw-Chas_7days,39.63977,-79.95934,40,
Mtw-Chas_7days,39.63985,-79.95948,41,
Mtw-Chas_7days,39.64023,-79.96004,42,
Mtw-Chas_7days,39.64029,-79.96014,43,
Mtw-Chas_7days,39.64039,-79.96027,44,
Mtw-Chas_7days,39.64093,-79.96107,45,
Mtw-Chas_7days,39.64095,-79.96111,46,
Mtw-Chas_7days,39.64161,-79.96206,47,
Mtw-Chas_7days,39.64202,-79.9627,48,
Mtw-Chas_7days,39.64211,-79.96276,49,
Mtw-Chas_7days,39.64237,-79.96322,50,
Mtw-Chas_7days,39.64293,-79.96258,51,
Mtw-Chas_7days,39.64328,-79.96238,52,
Mtw-Chas_7days,39.64434,-79.96181,53,
Mtw-Chas_7days,39.64539,-79.96119,54,
Mtw-Chas_7days,39.64552,-79.9611,55,
Mtw-Chas_7days,39.64608,-79.96075,56,
Mtw-Chas_7days,39.6465,-79.96046,57,
Mtw-Chas_7days,39.64705,-79.96004,58,
Mtw-Chas_7days,39.64732,-79.95985,59,
Mtw-Chas_7days,39.64739,-79.95984,60,
Mtw-Chas_7days,39.64747,-79.95985,61,
Mtw-Chas_7days,39.64746,-79.96053,62,
Mtw-Chas_7days,39.64748,-79.9607,63,
Mtw-Chas_7days,39.64746,-79.96077,64,
