trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3617-173-161,09:30:00,09:30:00,55,10,3,3,
3617-173-161,,,490,30,3,3,
3617-173-161,,,491,40,3,3,
3617-173-161,,,492,50,3,3,
3617-173-161,11:00:00,11:00:00,239,60,3,3,
3618-173-161,13:00:00,13:00:00,239,10,3,3,
3618-173-161,,,492,20,3,3,
3618-173-161,,,491,30,3,3,
3618-173-161,,,490,40,3,3,
3618-173-161,14:30:00,14:30:00,55,60,3,3,
3619-173-161,09:50:00,09:50:00,55,10,3,3,
3619-173-161,,,421,30,3,3,
3619-173-161,,,58,40,3,3,
3619-173-161,11:30:00,11:30:00,57,50,3,3,
3620-163-161,07:40:00,07:40:00,417,10,3,3,
3620-163-161,,,420,20,3,3,
3620-163-161,08:00:00,08:00:00,419,30,3,3,
3620-163-161,08:10:00,08:10:00,416,35,3,3,
3620-163-161,,,488,40,3,3,
3620-163-161,,,493,50,3,3,
3620-163-161,08:30:00,08:30:00,55,70,3,3,
3621-173-161,10:10:00,10:10:00,55,10,3,3,
3621-173-161,,,487,20,3,3,
3621-173-161,,,493,30,3,3,
3621-173-161,,,488,40,3,3,
3621-173-161,11:30:00,11:30:00,238,50,3,3,
3622-173-161,13:15:00,13:15:00,238,10,3,3,
3622-173-161,,,488,20,3,3,
3622-173-161,,,493,30,3,3,
3622-173-161,,,487,40,3,3,
3622-173-161,14:30:00,14:30:00,55,50,3,3,
3869-163-161,07:00:00,07:00:00,55,10,3,3,
3869-163-161,07:05:00,07:05:00,488,20,3,3,
3869-163-161,07:25:00,07:25:00,53,30,3,3,
3869-163-161,07:35:00,07:35:00,54,35,3,3,
3869-163-161,07:40:00,07:40:00,56,40,3,3,
3869-163-161,07:45:00,07:45:00,57,50,3,3,
3869-163-161,08:05:00,08:05:00,58,52,3,3,
3869-163-161,08:08:00,08:08:00,421,55,3,3,
3869-163-161,08:25:00,08:25:00,60,70,3,3,
3869-163-161,08:30:00,08:30:00,55,100,3,3,
3872-163-161,08:45:00,08:45:00,55,10,3,3,
3872-163-161,,,60,15,3,3,
3872-163-161,09:10:00,09:10:00,421,20,3,3,
3872-163-161,09:20:00,09:20:00,422,30,3,3,
3872-163-161,09:35:00,09:35:00,423,40,3,3,
3872-163-161,09:50:00,09:50:00,424,50,3,3,
3873-163-161,13:15:00,13:15:00,418,10,3,3,
3873-163-161,13:30:00,13:30:00,55,20,3,3,
3873-163-161,,,60,25,3,3,
3873-163-161,14:00:00,14:00:00,421,30,3,3,
3873-163-161,14:05:00,14:05:00,422,40,3,3,
3873-163-161,14:20:00,14:20:00,423,50,3,3,
3873-163-161,14:40:00,14:40:00,424,60,3,3,
3874-163-161,15:45:00,15:45:00,55,10,3,3,
3874-163-161,,,60,15,3,3,
3874-163-161,15:55:00,15:55:00,421,20,3,3,
3874-163-161,16:05:00,16:05:00,422,30,3,3,
3874-163-161,16:20:00,16:20:00,423,40,3,3,
3874-163-161,17:10:00,17:10:00,424,50,3,3,
3875-163-161,06:20:00,06:20:00,470,10,3,3,
3875-163-161,06:45:00,06:45:00,424,20,3,3,
3875-163-161,07:00:00,07:00:00,423,30,3,3,
3875-163-161,07:20:00,07:20:00,422,40,3,3,
3875-163-161,07:25:00,07:25:00,421,50,3,3,
3875-163-161,,,60,55,3,3,
3875-163-161,07:45:00,07:45:00,55,60,3,3,
4875-163-161,14:10:00,14:10:00,470,10,3,3,
4875-163-161,14:40:00,14:40:00,424,20,3,3,
4875-163-161,15:40:00,15:40:00,423,30,3,3,
4875-163-161,16:00:00,16:00:00,422,40,3,3,
4875-163-161,16:10:00,16:10:00,421,50,3,3,
4875-163-161,,,60,55,3,3,
4875-163-161,16:20:00,16:20:00,55,60,3,3,
3876-163-161,09:50:00,09:50:00,424,10,3,3,
3876-163-161,10:05:00,10:05:00,471,20,3,3,
3876-163-161,10:10:00,10:10:00,423,30,3,3,
3876-163-161,10:30:00,10:30:00,422,40,3,3,
3876-163-161,10:45:00,10:45:00,421,50,3,3,
3876-163-161,,,60,55,3,3,
3876-163-161,11:00:00,11:00:00,55,60,3,3,
3877-163-161,17:10:00,17:10:00,424,10,3,3,
3877-163-161,17:20:00,17:20:00,471,20,3,3,
3877-163-161,17:25:00,17:25:00,423,30,3,3,
3877-163-161,17:45:00,17:45:00,422,40,3,3,
3877-163-161,17:55:00,17:55:00,421,50,3,3,
