route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Rt1,M-F,R1a_out,,0,,R1_out
Rt1,M-F,R1a_in,,1,,R1_in
Rt1,M-F,R1b_out,,0,,R1_out
Rt1,M-F,R1b_in,,1,,R1_in
Rt1,M-F,R1c_out,,0,,R1_out
Rt1,M-F,R1c_in,,1,,R1_in
Rt1,M-F,R1d_out,,0,,R1_out
Rt1,M-F,R1d_in,,1,,R1_in
Rt3,M-F,R3a_out,,1,,R3_out
Rt3,M-F,R3a_in,Courthouse,0,,R3_in
Rt3,M-F,R3b_out,,1,,R3_out
Rt3,M-F,R3b_in,Courthouse,0,,R3_in
Rt5,M-F,R5a_out,Big Lots,1,,R5_out
Rt5,M-F,R5a_in,Courthouse,0,,R5_in
Rt5,M-F,R5b_out,Big Lots,1,,R5_out
Rt5,M-F,R5b_in,Courthouse,0,,R5_in
Rt5,M-F,R5c_out,Big Lots,1,,R5_out
Rt5,M-F,R5c_in,Courthouse,0,,R5_in
Rt5,M-F,R5d_out,Big Lots,1,,R5_out
Rt5,M-F,R5d_in,Courthouse,0,,R5_in
Rt5,M-F,R5e_out,Big Lots,1,,R5_out
Rt5,M-F,R5e_in,Courthouse,0,,R5_in
Rt5,M-F,R5f_out,Big Lots,1,,R5_out
Rt5,M-F,R5f_in,Courthouse,0,,R5_in
Rt5,M-F,R5g_out,Big Lots,1,,R5_out
Rt5,M-F,R5g_in,Courthouse,0,,R5_in
Rt5,M-F,R5h_out,Big Lots,1,,R5_out
Rt5,M-F,R5h_in,Courthouse,0,,R5_in
Rt5,M-F,R5i_out,Big Lots,1,,R5_out
Rt5,M-F,R5i_in,Courthouse,0,,R5_in
Rt5,M-F,R5j_out,Big Lots,1,,R5_out
Rt5,M-F,R5j_in,Courthouse,0,,R5_in
Rt5,M-F,R5k_out,Big Lots,1,,R5_out
Rt5,M-F,R5k_in,Courthouse,0,,R5_in
Rt6,M-F,R6a,,1,,Rt6_out
Rt6,M-F,R6b,Courthouse,0,,Rt6_in
Rt6,M-F,R6c,,1,,Rt6_out
Rt6,M-F,R6d,,1,,Rt6_out
Rt6,M-F,R6e,Courthouse,0,,Rt6_in
Rt6,M-F,R6f,Courthouse,0,,Rt6_in
Rt7,M-F,fsu_mall_a,,,,R7
Rt7,M-F,fsu_mall_b,,,,R7
Rt14,M-F,R14_a,,,,R14a
Rt14,M-F,R14_b,,,,R14
Rt14,M-F,R14_c,,,,R14
Rt14,M-F,R14_d,,,,R14
Rt15,M-F,4083-164-162,,,,R15
Rt15,M-F,4085-164-162,,,,R15
Rt15,M-F,4086-164-162,,,,R15
Rt15,M-F,4087-164-162,,,,R15
Rt15,M-F,4088-164-162,,,,R15
Rt15,M-F,4089-164-162,,,,R15
Rt16,M-F,R16a_out, Mall,1,,R16_out
Rt16,M-F,R16a_in, Courthouse,0,,R16_in
Rt16,M-F,R16b_out, Courthouse,1,,R16_out
Rt16,M-F,R16b_in, Mall,0,,R16_in
Rt16,M-F,R16c_out, Courthouse,1,,R16_out
Rt16,M-F,R16c_in, Mall,0,,R16_in
Rt16,M-F,R16d_out, Courthouse,1,,R16_out
Rt16,M-F,R16d_in, Mall,0,,R16_in
Rt16,M-F,R16e_out, Courthouse,1,,R16_out
Rt16,M-F,R16e_in, Mall,0,,R16_in
Rt16,M-F,R16f_out, Courthouse,1,,R16_out
Rt16,M-F,R16f_in, Mall,0,,R16_in
Rt16,M-F,R16g_out, Courthouse,1,,R16_out
Rt16,M-F,R16g_in, Mall,0,,R16_in
Rt16,M-F,R16h_out, Courthouse,1,,R16_out
Rt16,M-F,R16h_in, Mall,0,,R16_in
Rt16,Saturday,R16m_out, Mall,1,,R16_out
Rt16,Saturday,R16m_in, Courthouse,0,,R16_in_sat
Rt16,Saturday,R16n_out, Mall,1,,R16_out
Rt16,Saturday,R16n_in, Courthouse,0,,R16_in_sat
Rt16,Saturday,R16o_out, Mall,1,,R16_out
