shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R1_loop, 39.152940, -80.039450, 1, 0.00
R1_loop, 39.152450, -80.039930, 2, 0.04
R1_loop, 39.151930, -80.039120, 3, 0.10
R1_loop, 39.151530, -80.038410, 4, 0.15
R1_loop, 39.151280, -80.038020, 5, 0.17
R1_loop, 39.151130, -80.037710, 6, 0.19
R1_loop, 39.150790, -80.037120, 7, 0.23
R1_loop, 39.150110, -80.036930, 8, 0.28
R1_loop, 39.149480, -80.036730, 9, 0.32
R1_loop, 39.149200, -80.036680, 10, 0.34
R1_loop, 39.148790, -80.036550, 11, 0.37
R1_loop, 39.148410, -80.038550, 12, 0.48
R1_loop, 39.147880, -80.038690, 13, 0.52
R1_loop, 39.147690, -80.038740, 14, 0.53
R1_loop, 39.147670, -80.038640, 15, 0.54
R1_loop, 39.147650, -80.038400, 16, 0.55
R1_loop, 39.147660, -80.038240, 17, 0.56
R1_loop, 39.147690, -80.037860, 18, 0.58
R1_loop, 39.147710, -80.037480, 19, 0.60
R1_loop, 39.147700, -80.037480, 20, 0.60
R1_loop, 39.147290, -80.037350, 21, 0.63
R1_loop, 39.146530, -80.037190, 22, 0.69
R1_loop, 39.146670, -80.036360, 23, 0.73
R1_loop, 39.146710, -80.035940, 24, 0.75
R1_loop, 39.146770, -80.035470, 25, 0.78
R1_loop, 39.146590, -80.035300, 26, 0.80
R1_loop, 39.146200, -80.034910, 27, 0.83
R1_loop, 39.145840, -80.034550, 28, 0.86
R1_loop, 39.145100, -80.033700, 29, 0.93
R1_loop, 39.144190, -80.032670, 30, 1.01
R1_loop, 39.143620, -80.032030, 31, 1.07
R1_loop, 39.143400, -80.031820, 32, 1.08
R1_loop, 39.142440, -80.031120, 33, 1.16
R1_loop, 39.141990, -80.030790, 34, 1.20
R1_loop, 39.141900, -80.030710, 35, 1.20
R1_loop, 39.141840, -80.030650, 36, 1.21
R1_loop, 39.141780, -80.030580, 37, 1.21
R1_loop, 39.141720, -80.030500, 38, 1.22
R1_loop, 39.141540, -80.030260, 39, 1.24
R1_loop, 39.141480, -80.030150, 40, 1.25
R1_loop, 39.140980, -80.029170, 41, 1.31
R1_loop, 39.140630, -80.028470, 42, 1.35
R1_loop, 39.140490, -80.028200, 43, 1.37
R1_loop, 39.140360, -80.027990, 44, 1.38
R1_loop, 39.140160, -80.027710, 45, 1.41
R1_loop, 39.140070, -80.027560, 46, 1.42
R1_loop, 39.139840, -80.027250, 47, 1.44
R1_loop, 39.139550, -80.026850, 48, 1.47
R1_loop, 39.139220, -80.026420, 49, 1.50
R1_loop, 39.138630, -80.025580, 50, 1.56
R1_loop, 39.137900, -80.024520, 51, 1.64
R1_loop, 39.137640, -80.024130, 52, 1.66
R1_loop, 39.137460, -80.023850, 53, 1.68
R1_loop, 39.137380, -80.023680, 54, 1.69
R1_loop, 39.137290, -80.023500, 55, 1.71
R1_loop, 39.137100, -80.023060, 56, 1.73
R1_loop, 39.136810, -80.022270, 57, 1.78
R1_loop, 39.136340, -80.021120, 58, 1.85
