trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3451-167-164,08:00:00,08:00:00,65,10,0,0,
3451-167-164,,,231,13,3,3,
3451-167-164,,,230,14,3,3,
3451-167-164,08:03:00,08:03:00,70,15,0,0,
3451-167-164,,,229,20,3,3,
3451-167-164,08:06:00,08:06:00,69,30,0,0,
3451-167-164,,,228,35,3,3,
3451-167-164,08:10:00,08:10:00,68,40,0,0,
3451-167-164,,,228,45,3,3,
3451-167-164,08:16:00,08:16:00,69,50,0,0,
3451-167-164,,,229,55,3,3,
3451-167-164,08:18:00,08:18:00,70,60,0,0,
3451-167-164,,,230,61,3,3,
3451-167-164,,,231,62,3,3,
3451-167-164,08:20:00,08:20:00,65,70,0,0,
3451-167-164,,,232,72,3,3,
3451-167-164,,,233,73,3,3,
3451-167-164,,,234,74,3,3,
3451-167-164,,,235,75,3,3,
3451-167-164,,,236,76,3,3,
3451-167-164,08:24:00,08:24:00,67,80,0,0,
3451-167-164,,,237,82,3,3,
3451-167-164,,,235,83,3,3,
3451-167-164,,,234,84,3,3,
3451-167-164,,,233,87,3,3,
3451-167-164,,,232,88,3,3,
3451-167-164,08:35:00,08:35:00,66,90,0,0,
3452-167-164,09:00:04,09:00:04,65,10,0,0,
3452-167-164,,,231,13,3,3,
3452-167-164,,,230,14,3,3,
3452-167-164,09:03:00,09:03:00,70,15,0,0,
3452-167-164,,,229,20,3,3,
3452-167-164,09:06:00,09:06:00,69,30,0,0,
3452-167-164,,,228,35,3,3,
3452-167-164,09:10:00,09:10:00,68,40,0,0,
3452-167-164,,,228,45,3,3,
3452-167-164,09:16:00,09:16:00,69,50,0,0,
3452-167-164,,,229,55,3,3,
3452-167-164,09:18:00,09:18:00,70,60,0,0,
3452-167-164,,,230,61,3,3,
3452-167-164,,,231,62,3,3,
3452-167-164,09:20:00,09:20:00,65,70,0,0,
3452-167-164,,,232,72,3,3,
3452-167-164,,,233,73,3,3,
3452-167-164,,,234,74,3,3,
3452-167-164,,,235,75,3,3,
3452-167-164,,,236,76,3,3,
3452-167-164,09:24:00,09:24:00,67,80,0,0,
3452-167-164,,,237,82,3,3,
3452-167-164,,,235,83,3,3,
3452-167-164,,,234,84,3,3,
3452-167-164,,,233,87,3,3,
3452-167-164,,,232,88,3,3,
3452-167-164,09:35:00,09:35:00,66,90,0,0,
3453-167-164,10:00:00,10:00:00,65,10,0,0,
3453-167-164,,,231,13,3,3,
3453-167-164,,,230,14,3,3,
3453-167-164,10:03:00,10:03:00,70,15,0,0,
3453-167-164,,,229,20,3,3,
3453-167-164,10:06:00,10:06:00,69,30,0,0,
3453-167-164,,,228,35,3,3,
3453-167-164,10:10:00,10:10:00,68,40,0,0,
