trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
HAT_routes-R1_Blue&Grey_Loop-a,8:00:00,8:00:00,A,10,Baughman Towers,,,
HAT_routes-R1_Blue&Grey_Loop-a,,,Hardee's,15,,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:03:00,8:03:00,B,20,Family Dollar Store,,,
HAT_routes-R1_Blue&Grey_Loop-a,,,McDonalds,25,,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:07:00,8:07:00,C,30,Shop-N-Save,,,
HAT_routes-R1_Blue&Grey_Loop-a,,,McDonalds,35,,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:17:00,8:17:00,D,40,Maple Terrace Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:23:00,8:23:00,E,50,Hyden Greene Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:28:00,8:28:00,F,60,Department of Health and Human Resource,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:31:00,8:31:00,G,70,Barbour County Senior Center,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:36:00,8:36:00,A,80,Shop-N-Save,,,
HAT_routes-R1_Blue&Grey_Loop-a,,,McDonalds,85,,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:41:00,8:41:00,D,90,Baughman Towers,,,
HAT_routes-R1_Blue&Grey_Loop-a,,,McDonalds,95,,,,
HAT_routes-R1_Blue&Grey_Loop-a,8:43:00,8:43:00,B,100,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:00:00,9:00:00,A,10,Baughman Towers,,,
HAT_routes-R1_Blue&Grey_Loop-b,,,Hardee's,15,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:03:00,9:03:00,B,20,Family Dollar Store,,,
HAT_routes-R1_Blue&Grey_Loop-b,,,McDonalds,25,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:07:00,9:07:00,C,30,Shop-N-Save,,,
HAT_routes-R1_Blue&Grey_Loop-b,,,McDonalds,35,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:17:00,9:17:00,D,40,Maple Terrace Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:23:00,9:23:00,E,50,Hyden Greene Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:28:00,9:28:00,F,60,Department of Health and Human Resource,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:31:00,9:31:00,G,70,Barbour County Senior Center,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:36:00,9:36:00,A,80,Shop-N-Save,,,
HAT_routes-R1_Blue&Grey_Loop-b,,,McDonalds,85,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:41:00,9:41:00,D,90,Baughman Towers,,,
HAT_routes-R1_Blue&Grey_Loop-b,,,McDonalds,95,,,,
HAT_routes-R1_Blue&Grey_Loop-b,9:43:00,9:43:00,B,100,,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:00:00,10:00:00,A,10,Baughman Towers,,,
HAT_routes-R1_Blue&Grey_Loop-c,,,Hardee's,15,,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:03:00,10:03:00,B,20,Family Dollar Store,,,
HAT_routes-R1_Blue&Grey_Loop-c,,,McDonalds,25,,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:07:00,10:07:00,C,30,Shop-N-Save,,,
HAT_routes-R1_Blue&Grey_Loop-c,,,McDonalds,35,,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:17:00,10:17:00,D,40,Maple Terrace Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:23:00,10:23:00,E,50,Hyden Greene Apartments,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:28:00,10:28:00,F,60,Department of Health and Human Resource,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:31:00,10:31:00,G,70,Barbour County Senior Center,,,
HAT_routes-R1_Blue&Grey_Loop-c,10:36:00,10:36:00,A,80,Shop-N-Save,,,
