trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-16_out-a,7:00:00,7:00:00,3,100,,,,
KRT_Saturday-16_out-a,,,3089,101,,,,
KRT_Saturday-16_out-a,,,3090,102,,,,
KRT_Saturday-16_out-a,,,3091,103,,,,
KRT_Saturday-16_out-a,,,3092,104,,,,
KRT_Saturday-16_out-a,,,3093,105,,,,
KRT_Saturday-16_out-a,,,3094,106,,,,
KRT_Saturday-16_out-a,,,3095,107,,,,
KRT_Saturday-16_out-a,,,3096,108,,,,
KRT_Saturday-16_out-a,,,3097,109,,,,
KRT_Saturday-16_out-a,7:15:00,7:15:00,2001,110,,,,
KRT_Saturday-16_out-a,,,2019,111,,,,
KRT_Saturday-16_out-a,,,2020,112,,,,
KRT_Saturday-16_out-a,,,2021,113,,,,
KRT_Saturday-16_out-a,,,2022,114,,,,
KRT_Saturday-16_out-a,,,16010,115,,,,
KRT_Saturday-16_out-a,,,16011,116,,,,
KRT_Saturday-16_out-a,,,16012,117,,,,
KRT_Saturday-16_out-a,,,16013,118,,,,
KRT_Saturday-16_out-a,,,16014,119,,,,
KRT_Saturday-16_out-a,,,16015,120,,,,
KRT_Saturday-16_out-a,7:28:00,7:28:00,16001,121,,,,
KRT_Saturday-16_out-b,8:00:00,8:00:00,3,100,,,,
KRT_Saturday-16_out-b,,,3089,101,,,,
KRT_Saturday-16_out-b,,,3090,102,,,,
KRT_Saturday-16_out-b,,,3091,103,,,,
KRT_Saturday-16_out-b,,,3092,104,,,,
KRT_Saturday-16_out-b,,,3093,105,,,,
KRT_Saturday-16_out-b,,,3094,106,,,,
KRT_Saturday-16_out-b,,,3095,107,,,,
KRT_Saturday-16_out-b,,,3096,108,,,,
KRT_Saturday-16_out-b,,,3097,109,,,,
KRT_Saturday-16_out-b,8:15:00,8:15:00,2001,110,,,,
KRT_Saturday-16_out-b,,,2019,111,,,,
KRT_Saturday-16_out-b,,,2020,112,,,,
KRT_Saturday-16_out-b,,,2021,113,,,,
KRT_Saturday-16_out-b,,,2022,114,,,,
KRT_Saturday-16_out-b,,,16010,115,,,,
KRT_Saturday-16_out-b,,,16011,116,,,,
KRT_Saturday-16_out-b,,,16012,117,,,,
KRT_Saturday-16_out-b,,,16013,118,,,,
KRT_Saturday-16_out-b,,,16014,119,,,,
KRT_Saturday-16_out-b,,,16015,120,,,,
KRT_Saturday-16_out-b,8:28:00,8:28:00,16001,121,,,,
KRT_Saturday-16_out-c,9:00:00,9:00:00,3,100,,,,
KRT_Saturday-16_out-c,,,3089,101,,,,
KRT_Saturday-16_out-c,,,3090,102,,,,
KRT_Saturday-16_out-c,,,3091,103,,,,
KRT_Saturday-16_out-c,,,3092,104,,,,
KRT_Saturday-16_out-c,,,3093,105,,,,
KRT_Saturday-16_out-c,,,3094,106,,,,
KRT_Saturday-16_out-c,,,3095,107,,,,
KRT_Saturday-16_out-c,,,3096,108,,,,
KRT_Saturday-16_out-c,,,3097,109,,,,
KRT_Saturday-16_out-c,9:15:00,9:15:00,2001,110,,,,
KRT_Saturday-16_out-c,,,2019,111,,,,
KRT_Saturday-16_out-c,,,2020,112,,,,
KRT_Saturday-16_out-c,,,2021,113,,,,
KRT_Saturday-16_out-c,,,2022,114,,,,
KRT_Saturday-16_out-c,,,16010,115,,,,
KRT_Saturday-16_out-c,,,16011,116,,,,
KRT_Saturday-16_out-c,,,16012,117,,,,
KRT_Saturday-16_out-c,,,16013,118,,,,
KRT_Saturday-16_out-c,,,16014,119,,,,
KRT_Saturday-16_out-c,,,16015,120,,,,
KRT_Saturday-16_out-c,9:28:00,9:28:00,16001,121,,,,
KRT_Saturday-16_out-d,10:00:00,10:00:00,3,100,,,,
KRT_Saturday-16_out-d,,,3089,101,,,,
KRT_Saturday-16_out-d,,,3090,102,,,,
KRT_Saturday-16_out-d,,,3091,103,,,,
KRT_Saturday-16_out-d,,,3092,104,,,,
KRT_Saturday-16_out-d,,,3093,105,,,,
KRT_Saturday-16_out-d,,,3094,106,,,,
KRT_Saturday-16_out-d,,,3095,107,,,,
KRT_Saturday-16_out-d,,,3096,108,,,,
KRT_Saturday-16_out-d,,,3097,109,,,,
KRT_Saturday-16_out-d,10:15:00,10:15:00,2001,110,,,,
KRT_Saturday-16_out-d,,,2019,111,,,,
KRT_Saturday-16_out-d,,,2020,112,,,,
KRT_Saturday-16_out-d,,,2021,113,,,,
KRT_Saturday-16_out-d,,,2022,114,,,,
