shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R2_cc_in, 38.203107, -81.505615, 1, 0.00
R2_cc_in, 38.203262, -81.505446, 2, 0.01
R2_cc_in, 38.204054, -81.506667, 3, 0.10
R2_cc_in, 38.204377, -81.507039, 4, 0.13
R2_cc_in, 38.205628, -81.508620, 5, 0.25
R2_cc_in, 38.206017, -81.508935, 6, 0.28
R2_cc_in, 38.206340, -81.509285, 7, 0.31
R2_cc_in, 38.207621, -81.510761, 8, 0.43
R2_cc_in, 38.208316, -81.511535, 9, 0.50
R2_cc_in, 38.208633, -81.511901, 10, 0.53
R2_cc_in, 38.209537, -81.512503, 11, 0.60
R2_cc_in, 38.209749, -81.512492, 12, 0.61
R2_cc_in, 38.209916, -81.512390, 13, 0.62
R2_cc_in, 38.210384, -81.511669, 14, 0.67
R2_cc_in, 38.210455, -81.511370, 15, 0.69
R2_cc_in, 38.209743, -81.511047, 16, 0.74
R2_cc_in, 38.208876, -81.510226, 17, 0.82
R2_cc_in, 38.207756, -81.508993, 18, 0.92
R2_cc_in, 38.206597, -81.507675, 19, 1.03
R2_cc_in, 38.206274, -81.507288, 20, 1.06
R2_cc_in, 38.204976, -81.505566, 21, 1.19
R2_cc_in, 38.204249, -81.504490, 22, 1.27
R2_cc_in, 38.203426, -81.503210, 23, 1.36
R2_cc_in, 38.203390, -81.502992, 24, 1.37
R2_cc_in, 38.203495, -81.502714, 25, 1.38
R2_cc_in, 38.203720, -81.502477, 26, 1.40
R2_cc_in, 38.203661, -81.502276, 27, 1.42
R2_cc_in, 38.203489, -81.501971, 28, 1.44
R2_cc_in, 38.202343, -81.500901, 29, 1.53
R2_cc_in, 38.201548, -81.500014, 30, 1.61
R2_cc_in, 38.201010, -81.499243, 31, 1.66
R2_cc_in, 38.200426, -81.497980, 32, 1.74
R2_cc_in, 38.199913, -81.496009, 33, 1.86
R2_cc_in, 38.199266, -81.496160, 34, 1.90
R2_cc_in, 38.198634, -81.496221, 35, 1.95
R2_cc_in, 38.196078, -81.496755, 36, 2.12
R2_cc_in, 38.195842, -81.494645, 37, 2.24
R2_cc_in, 38.195705, -81.493505, 38, 2.30
R2_cc_in, 38.195544, -81.493404, 39, 2.32
R2_cc_in, 38.195348, -81.493498, 40, 2.33
R2_cc_in, 38.195364, -81.493910, 41, 2.35
R2_cc_in, 38.195370, -81.494879, 42, 2.41
R2_cc_in, 38.195413, -81.495691, 43, 2.45
R2_cc_in, 38.195817, -81.497043, 44, 2.53
R2_cc_in, 38.195919, -81.497609, 45, 2.56
R2_cc_in, 38.195947, -81.497940, 46, 2.58
R2_cc_in, 38.195829, -81.499694, 47, 2.67
R2_cc_in, 38.195737, -81.500689, 48, 2.73
R2_cc_in, 38.195743, -81.501486, 49, 2.77
R2_cc_in, 38.195813, -81.502057, 50, 2.80
R2_cc_in, 38.196089, -81.503426, 51, 2.88
R2_cc_in, 38.196581, -81.504877, 52, 2.97
R2_cc_in, 38.197191, -81.506223, 53, 3.05
R2_cc_in, 38.197973, -81.507622, 54, 3.14
R2_cc_in, 38.199497, -81.510300, 55, 3.32
R2_cc_in, 38.200783, -81.512228, 56, 3.46
R2_cc_in, 38.201482, -81.513143, 57, 3.53
R2_cc_in, 38.202680, -81.514415, 58, 3.64
R2_cc_in, 38.204338, -81.515947, 59, 3.78
R2_cc_in, 38.205771, -81.517281, 60, 3.90
R2_cc_in, 38.207529, -81.518987, 61, 4.05
R2_cc_in, 38.208247, -81.519752, 62, 4.12
R2_cc_in, 38.209285, -81.520955, 63, 4.22
R2_cc_in, 38.210061, -81.521928, 64, 4.29
R2_cc_in, 38.210846, -81.522976, 65, 4.37
R2_cc_in, 38.211106, -81.523312, 66, 4.40
R2_cc_in, 38.211762, -81.523991, 67, 4.45
R2_cc_in, 38.213044, -81.524888, 68, 4.56
R2_cc_in, 38.214143, -81.525668, 69, 4.64
R2_cc_in, 38.214722, -81.526130, 70, 4.69
R2_cc_in, 38.215534, -81.526881, 71, 4.76
R2_cc_in, 38.216513, -81.527765, 72, 4.84
R2_cc_in, 38.217766, -81.528944, 73, 4.95
R2_cc_in, 38.218509, -81.529704, 74, 5.02
R2_cc_in, 38.219136, -81.530476, 75, 5.08
R2_cc_in, 38.220044, -81.531697, 76, 5.17
R2_cc_in, 38.220922, -81.532848, 77, 5.25
R2_cc_in, 38.221786, -81.534023, 78, 5.34
R2_cc_in, 38.222540, -81.535039, 79, 5.42
R2_cc_in, 38.224201, -81.537303, 80, 5.59
R2_cc_in, 38.225149, -81.538559, 81, 5.68
R2_cc_in, 38.226014, -81.539638, 82, 5.76
R2_cc_in, 38.227953, -81.542194, 83, 5.96
R2_cc_in, 38.228942, -81.543539, 84, 6.06
R2_cc_in, 38.230078, -81.545051, 85, 6.17
R2_cc_in, 38.231381, -81.546787, 86, 6.30
R2_cc_in, 38.232227, -81.547935, 87, 6.39
R2_cc_in, 38.232968, -81.548934, 88, 6.46
R2_cc_in, 38.234538, -81.551048, 89, 6.62
R2_cc_in, 38.236209, -81.553278, 90, 6.79
R2_cc_in, 38.237466, -81.554943, 91, 6.91
R2_cc_in, 38.238416, -81.556177, 92, 7.01
R2_cc_in, 38.239171, -81.557297, 93, 7.09
R2_cc_in, 38.239892, -81.558485, 94, 7.17
R2_cc_in, 38.240477, -81.559374, 95, 7.23
R2_cc_in, 38.241067, -81.560338, 96, 7.30
R2_cc_in, 38.241228, -81.560605, 97, 7.31
R2_cc_in, 38.241654, -81.561119, 98, 7.36
R2_cc_in, 38.242282, -81.561601, 99, 7.41
R2_cc_in, 38.242811, -81.561960, 100, 7.45
R2_cc_in, 38.242909, -81.562032, 101, 7.45
R2_cc_in, 38.243099, -81.562473, 102, 7.48
R2_cc_in, 38.243140, -81.562710, 103, 7.50
R2_cc_in, 38.243135, -81.563071, 104, 7.52
R2_cc_in, 38.243058, -81.563333, 105, 7.53
R2_cc_in, 38.242696, -81.564095, 106, 7.58
R2_cc_in, 38.242495, -81.564503, 107, 7.60
R2_cc_in, 38.242329, -81.564918, 108, 7.63
R2_cc_in, 38.242308, -81.565037, 109, 7.64
R2_cc_in, 38.242323, -81.565254, 110, 7.65
R2_cc_in, 38.242412, -81.565476, 111, 7.66
R2_cc_in, 38.242939, -81.565868, 112, 7.70
R2_cc_in, 38.243666, -81.566364, 113, 7.76
R2_cc_in, 38.244047, -81.566640, 114, 7.79
R2_cc_in, 38.244455, -81.566773, 115, 7.82
R2_cc_in, 38.244888, -81.566839, 116, 7.85
R2_cc_in, 38.245322, -81.566993, 117, 7.88
R2_cc_in, 38.246162, -81.567645, 118, 7.95
