trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-1sa_out_tm_6035-a,6:00:00,6:00:00,1,100,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1010,101,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1011,102,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1012,103,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1013,104,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1014,105,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1015,106,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1016,107,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1017,108,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1018,109,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1019,110,,,,
KRT_Saturday-1sa_out_tm_6035-a,6:13:00,6:13:00,1001,111,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1030,112,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1031,113,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1032,114,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1034,115,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1035,116,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1036,117,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1037,118,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1038,119,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1039,120,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1040,121,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1041,122,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1042,123,,,,
KRT_Saturday-1sa_out_tm_6035-a,6:28:00,6:28:00,1003,124,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1043,125,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1044,126,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1045,127,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1046,128,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1047,129,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1048,130,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1049,131,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1050,132,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1051,133,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1052,134,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1053,135,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1054,136,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1055,137,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1056,138,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1057,139,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1058,140,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1059,141,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1060,142,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1061,143,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1062,144,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1063,145,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1064,146,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1065,147,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1066,148,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1067,149,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1068,150,,,,
KRT_Saturday-1sa_out_tm_6035-a,6:50:00,6:50:00,1004,151,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1069,152,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1070,153,,,,
KRT_Saturday-1sa_out_tm_6035-a,,,1071,154,,,,
KRT_Saturday-1sa_out_tm_6035-a,6:55:00,6:55:00,1005,155,,,,
KRT_Saturday-1sa_out_tm_6035-b,7:00:00,7:00:00,1,100,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1010,101,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1011,102,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1012,103,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1013,104,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1014,105,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1015,106,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1016,107,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1017,108,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1018,109,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1019,110,,,,
KRT_Saturday-1sa_out_tm_6035-b,7:13:00,7:13:00,1001,111,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1030,112,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1031,113,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1032,114,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1034,115,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1035,116,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1036,117,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1037,118,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1038,119,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1039,120,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1040,121,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1041,122,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1042,123,,,,
KRT_Saturday-1sa_out_tm_6035-b,7:28:00,7:28:00,1003,124,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1043,125,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1044,126,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1045,127,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1046,128,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1047,129,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1048,130,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1049,131,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1050,132,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1051,133,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1052,134,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1053,135,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1054,136,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1055,137,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1056,138,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1057,139,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1058,140,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1059,141,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1060,142,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1061,143,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1062,144,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1063,145,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1064,146,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1065,147,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1066,148,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1067,149,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1068,150,,,,
KRT_Saturday-1sa_out_tm_6035-b,7:50:00,7:50:00,1004,151,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1069,152,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1070,153,,,,
KRT_Saturday-1sa_out_tm_6035-b,,,1071,154,,,,
KRT_Saturday-1sa_out_tm_6035-b,7:55:00,7:55:00,1005,155,,,,
KRT_Saturday-1sa_out_tm_6035-c,8:00:00,8:00:00,1,100,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1010,101,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1011,102,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1012,103,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1013,104,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1014,105,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1015,106,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1016,107,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1017,108,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1018,109,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1019,110,,,,
KRT_Saturday-1sa_out_tm_6035-c,8:13:00,8:13:00,1001,111,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1030,112,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1031,113,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1032,114,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1034,115,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1035,116,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1036,117,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1037,118,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1038,119,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1039,120,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1040,121,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1041,122,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1042,123,,,,
KRT_Saturday-1sa_out_tm_6035-c,8:28:00,8:28:00,1003,124,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1043,125,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1044,126,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1045,127,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1046,128,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1047,129,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1048,130,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1049,131,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1050,132,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1051,133,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1052,134,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1053,135,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1054,136,,,,
KRT_Saturday-1sa_out_tm_6035-c,,,1055,137,,,,
