trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-21_WalLoc_x_tm-a,16:20:00,16:20:00,21004,100,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21021,101,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21022,102,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21023,103,,,,
KRT_Saturday-21_WalLoc_x_tm-a,16:25:00,16:25:00,21005,104,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21023,105,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21024,106,,,,
KRT_Saturday-21_WalLoc_x_tm-a,16:32:00,16:32:00,21006,107,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21017,108,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21018,109,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21019,110,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21020,111,,,,
KRT_Saturday-21_WalLoc_x_tm-a,16:42:00,16:42:00,21003,112,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21020,113,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21027,114,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21013,115,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21012,116,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21025,117,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,21026,118,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,3087,119,,,,
KRT_Saturday-21_WalLoc_x_tm-a,,,3088,120,,,,
KRT_Saturday-21_WalLoc_x_tm-a,16:57:00,16:57:00,1,121,,,,
KRT_Saturday-21_WalLoc_x_tm-b,17:07:00,17:07:00,21004,100,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21021,101,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21022,102,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21023,103,,,,
KRT_Saturday-21_WalLoc_x_tm-b,17:12:00,17:12:00,21005,104,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21023,105,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21024,106,,,,
KRT_Saturday-21_WalLoc_x_tm-b,17:30:00,17:30:00,21006,107,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21017,108,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21018,109,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21019,110,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21020,111,,,,
KRT_Saturday-21_WalLoc_x_tm-b,17:42:00,17:42:00,21003,112,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21020,113,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21027,114,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21013,115,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21012,116,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21025,117,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,21026,118,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,3087,119,,,,
KRT_Saturday-21_WalLoc_x_tm-b,,,3088,120,,,,
KRT_Saturday-21_WalLoc_x_tm-b,17:57:00,17:57:00,1,121,,,,
