shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R22_in_Montgomery, 38.351851, -81.635506, 1, 0.00
R22_in_Montgomery, 38.351820, -81.635513, 2, 0.00
R22_in_Montgomery, 38.352956, -81.633498, 3, 0.14
R22_in_Montgomery, 38.352192, -81.632878, 4, 0.20
R22_in_Montgomery, 38.351341, -81.632162, 5, 0.27
R22_in_Montgomery, 38.350487, -81.631458, 6, 0.34
R22_in_Montgomery, 38.349140, -81.629808, 7, 0.47
R22_in_Montgomery, 38.347867, -81.628257, 8, 0.59
R22_in_Montgomery, 38.346633, -81.626765, 9, 0.71
R22_in_Montgomery, 38.345057, -81.624859, 10, 0.86
R22_in_Montgomery, 38.344691, -81.624393, 11, 0.89
R22_in_Montgomery, 38.344084, -81.623496, 12, 0.96
R22_in_Montgomery, 38.343026, -81.621923, 13, 1.07
R22_in_Montgomery, 38.342101, -81.619967, 14, 1.19
R22_in_Montgomery, 38.340956, -81.617533, 15, 1.35
R22_in_Montgomery, 38.340205, -81.616053, 16, 1.44
R22_in_Montgomery, 38.339079, -81.613992, 17, 1.58
R22_in_Montgomery, 38.338127, -81.614816, 18, 1.66
R22_in_Montgomery, 38.337324, -81.615538, 19, 1.73
R22_in_Montgomery, 38.336433, -81.616339, 20, 1.80
R22_in_Montgomery, 38.335891, -81.614573, 21, 1.91
R22_in_Montgomery, 38.335580, -81.613298, 22, 1.98
R22_in_Montgomery, 38.335320, -81.611923, 23, 2.06
R22_in_Montgomery, 38.335254, -81.611018, 24, 2.10
R22_in_Montgomery, 38.335464, -81.610951, 25, 2.12
R22_in_Montgomery, 38.337237, -81.610103, 26, 2.25
R22_in_Montgomery, 38.336882, -81.608932, 27, 2.32
R22_in_Montgomery, 38.336669, -81.608168, 28, 2.36
R22_in_Montgomery, 38.336524, -81.607573, 29, 2.40
R22_in_Montgomery, 38.336206, -81.606003, 30, 2.48
R22_in_Montgomery, 38.335800, -81.603942, 31, 2.60
R22_in_Montgomery, 38.335504, -81.602094, 32, 2.70
R22_in_Montgomery, 38.335205, -81.600325, 33, 2.80
R22_in_Montgomery, 38.335282, -81.599578, 34, 2.84
R22_in_Montgomery, 38.334919, -81.597531, 35, 2.96
R22_in_Montgomery, 38.334579, -81.596617, 36, 3.01
R22_in_Montgomery, 38.334138, -81.596753, 37, 3.04
R22_in_Montgomery, 38.333994, -81.595573, 38, 3.11
R22_in_Montgomery, 38.333728, -81.593549, 39, 3.22
R22_in_Montgomery, 38.333409, -81.591495, 40, 3.33
R22_in_Montgomery, 38.332943, -81.588592, 41, 3.49
R22_in_Montgomery, 38.332599, -81.587126, 42, 3.58
R22_in_Montgomery, 38.332292, -81.586133, 43, 3.63
R22_in_Montgomery, 38.331960, -81.585200, 44, 3.69
R22_in_Montgomery, 38.331371, -81.583794, 45, 3.78
R22_in_Montgomery, 38.331048, -81.583031, 46, 3.82
R22_in_Montgomery, 38.330607, -81.581992, 47, 3.89
R22_in_Montgomery, 38.330113, -81.580865, 48, 3.96
R22_in_Montgomery, 38.329752, -81.580015, 49, 4.01
R22_in_Montgomery, 38.329486, -81.579494, 50, 4.04
R22_in_Montgomery, 38.328972, -81.578754, 51, 4.10
R22_in_Montgomery, 38.328421, -81.578076, 52, 4.15
R22_in_Montgomery, 38.327684, -81.576956, 53, 4.23
R22_in_Montgomery, 38.326943, -81.575732, 54, 4.31
R22_in_Montgomery, 38.325832, -81.573710, 55, 4.45
R22_in_Montgomery, 38.325292, -81.572742, 56, 4.51
R22_in_Montgomery, 38.324949, -81.572173, 57, 4.55
R22_in_Montgomery, 38.324406, -81.571540, 58, 4.60
R22_in_Montgomery, 38.323729, -81.570932, 59, 4.66
R22_in_Montgomery, 38.323160, -81.570259, 60, 4.71
R22_in_Montgomery, 38.322144, -81.569095, 61, 4.81
R22_in_Montgomery, 38.320906, -81.567301, 62, 4.94
R22_in_Montgomery, 38.320052, -81.566116, 63, 5.02
R22_in_Montgomery, 38.319558, -81.565270, 64, 5.08
R22_in_Montgomery, 38.319170, -81.564520, 65, 5.13
R22_in_Montgomery, 38.318497, -81.563240, 66, 5.21
R22_in_Montgomery, 38.318068, -81.562451, 67, 5.27
R22_in_Montgomery, 38.317707, -81.562087, 68, 5.30
R22_in_Montgomery, 38.316984, -81.561543, 69, 5.36
R22_in_Montgomery, 38.316405, -81.561117, 70, 5.40
R22_in_Montgomery, 38.315712, -81.560645, 71, 5.46
R22_in_Montgomery, 38.314977, -81.560116, 72, 5.51
R22_in_Montgomery, 38.314056, -81.559621, 73, 5.58
R22_in_Montgomery, 38.313097, -81.559076, 74, 5.66
R22_in_Montgomery, 38.311975, -81.558428, 75, 5.74
R22_in_Montgomery, 38.310841, -81.557494, 76, 5.83
R22_in_Montgomery, 38.310164, -81.556938, 77, 5.89
R22_in_Montgomery, 38.309564, -81.556545, 78, 5.94
R22_in_Montgomery, 38.309106, -81.556313, 79, 5.97
R22_in_Montgomery, 38.308696, -81.556170, 80, 6.00
R22_in_Montgomery, 38.307969, -81.556120, 81, 6.05
R22_in_Montgomery, 38.306477, -81.556089, 82, 6.15
R22_in_Montgomery, 38.305029, -81.556046, 83, 6.25
R22_in_Montgomery, 38.303680, -81.555969, 84, 6.35
R22_in_Montgomery, 38.301861, -81.555876, 85, 6.47
R22_in_Montgomery, 38.301104, -81.555855, 86, 6.52
R22_in_Montgomery, 38.300610, -81.555894, 87, 6.56
R22_in_Montgomery, 38.300068, -81.555989, 88, 6.59
R22_in_Montgomery, 38.299928, -81.555799, 89, 6.61
R22_in_Montgomery, 38.299938, -81.555645, 90, 6.62
R22_in_Montgomery, 38.300107, -81.555399, 91, 6.64
R22_in_Montgomery, 38.300337, -81.555420, 92, 6.65
R22_in_Montgomery, 38.300547, -81.555620, 93, 6.67
R22_in_Montgomery, 38.300726, -81.556939, 94, 6.74
R22_in_Montgomery, 38.298919, -81.557560, 95, 6.87
R22_in_Montgomery, 38.298740, -81.557638, 96, 6.88
R22_in_Montgomery, 38.297842, -81.558414, 97, 6.96
R22_in_Montgomery, 38.297194, -81.559012, 98, 7.01
R22_in_Montgomery, 38.296568, -81.559560, 99, 7.07
R22_in_Montgomery, 38.296440, -81.559599, 100, 7.08
R22_in_Montgomery, 38.296301, -81.559586, 101, 7.09
R22_in_Montgomery, 38.296136, -81.559567, 102, 7.10
R22_in_Montgomery, 38.295813, -81.559318, 103, 7.12
R22_in_Montgomery, 38.295484, -81.559096, 104, 7.15
