shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R22_out_Montgomery, 38.351851, -81.635506, 1, 0.00
R22_out_Montgomery, 38.351820, -81.635513, 2, 0.00
R22_out_Montgomery, 38.352440, -81.634581, 3, 0.07
R22_out_Montgomery, 38.351682, -81.633995, 4, 0.13
R22_out_Montgomery, 38.350827, -81.633278, 5, 0.20
R22_out_Montgomery, 38.349886, -81.632550, 6, 0.28
R22_out_Montgomery, 38.348479, -81.630748, 7, 0.41
R22_out_Montgomery, 38.347195, -81.629192, 8, 0.54
R22_out_Montgomery, 38.347867, -81.628257, 9, 0.61
R22_out_Montgomery, 38.346633, -81.626765, 10, 0.72
R22_out_Montgomery, 38.345057, -81.624859, 11, 0.87
R22_out_Montgomery, 38.344691, -81.624393, 12, 0.91
R22_out_Montgomery, 38.344084, -81.623496, 13, 0.97
R22_out_Montgomery, 38.343026, -81.621923, 14, 1.09
R22_out_Montgomery, 38.342101, -81.619967, 15, 1.21
R22_out_Montgomery, 38.340956, -81.617533, 16, 1.36
R22_out_Montgomery, 38.340205, -81.616053, 17, 1.46
R22_out_Montgomery, 38.339123, -81.614079, 18, 1.59
R22_out_Montgomery, 38.338174, -81.614905, 19, 1.67
R22_out_Montgomery, 38.337360, -81.615636, 20, 1.74
R22_out_Montgomery, 38.336404, -81.616515, 21, 1.82
R22_out_Montgomery, 38.335824, -81.614700, 22, 1.93
R22_out_Montgomery, 38.335499, -81.613335, 23, 2.00
R22_out_Montgomery, 38.335230, -81.611941, 24, 2.08
R22_out_Montgomery, 38.335170, -81.611041, 25, 2.13
R22_out_Montgomery, 38.335464, -81.610951, 26, 2.15
R22_out_Montgomery, 38.337237, -81.610103, 27, 2.28
R22_out_Montgomery, 38.336882, -81.608932, 28, 2.35
R22_out_Montgomery, 38.336669, -81.608168, 29, 2.39
R22_out_Montgomery, 38.336524, -81.607573, 30, 2.43
R22_out_Montgomery, 38.336206, -81.606003, 31, 2.52
R22_out_Montgomery, 38.335821, -81.604003, 32, 2.63
R22_out_Montgomery, 38.334736, -81.604183, 33, 2.70
R22_out_Montgomery, 38.334608, -81.602733, 34, 2.78
R22_out_Montgomery, 38.334411, -81.600753, 35, 2.89
R22_out_Montgomery, 38.334276, -81.599558, 36, 2.96
R22_out_Montgomery, 38.334232, -81.599197, 37, 2.98
R22_out_Montgomery, 38.334178, -81.598684, 38, 3.00
R22_out_Montgomery, 38.334127, -81.598175, 39, 3.03
R22_out_Montgomery, 38.334104, -81.597647, 40, 3.06
R22_out_Montgomery, 38.334100, -81.597149, 41, 3.09
R22_out_Montgomery, 38.334078, -81.596729, 42, 3.11
R22_out_Montgomery, 38.333942, -81.595615, 43, 3.17
R22_out_Montgomery, 38.333645, -81.593477, 44, 3.29
R22_out_Montgomery, 38.333346, -81.591538, 45, 3.40
R22_out_Montgomery, 38.332895, -81.588683, 46, 3.56
R22_out_Montgomery, 38.332535, -81.587148, 47, 3.64
R22_out_Montgomery, 38.332086, -81.585845, 48, 3.72
R22_out_Montgomery, 38.331659, -81.584621, 49, 3.79
R22_out_Montgomery, 38.331088, -81.583433, 50, 3.87
R22_out_Montgomery, 38.330356, -81.582197, 51, 3.95
R22_out_Montgomery, 38.329828, -81.580991, 52, 4.03
R22_out_Montgomery, 38.329529, -81.580356, 53, 4.07
R22_out_Montgomery, 38.328962, -81.579573, 54, 4.13
R22_out_Montgomery, 38.328519, -81.578986, 55, 4.17
R22_out_Montgomery, 38.327970, -81.578075, 56, 4.23
R22_out_Montgomery, 38.327219, -81.576854, 57, 4.32
R22_out_Montgomery, 38.326563, -81.575787, 58, 4.39
