trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-22q_in_qw_tm-a,7:33:00,7:33:00,2006,100,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2061,101,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2060,102,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22033,103,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22032,104,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22031,105,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22030,106,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22029,107,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22028,108,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22027,109,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22026,110,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22025,111,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22024,112,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22023,113,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22022,114,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22021,115,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22020,116,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22019,117,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22018,118,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22017,119,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22016,120,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22015,121,,,,
KRT_Saturday-22q_in_qw_tm-a,7:51:00,7:51:00,22001,122,,,,
KRT_Saturday-22q_in_qw_tm-a,,,7016,123,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22014,124,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22013,125,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22012,126,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22011,127,,,,
KRT_Saturday-22q_in_qw_tm-a,,,22010,128,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2020,129,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2019,130,,,,
KRT_Saturday-22q_in_qw_tm-a,8:01:00,8:01:00,2001,131,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2017,132,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2016,133,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2015,134,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2014,135,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2013,136,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2012,137,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2035,138,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2036,139,,,,
KRT_Saturday-22q_in_qw_tm-a,,,2037,140,,,,
KRT_Saturday-22q_in_qw_tm-a,8:15:00,8:15:00,1,141,,,,
KRT_Saturday-22q_in_qw_tm-b,8:33:00,8:33:00,2006,100,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2061,101,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2060,102,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22033,103,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22032,104,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22031,105,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22030,106,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22029,107,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22028,108,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22027,109,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22026,110,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22025,111,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22024,112,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22023,113,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22022,114,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22021,115,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22020,116,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22019,117,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22018,118,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22017,119,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22016,120,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22015,121,,,,
KRT_Saturday-22q_in_qw_tm-b,8:51:00,8:51:00,22001,122,,,,
KRT_Saturday-22q_in_qw_tm-b,,,7016,123,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22014,124,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22013,125,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22012,126,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22011,127,,,,
KRT_Saturday-22q_in_qw_tm-b,,,22010,128,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2020,129,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2019,130,,,,
KRT_Saturday-22q_in_qw_tm-b,9:01:00,9:01:00,2001,131,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2017,132,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2016,133,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2015,134,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2014,135,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2013,136,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2012,137,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2035,138,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2036,139,,,,
KRT_Saturday-22q_in_qw_tm-b,,,2037,140,,,,
KRT_Saturday-22q_in_qw_tm-b,9:15:00,9:15:00,1,141,,,,
KRT_Saturday-22q_in_qw_tm-c,9:33:00,9:33:00,2006,100,,,,
KRT_Saturday-22q_in_qw_tm-c,,,2061,101,,,,
KRT_Saturday-22q_in_qw_tm-c,,,2060,102,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22033,103,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22032,104,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22031,105,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22030,106,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22029,107,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22028,108,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22027,109,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22026,110,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22025,111,,,,
KRT_Saturday-22q_in_qw_tm-c,,,22024,112,,,,
