shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R23_in_Clendenin, 38.351860, -81.635703, 1, 0.00
R23_in_Clendenin, 38.352466, -81.634784, 2, 0.07
R23_in_Clendenin, 38.353390, -81.635560, 3, 0.14
R23_in_Clendenin, 38.354646, -81.636888, 4, 0.25
R23_in_Clendenin, 38.355504, -81.638064, 5, 0.34
R23_in_Clendenin, 38.355948, -81.638760, 6, 0.39
R23_in_Clendenin, 38.356894, -81.640274, 7, 0.49
R23_in_Clendenin, 38.357192, -81.640586, 8, 0.52
R23_in_Clendenin, 38.358278, -81.641166, 9, 0.60
R23_in_Clendenin, 38.359292, -81.641727, 10, 0.68
R23_in_Clendenin, 38.359780, -81.640760, 11, 0.74
R23_in_Clendenin, 38.360222, -81.639516, 12, 0.82
R23_in_Clendenin, 38.360636, -81.638140, 13, 0.90
R23_in_Clendenin, 38.360640, -81.636730, 14, 0.97
R23_in_Clendenin, 38.360644, -81.634854, 15, 1.07
R23_in_Clendenin, 38.360624, -81.633598, 16, 1.14
R23_in_Clendenin, 38.360594, -81.632694, 17, 1.19
R23_in_Clendenin, 38.360748, -81.631711, 18, 1.25
R23_in_Clendenin, 38.360840, -81.631385, 19, 1.26
R23_in_Clendenin, 38.360768, -81.631203, 20, 1.28
R23_in_Clendenin, 38.360422, -81.630707, 21, 1.31
R23_in_Clendenin, 38.360044, -81.630278, 22, 1.35
R23_in_Clendenin, 38.359940, -81.629953, 23, 1.37
R23_in_Clendenin, 38.360014, -81.629621, 24, 1.38
R23_in_Clendenin, 38.360472, -81.628550, 25, 1.45
R23_in_Clendenin, 38.360810, -81.627593, 26, 1.51
R23_in_Clendenin, 38.360756, -81.624783, 27, 1.66
R23_in_Clendenin, 38.360776, -81.624337, 28, 1.68
R23_in_Clendenin, 38.361299, -81.623173, 29, 1.76
R23_in_Clendenin, 38.361370, -81.622977, 30, 1.77
R23_in_Clendenin, 38.361616, -81.621279, 31, 1.86
R23_in_Clendenin, 38.363044, -81.617239, 32, 2.10
R23_in_Clendenin, 38.364340, -81.613290, 33, 2.34
R23_in_Clendenin, 38.365800, -81.612026, 34, 2.46
R23_in_Clendenin, 38.366678, -81.611092, 35, 2.54
R23_in_Clendenin, 38.367768, -81.609975, 36, 2.63
R23_in_Clendenin, 38.368750, -81.609143, 37, 2.71
R23_in_Clendenin, 38.369954, -81.608269, 38, 2.81
R23_in_Clendenin, 38.372345, -81.606766, 39, 2.99
R23_in_Clendenin, 38.374328, -81.605500, 40, 3.15
R23_in_Clendenin, 38.375782, -81.604513, 41, 3.26
R23_in_Clendenin, 38.377650, -81.602975, 42, 3.41
R23_in_Clendenin, 38.380010, -81.601124, 43, 3.61
R23_in_Clendenin, 38.381280, -81.599675, 44, 3.72
R23_in_Clendenin, 38.382280, -81.598057, 45, 3.84
R23_in_Clendenin, 38.382884, -81.596661, 46, 3.92
R23_in_Clendenin, 38.383566, -81.594803, 47, 4.03
R23_in_Clendenin, 38.383840, -81.594295, 48, 4.07
R23_in_Clendenin, 38.384434, -81.593886, 49, 4.11
R23_in_Clendenin, 38.384978, -81.593702, 50, 4.15
R23_in_Clendenin, 38.385714, -81.593689, 51, 4.20
R23_in_Clendenin, 38.386666, -81.594106, 52, 4.27
R23_in_Clendenin, 38.387564, -81.594146, 53, 4.33
R23_in_Clendenin, 38.388130, -81.593975, 54, 4.37
R23_in_Clendenin, 38.389406, -81.593301, 55, 4.47
R23_in_Clendenin, 38.389984, -81.592967, 56, 4.51
R23_in_Clendenin, 38.390986, -81.592746, 57, 4.58
R23_in_Clendenin, 38.391294, -81.592480, 58, 4.61
R23_in_Clendenin, 38.392038, -81.591251, 59, 4.69
R23_in_Clendenin, 38.392962, -81.589718, 60, 4.80
R23_in_Clendenin, 38.393728, -81.588453, 61, 4.88
R23_in_Clendenin, 38.394146, -81.587757, 62, 4.93
R23_in_Clendenin, 38.394790, -81.587156, 63, 4.99
R23_in_Clendenin, 38.396614, -81.585757, 64, 5.13
R23_in_Clendenin, 38.397960, -81.584754, 65, 5.24
R23_in_Clendenin, 38.398838, -81.584149, 66, 5.31
R23_in_Clendenin, 38.399368, -81.583718, 67, 5.35
R23_in_Clendenin, 38.399848, -81.583144, 68, 5.40
R23_in_Clendenin, 38.400164, -81.582518, 69, 5.44
R23_in_Clendenin, 38.400388, -81.581868, 70, 5.48
R23_in_Clendenin, 38.400480, -81.581060, 71, 5.52
