trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,24:05:00,24:05:00,3007,100,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3082,101,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3077,102,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3076,103,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3075,104,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3074,105,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3073,106,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3072,107,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3071,108,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3070,109,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3069,110,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3068,111,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3067,112,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,24:15:00,24:15:00,3005,113,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3066,114,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3065,115,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3064,116,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3063,117,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3062,118,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3061,119,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3060,120,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3059,121,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3058,122,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3057,123,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3056,124,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3055,125,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3054,126,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3053,127,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3052,128,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3051,129,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3049,130,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3048,131,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3047,132,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3046,133,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,24:25:00,24:25:00,3008,134,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3045,135,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3044,136,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3043,137,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3042,138,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3041,139,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3040,140,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3039,141,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,24:31:00,24:31:00,3003,142,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3038,143,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3037,144,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3036,145,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3035,146,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3034,147,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3033,148,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,,,3032,149,,,,
KRT_Saturday-3n_in_mgr_NoNmp_NoSas_26-a,24:37:00,24:37:00,3009,150,,,,
