trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-3n_in_nmp_tm-a,6:47:00,6:47:00,3006,100,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3081,101,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3082,102,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3077,103,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3076,104,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3075,105,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3074,106,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3073,107,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3072,108,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3071,109,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3070,110,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3069,111,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3068,112,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3067,113,,,,
KRT_Saturday-3n_in_nmp_tm-a,6:57:00,6:57:00,3005,114,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3066,115,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3065,116,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3064,117,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3063,118,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3062,119,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3061,120,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3060,121,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3059,122,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3058,123,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3057,124,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3056,125,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3055,126,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3054,127,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3053,128,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3052,129,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3051,130,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3050,131,,,,
KRT_Saturday-3n_in_nmp_tm-a,7:12:00,7:12:00,1004,132,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3050,133,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3051,134,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3049,135,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3048,136,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3047,137,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3046,138,,,,
KRT_Saturday-3n_in_nmp_tm-a,7:22:00,7:22:00,3008,139,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3045,140,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3044,141,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3043,142,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3042,143,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3041,144,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3040,145,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3039,146,,,,
KRT_Saturday-3n_in_nmp_tm-a,7:30:00,7:30:00,3003,147,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3038,148,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3037,149,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3036,150,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3035,151,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3034,152,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3033,153,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3032,154,,,,
KRT_Saturday-3n_in_nmp_tm-a,7:42:00,7:42:00,3009,155,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3031,156,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3030,157,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3029,158,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3028,159,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3027,160,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3026,161,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3025,162,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3024,163,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3023,164,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3083,165,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3084,166,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3085,167,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3086,168,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3087,169,,,,
KRT_Saturday-3n_in_nmp_tm-a,,,3088,170,,,,
KRT_Saturday-3n_in_nmp_tm-a,8:00:00,8:00:00,1,171,,,,
KRT_Saturday-3n_in_nmp_tm-b,7:47:00,7:47:00,3006,100,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3081,101,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3082,102,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3077,103,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3076,104,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3075,105,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3074,106,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3073,107,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3072,108,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3071,109,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3070,110,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3069,111,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3068,112,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3067,113,,,,
KRT_Saturday-3n_in_nmp_tm-b,7:57:00,7:57:00,3005,114,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3066,115,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3065,116,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3064,117,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3063,118,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3062,119,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3061,120,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3060,121,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3059,122,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3058,123,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3057,124,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3056,125,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3055,126,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3054,127,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3053,128,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3052,129,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3051,130,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3050,131,,,,
KRT_Saturday-3n_in_nmp_tm-b,8:12:00,8:12:00,1004,132,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3050,133,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3051,134,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3049,135,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3048,136,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3047,137,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3046,138,,,,
KRT_Saturday-3n_in_nmp_tm-b,8:22:00,8:22:00,3008,139,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3045,140,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3044,141,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3043,142,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3042,143,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3041,144,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3040,145,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3039,146,,,,
KRT_Saturday-3n_in_nmp_tm-b,8:30:00,8:30:00,3003,147,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3038,148,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3037,149,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3036,150,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3035,151,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3034,152,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3033,153,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3032,154,,,,
KRT_Saturday-3n_in_nmp_tm-b,8:42:00,8:42:00,3009,155,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3031,156,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3030,157,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3029,158,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3028,159,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3027,160,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3026,161,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3025,162,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3024,163,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3023,164,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3083,165,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3084,166,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3085,167,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3086,168,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3087,169,,,,
KRT_Saturday-3n_in_nmp_tm-b,,,3088,170,,,,
KRT_Saturday-3n_in_nmp_tm-b,9:00:00,9:00:00,1,171,,,,
KRT_Saturday-3n_in_nmp_tm-c,8:47:00,8:47:00,3006,100,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3081,101,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3082,102,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3077,103,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3076,104,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3075,105,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3074,106,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3073,107,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3072,108,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3071,109,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3070,110,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3069,111,,,,
KRT_Saturday-3n_in_nmp_tm-c,,,3068,112,,,,
