trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-5_in_tm_cap-a,9:17:00,9:17:00,3007,100,,,,
KRT_Saturday-5_in_tm_cap-a,,,3080,101,,,,
KRT_Saturday-5_in_tm_cap-a,9:20:00,9:20:00,3006,102,,,,
KRT_Saturday-5_in_tm_cap-a,,,3081,103,,,,
KRT_Saturday-5_in_tm_cap-a,,,3082,104,,,,
KRT_Saturday-5_in_tm_cap-a,,,3077,105,,,,
KRT_Saturday-5_in_tm_cap-a,,,3076,106,,,,
KRT_Saturday-5_in_tm_cap-a,,,3075,107,,,,
KRT_Saturday-5_in_tm_cap-a,9:32:00,9:32:00,5002,108,,,,
KRT_Saturday-5_in_tm_cap-a,,,5019,109,,,,
KRT_Saturday-5_in_tm_cap-a,,,5018,110,,,,
KRT_Saturday-5_in_tm_cap-a,,,5017,111,,,,
KRT_Saturday-5_in_tm_cap-a,,,5016,112,,,,
KRT_Saturday-5_in_tm_cap-a,9:45:00,9:45:00,5001,113,,,,
KRT_Saturday-5_in_tm_cap-a,,,5015,114,,,,
KRT_Saturday-5_in_tm_cap-a,,,5014,115,,,,
KRT_Saturday-5_in_tm_cap-a,,,5013,116,,,,
KRT_Saturday-5_in_tm_cap-a,,,5012,117,,,,
KRT_Saturday-5_in_tm_cap-a,,,5011,118,,,,
KRT_Saturday-5_in_tm_cap-a,,,5010,119,,,,
KRT_Saturday-5_in_tm_cap-a,,,3104,120,,,,
KRT_Saturday-5_in_tm_cap-a,,,3103,121,,,,
KRT_Saturday-5_in_tm_cap-a,9:57:00,9:57:00,3009,122,,,,
KRT_Saturday-5_in_tm_cap-a,,,3031,123,,,,
KRT_Saturday-5_in_tm_cap-a,,,3030,124,,,,
KRT_Saturday-5_in_tm_cap-a,,,3029,125,,,,
KRT_Saturday-5_in_tm_cap-a,,,3028,126,,,,
KRT_Saturday-5_in_tm_cap-a,,,3027,127,,,,
KRT_Saturday-5_in_tm_cap-a,,,3026,128,,,,
KRT_Saturday-5_in_tm_cap-a,,,3025,129,,,,
KRT_Saturday-5_in_tm_cap-a,,,3024,130,,,,
KRT_Saturday-5_in_tm_cap-a,,,3023,131,,,,
KRT_Saturday-5_in_tm_cap-a,,,3083,132,,,,
KRT_Saturday-5_in_tm_cap-a,,,3084,133,,,,
KRT_Saturday-5_in_tm_cap-a,,,3085,134,,,,
KRT_Saturday-5_in_tm_cap-a,,,3086,135,,,,
KRT_Saturday-5_in_tm_cap-a,,,3087,136,,,,
KRT_Saturday-5_in_tm_cap-a,,,3088,137,,,,
KRT_Saturday-5_in_tm_cap-a,10:15:00,10:15:00,1,138,,,,
KRT_Saturday-5_in_tm_cap-b,15:17:00,15:17:00,3007,100,,,,
KRT_Saturday-5_in_tm_cap-b,,,3080,101,,,,
KRT_Saturday-5_in_tm_cap-b,15:20:00,15:20:00,3006,102,,,,
KRT_Saturday-5_in_tm_cap-b,,,3081,103,,,,
KRT_Saturday-5_in_tm_cap-b,,,3082,104,,,,
KRT_Saturday-5_in_tm_cap-b,,,3077,105,,,,
KRT_Saturday-5_in_tm_cap-b,,,3076,106,,,,
KRT_Saturday-5_in_tm_cap-b,,,3075,107,,,,
KRT_Saturday-5_in_tm_cap-b,15:32:00,15:32:00,5002,108,,,,
KRT_Saturday-5_in_tm_cap-b,,,5019,109,,,,
KRT_Saturday-5_in_tm_cap-b,,,5018,110,,,,
KRT_Saturday-5_in_tm_cap-b,,,5017,111,,,,
KRT_Saturday-5_in_tm_cap-b,,,5016,112,,,,
KRT_Saturday-5_in_tm_cap-b,15:45:00,15:45:00,5001,113,,,,
KRT_Saturday-5_in_tm_cap-b,,,5015,114,,,,
KRT_Saturday-5_in_tm_cap-b,,,5014,115,,,,
KRT_Saturday-5_in_tm_cap-b,,,5013,116,,,,
KRT_Saturday-5_in_tm_cap-b,,,5012,117,,,,
KRT_Saturday-5_in_tm_cap-b,,,5011,118,,,,
KRT_Saturday-5_in_tm_cap-b,,,5010,119,,,,
KRT_Saturday-5_in_tm_cap-b,,,3104,120,,,,
KRT_Saturday-5_in_tm_cap-b,,,3103,121,,,,
KRT_Saturday-5_in_tm_cap-b,15:57:00,15:57:00,3009,122,,,,
KRT_Saturday-5_in_tm_cap-b,,,3031,123,,,,
KRT_Saturday-5_in_tm_cap-b,,,3030,124,,,,
KRT_Saturday-5_in_tm_cap-b,,,3029,125,,,,
KRT_Saturday-5_in_tm_cap-b,,,3028,126,,,,
KRT_Saturday-5_in_tm_cap-b,,,3027,127,,,,
KRT_Saturday-5_in_tm_cap-b,,,3026,128,,,,
KRT_Saturday-5_in_tm_cap-b,,,3025,129,,,,
KRT_Saturday-5_in_tm_cap-b,,,3024,130,,,,
KRT_Saturday-5_in_tm_cap-b,,,3023,131,,,,
KRT_Saturday-5_in_tm_cap-b,,,3083,132,,,,
KRT_Saturday-5_in_tm_cap-b,,,3084,133,,,,
KRT_Saturday-5_in_tm_cap-b,,,3085,134,,,,
KRT_Saturday-5_in_tm_cap-b,,,3086,135,,,,
KRT_Saturday-5_in_tm_cap-b,,,3087,136,,,,
KRT_Saturday-5_in_tm_cap-b,,,3088,137,,,,
KRT_Saturday-5_in_tm_cap-b,16:15:00,16:15:00,1,138,,,,
KRT_Saturday-5_in_tm_cap-c,18:17:00,18:17:00,3007,100,,,,
KRT_Saturday-5_in_tm_cap-c,,,3080,101,,,,
KRT_Saturday-5_in_tm_cap-c,18:20:00,18:20:00,3006,102,,,,
KRT_Saturday-5_in_tm_cap-c,,,3081,103,,,,
KRT_Saturday-5_in_tm_cap-c,,,3082,104,,,,
KRT_Saturday-5_in_tm_cap-c,,,3077,105,,,,
KRT_Saturday-5_in_tm_cap-c,,,3076,106,,,,
KRT_Saturday-5_in_tm_cap-c,,,3075,107,,,,
KRT_Saturday-5_in_tm_cap-c,18:32:00,18:32:00,5002,108,,,,
KRT_Saturday-5_in_tm_cap-c,,,5019,109,,,,
KRT_Saturday-5_in_tm_cap-c,,,5018,110,,,,
KRT_Saturday-5_in_tm_cap-c,,,5017,111,,,,
KRT_Saturday-5_in_tm_cap-c,,,5016,112,,,,
KRT_Saturday-5_in_tm_cap-c,18:45:00,18:45:00,5001,113,,,,
KRT_Saturday-5_in_tm_cap-c,,,5015,114,,,,
KRT_Saturday-5_in_tm_cap-c,,,5014,115,,,,
KRT_Saturday-5_in_tm_cap-c,,,5013,116,,,,
KRT_Saturday-5_in_tm_cap-c,,,5012,117,,,,
KRT_Saturday-5_in_tm_cap-c,,,5011,118,,,,
KRT_Saturday-5_in_tm_cap-c,,,5010,119,,,,
KRT_Saturday-5_in_tm_cap-c,,,3104,120,,,,
KRT_Saturday-5_in_tm_cap-c,,,3103,121,,,,
KRT_Saturday-5_in_tm_cap-c,18:57:00,18:57:00,3009,122,,,,
KRT_Saturday-5_in_tm_cap-c,,,3031,123,,,,
KRT_Saturday-5_in_tm_cap-c,,,3030,124,,,,
KRT_Saturday-5_in_tm_cap-c,,,3029,125,,,,
KRT_Saturday-5_in_tm_cap-c,,,3028,126,,,,
KRT_Saturday-5_in_tm_cap-c,,,3027,127,,,,
KRT_Saturday-5_in_tm_cap-c,,,3026,128,,,,
KRT_Saturday-5_in_tm_cap-c,,,3025,129,,,,
KRT_Saturday-5_in_tm_cap-c,,,3024,130,,,,
KRT_Saturday-5_in_tm_cap-c,,,3023,131,,,,
KRT_Saturday-5_in_tm_cap-c,,,3083,132,,,,
KRT_Saturday-5_in_tm_cap-c,,,3084,133,,,,
KRT_Saturday-5_in_tm_cap-c,,,3085,134,,,,
KRT_Saturday-5_in_tm_cap-c,,,3086,135,,,,
KRT_Saturday-5_in_tm_cap-c,,,3087,136,,,,
KRT_Saturday-5_in_tm_cap-c,,,3088,137,,,,
KRT_Saturday-5_in_tm_cap-c,19:15:00,19:15:00,1,138,,,,
