trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-6_in_cm_tm-a,10:09:00,10:09:00,6005,100,,,,
KRT_Saturday-6_in_cm_tm-a,,,6023,101,,,,
KRT_Saturday-6_in_cm_tm-a,,,6022,102,,,,
KRT_Saturday-6_in_cm_tm-a,,,6021,103,,,,
KRT_Saturday-6_in_cm_tm-a,,,6020,104,,,,
KRT_Saturday-6_in_cm_tm-a,,,6019,105,,,,
KRT_Saturday-6_in_cm_tm-a,,,6018,106,,,,
KRT_Saturday-6_in_cm_tm-a,10:21:00,10:21:00,6004,107,,,,
KRT_Saturday-6_in_cm_tm-a,,,6017,108,,,,
KRT_Saturday-6_in_cm_tm-a,,,6016,109,,,,
KRT_Saturday-6_in_cm_tm-a,,,6015,110,,,,
KRT_Saturday-6_in_cm_tm-a,,,6014,111,,,,
KRT_Saturday-6_in_cm_tm-a,10:33:00,10:33:00,6003,112,,,,
KRT_Saturday-6_in_cm_tm-a,,,6013,113,,,,
KRT_Saturday-6_in_cm_tm-a,,,6011,114,,,,
KRT_Saturday-6_in_cm_tm-a,,,6010,115,,,,
KRT_Saturday-6_in_cm_tm-a,10:43:00,10:43:00,6001,116,,,,
KRT_Saturday-6_in_cm_tm-a,,,2017,117,,,,
KRT_Saturday-6_in_cm_tm-a,,,2016,118,,,,
KRT_Saturday-6_in_cm_tm-a,,,2015,119,,,,
KRT_Saturday-6_in_cm_tm-a,,,2014,120,,,,
KRT_Saturday-6_in_cm_tm-a,,,2013,121,,,,
KRT_Saturday-6_in_cm_tm-a,,,2012,122,,,,
KRT_Saturday-6_in_cm_tm-a,,,2035,123,,,,
KRT_Saturday-6_in_cm_tm-a,,,2036,124,,,,
KRT_Saturday-6_in_cm_tm-a,,,2037,125,,,,
KRT_Saturday-6_in_cm_tm-a,10:55:00,10:55:00,2,126,,,,
