trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-8_in_siss_tm-a,6:45:00,6:45:00,8004,100,,,,
KRT_Saturday-8_in_siss_tm-a,,,8025,101,,,,
KRT_Saturday-8_in_siss_tm-a,,,8024,102,,,,
KRT_Saturday-8_in_siss_tm-a,,,8023,103,,,,
KRT_Saturday-8_in_siss_tm-a,,,8022,104,,,,
KRT_Saturday-8_in_siss_tm-a,,,8021,105,,,,
KRT_Saturday-8_in_siss_tm-a,,,8020,106,,,,
KRT_Saturday-8_in_siss_tm-a,6:55:00,6:55:00,8003,107,,,,
KRT_Saturday-8_in_siss_tm-a,,,8019,108,,,,
KRT_Saturday-8_in_siss_tm-a,,,8018,109,,,,
KRT_Saturday-8_in_siss_tm-a,,,8017,110,,,,
KRT_Saturday-8_in_siss_tm-a,7:00:00,7:00:00,8002,111,,,,
KRT_Saturday-8_in_siss_tm-a,,,8016,112,,,,
KRT_Saturday-8_in_siss_tm-a,,,8015,113,,,,
KRT_Saturday-8_in_siss_tm-a,,,8014,114,,,,
KRT_Saturday-8_in_siss_tm-a,7:07:00,7:07:00,8001,115,,,,
KRT_Saturday-8_in_siss_tm-a,,,8013,116,,,,
KRT_Saturday-8_in_siss_tm-a,,,8012,117,,,,
KRT_Saturday-8_in_siss_tm-a,,,8011,118,,,,
KRT_Saturday-8_in_siss_tm-a,,,8010,119,,,,
KRT_Saturday-8_in_siss_tm-a,7:11:00,7:11:00,8005,120,,,,
KRT_Saturday-8_in_siss_tm-a,,,3029,121,,,,
KRT_Saturday-8_in_siss_tm-a,,,3028,122,,,,
KRT_Saturday-8_in_siss_tm-a,,,3027,123,,,,
KRT_Saturday-8_in_siss_tm-a,,,3026,124,,,,
KRT_Saturday-8_in_siss_tm-a,,,3025,125,,,,
KRT_Saturday-8_in_siss_tm-a,,,3024,126,,,,
KRT_Saturday-8_in_siss_tm-a,,,3023,127,,,,
KRT_Saturday-8_in_siss_tm-a,,,3083,128,,,,
