trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-8_out_tm_siss-a,7:30:00,7:30:00,2,100,,,,
KRT_Saturday-8_out_tm_siss-a,,,2087,101,,,,
KRT_Saturday-8_out_tm_siss-a,,,3016,102,,,,
KRT_Saturday-8_out_tm_siss-a,,,3017,103,,,,
KRT_Saturday-8_out_tm_siss-a,,,3018,104,,,,
KRT_Saturday-8_out_tm_siss-a,,,3019,105,,,,
KRT_Saturday-8_out_tm_siss-a,,,3020,106,,,,
KRT_Saturday-8_out_tm_siss-a,,,3021,107,,,,
KRT_Saturday-8_out_tm_siss-a,,,3022,108,,,,
KRT_Saturday-8_out_tm_siss-a,,,3023,109,,,,
KRT_Saturday-8_out_tm_siss-a,,,3024,110,,,,
KRT_Saturday-8_out_tm_siss-a,,,3025,111,,,,
KRT_Saturday-8_out_tm_siss-a,,,3026,112,,,,
KRT_Saturday-8_out_tm_siss-a,,,3027,113,,,,
KRT_Saturday-8_out_tm_siss-a,,,3028,114,,,,
KRT_Saturday-8_out_tm_siss-a,,,3029,115,,,,
KRT_Saturday-8_out_tm_siss-a,,,3030,116,,,,
KRT_Saturday-8_out_tm_siss-a,,,8010,117,,,,
KRT_Saturday-8_out_tm_siss-a,,,8011,118,,,,
KRT_Saturday-8_out_tm_siss-a,,,8012,119,,,,
KRT_Saturday-8_out_tm_siss-a,,,8013,120,,,,
KRT_Saturday-8_out_tm_siss-a,7:50:00,7:50:00,8001,121,,,,
KRT_Saturday-8_out_tm_siss-a,,,8014,122,,,,
KRT_Saturday-8_out_tm_siss-a,,,8015,123,,,,
KRT_Saturday-8_out_tm_siss-a,,,8016,124,,,,
KRT_Saturday-8_out_tm_siss-a,7:57:00,7:57:00,8002,125,,,,
KRT_Saturday-8_out_tm_siss-a,,,8017,126,,,,
KRT_Saturday-8_out_tm_siss-a,,,8018,127,,,,
KRT_Saturday-8_out_tm_siss-a,,,8019,128,,,,
KRT_Saturday-8_out_tm_siss-a,8:02:00,8:02:00,8003,129,,,,
KRT_Saturday-8_out_tm_siss-a,,,8020,130,,,,
KRT_Saturday-8_out_tm_siss-a,,,8021,131,,,,
KRT_Saturday-8_out_tm_siss-a,,,8022,132,,,,
KRT_Saturday-8_out_tm_siss-a,,,8023,133,,,,
KRT_Saturday-8_out_tm_siss-a,,,8024,134,,,,
KRT_Saturday-8_out_tm_siss-a,,,8025,135,,,,
KRT_Saturday-8_out_tm_siss-a,8:12:00,8:12:00,8004,136,,,,
KRT_Saturday-8_out_tm_siss-b,9:00:00,9:00:00,2,100,,,,
KRT_Saturday-8_out_tm_siss-b,,,2087,101,,,,
KRT_Saturday-8_out_tm_siss-b,,,3016,102,,,,
KRT_Saturday-8_out_tm_siss-b,,,3017,103,,,,
KRT_Saturday-8_out_tm_siss-b,,,3018,104,,,,
KRT_Saturday-8_out_tm_siss-b,,,3019,105,,,,
KRT_Saturday-8_out_tm_siss-b,,,3020,106,,,,
KRT_Saturday-8_out_tm_siss-b,,,3021,107,,,,
KRT_Saturday-8_out_tm_siss-b,,,3022,108,,,,
KRT_Saturday-8_out_tm_siss-b,,,3023,109,,,,
KRT_Saturday-8_out_tm_siss-b,,,3024,110,,,,
KRT_Saturday-8_out_tm_siss-b,,,3025,111,,,,
