shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R1_out_KanTer_SAS, 38.352017, -81.635297, 1, 0.00
R1_out_KanTer_SAS, 38.351682, -81.635744, 2, 0.03
R1_out_KanTer_SAS, 38.351435, -81.636205, 3, 0.06
R1_out_KanTer_SAS, 38.351294, -81.636506, 4, 0.08
R1_out_KanTer_SAS, 38.351269, -81.636647, 5, 0.09
R1_out_KanTer_SAS, 38.352028, -81.637487, 6, 0.16
R1_out_KanTer_SAS, 38.353172, -81.638925, 7, 0.27
R1_out_KanTer_SAS, 38.354335, -81.640473, 8, 0.39
R1_out_KanTer_SAS, 38.355539, -81.642107, 9, 0.51
R1_out_KanTer_SAS, 38.356270, -81.642820, 10, 0.57
R1_out_KanTer_SAS, 38.357024, -81.643484, 11, 0.64
R1_out_KanTer_SAS, 38.357907, -81.644307, 12, 0.71
R1_out_KanTer_SAS, 38.360122, -81.646074, 13, 0.89
R1_out_KanTer_SAS, 38.361588, -81.647258, 14, 1.01
R1_out_KanTer_SAS, 38.362346, -81.647874, 15, 1.07
R1_out_KanTer_SAS, 38.361903, -81.648798, 16, 1.13
R1_out_KanTer_SAS, 38.361984, -81.648888, 17, 1.14
R1_out_KanTer_SAS, 38.362592, -81.650188, 18, 1.22
R1_out_KanTer_SAS, 38.364573, -81.654332, 19, 1.49
R1_out_KanTer_SAS, 38.365450, -81.656148, 20, 1.60
R1_out_KanTer_SAS, 38.366545, -81.658404, 21, 1.74
R1_out_KanTer_SAS, 38.366916, -81.659306, 22, 1.80
R1_out_KanTer_SAS, 38.366837, -81.659999, 23, 1.84
R1_out_KanTer_SAS, 38.366898, -81.660228, 24, 1.85
R1_out_KanTer_SAS, 38.366962, -81.660370, 25, 1.86
R1_out_KanTer_SAS, 38.368535, -81.663725, 26, 2.07
R1_out_KanTer_SAS, 38.369742, -81.666331, 27, 2.24
R1_out_KanTer_SAS, 38.369303, -81.666676, 28, 2.27
R1_out_KanTer_SAS, 38.368019, -81.667487, 29, 2.37
R1_out_KanTer_SAS, 38.366621, -81.668333, 30, 2.48
R1_out_KanTer_SAS, 38.365341, -81.669145, 31, 2.58
