trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-22q_in_qw_qm_tm-a,11:17:00,11:17:00,22002,100,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2060,101,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2061,102,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,11:23:00,11:23:00,2006,103,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2061,104,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2060,105,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22033,106,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22032,107,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22031,108,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22030,109,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22029,110,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22028,111,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22027,112,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22026,113,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22025,114,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22024,115,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22023,116,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22022,117,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22021,118,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22020,119,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22019,120,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22018,121,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22017,122,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22016,123,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22015,124,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,11:38:00,11:38:00,22001,125,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,7016,126,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22014,127,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22013,128,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22012,129,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22011,130,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,22010,131,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2020,132,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,2019,133,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,11:47:00,11:47:00,2001,134,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3010,135,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3011,136,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3012,137,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3013,138,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3014,139,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,,,3015,140,,,,
KRT_Sunday-22q_in_qw_qm_tm-a,12:00:00,12:00:00,2,141,,,,
