trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-22q_out_tm_qw-a,6:30:00,6:30:00,1,100,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3089,101,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3090,102,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3091,103,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3092,104,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3093,105,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3094,106,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3095,107,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3096,108,,,,
KRT_Sunday-22q_out_tm_qw-a,,,3097,109,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22045,110,,,,
KRT_Sunday-22q_out_tm_qw-a,6:41:00,6:41:00,2001,111,,,,
KRT_Sunday-22q_out_tm_qw-a,,,2019,112,,,,
KRT_Sunday-22q_out_tm_qw-a,,,2020,113,,,,
KRT_Sunday-22q_out_tm_qw-a,,,2021,114,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22010,115,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22011,116,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22012,117,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22013,118,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22014,119,,,,
KRT_Sunday-22q_out_tm_qw-a,,,7016,120,,,,
KRT_Sunday-22q_out_tm_qw-a,6:49:00,6:49:00,22001,121,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22015,122,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22016,123,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22017,124,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22018,125,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22019,126,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22020,127,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22021,128,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22022,129,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22023,130,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22024,131,,,,
KRT_Sunday-22q_out_tm_qw-a,,,22025,132,,,,
