trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,7:45:00,7:45:00,3007,100,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3082,101,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3077,102,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3076,103,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3075,104,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3074,105,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3073,106,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3072,107,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3071,108,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3070,109,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3069,110,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3068,111,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3067,112,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,7:55:00,7:55:00,3005,113,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3066,114,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3065,115,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3064,116,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3063,117,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3062,118,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3061,119,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3060,120,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3059,121,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3058,122,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3057,123,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3056,124,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3055,125,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3054,126,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3053,127,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3052,128,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3051,129,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3049,130,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3048,131,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3047,132,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3046,133,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,8:12:00,8:12:00,3008,134,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3045,135,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3044,136,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3043,137,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3042,138,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3041,139,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3040,140,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3039,141,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,8:20:00,8:20:00,3003,142,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3038,143,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3037,144,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3036,145,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3035,146,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3034,147,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3033,148,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3032,149,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,8:28:00,8:28:00,3009,150,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3031,151,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3030,152,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3029,153,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3028,154,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3027,155,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3026,156,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3025,157,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3024,158,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3023,159,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3083,160,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3084,161,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3085,162,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3086,163,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3087,164,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,,,3088,165,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-a,8:40:00,8:40:00,2,166,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,9:25:00,9:25:00,3007,100,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3082,101,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3077,102,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3076,103,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3075,104,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3074,105,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3073,106,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3072,107,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3071,108,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3070,109,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3069,110,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3068,111,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3067,112,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,9:35:00,9:35:00,3005,113,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3066,114,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3065,115,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3064,116,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3063,117,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3062,118,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3061,119,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3060,120,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3059,121,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3058,122,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3057,123,,,,
KRT_Sunday-3n_in_mgr_NoNmp_tm-b,,,3056,124,,,,
