trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-3n_out_tm_wvsu-a,11:15:00,11:15:00,2,100,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3016,101,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3017,102,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3018,103,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3019,104,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3020,105,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3021,106,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3022,107,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3023,108,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3024,109,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3025,110,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3026,111,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3027,112,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3028,113,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3029,114,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3030,115,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3031,116,,,,
KRT_Sunday-3n_out_tm_wvsu-a,11:25:00,11:25:00,3002,117,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3032,118,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3033,119,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3034,120,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3035,121,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3036,122,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3037,123,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3038,124,,,,
KRT_Sunday-3n_out_tm_wvsu-a,11:35:00,11:35:00,3003,125,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3039,126,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3040,127,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3041,128,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3042,129,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3043,130,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3044,131,,,,
KRT_Sunday-3n_out_tm_wvsu-a,,,3045,132,,,,
KRT_Sunday-3n_out_tm_wvsu-a,11:43:00,11:43:00,3004,133,,,,
