trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-10_out-a,6:30:00,6:30:00,4,10,,,,
KRT_Weekday-10_out-a,,,2010,11,,,,
KRT_Weekday-10_out-a,,,2011,12,,,,
KRT_Weekday-10_out-a,,,2012,13,,,,
KRT_Weekday-10_out-a,,,2013,14,,,,
KRT_Weekday-10_out-a,,,2014,15,,,,
KRT_Weekday-10_out-a,,,2015,16,,,,
KRT_Weekday-10_out-a,,,2016,17,,,,
KRT_Weekday-10_out-a,,,2017,18,,,,
KRT_Weekday-10_out-a,6:40:00,6:40:00,6001,19,,,,
KRT_Weekday-10_out-a,,,6010,20,,,,
KRT_Weekday-10_out-a,6:47:00,6:47:00,10001,21,,,,
KRT_Weekday-10_out-a,,,10010,22,,,,
KRT_Weekday-10_out-a,6:52:00,6:52:00,10002,23,,,,
KRT_Weekday-10_out-a,,,6010,24,,,,
KRT_Weekday-10_out-a,,,6012,25,,,,
KRT_Weekday-10_out-a,7:05:00,7:05:00,6002,26,,,,
KRT_Weekday-10_out-b,7:30:00,7:30:00,4,10,,,,
KRT_Weekday-10_out-b,,,2010,11,,,,
KRT_Weekday-10_out-b,,,2011,12,,,,
KRT_Weekday-10_out-b,,,2012,13,,,,
KRT_Weekday-10_out-b,,,2013,14,,,,
KRT_Weekday-10_out-b,,,2014,15,,,,
KRT_Weekday-10_out-b,,,2015,16,,,,
KRT_Weekday-10_out-b,,,2016,17,,,,
KRT_Weekday-10_out-b,,,2017,18,,,,
KRT_Weekday-10_out-b,7:40:00,7:40:00,6001,19,,,,
KRT_Weekday-10_out-b,,,6010,20,,,,
KRT_Weekday-10_out-b,7:47:00,7:47:00,10001,21,,,,
KRT_Weekday-10_out-b,,,10010,22,,,,
KRT_Weekday-10_out-b,7:52:00,7:52:00,10002,23,,,,
KRT_Weekday-10_out-b,,,6010,24,,,,
KRT_Weekday-10_out-b,,,6012,25,,,,
KRT_Weekday-10_out-b,8:05:00,8:05:00,6002,26,,,,
KRT_Weekday-10_out-c,12:00:00,12:00:00,4,10,,,,
KRT_Weekday-10_out-c,,,2010,11,,,,
KRT_Weekday-10_out-c,,,2011,12,,,,
KRT_Weekday-10_out-c,,,2012,13,,,,
KRT_Weekday-10_out-c,,,2013,14,,,,
KRT_Weekday-10_out-c,,,2014,15,,,,
KRT_Weekday-10_out-c,,,2015,16,,,,
KRT_Weekday-10_out-c,,,2016,17,,,,
KRT_Weekday-10_out-c,,,2017,18,,,,
KRT_Weekday-10_out-c,12:10:00,12:10:00,6001,19,,,,
KRT_Weekday-10_out-c,,,6010,20,,,,
KRT_Weekday-10_out-c,12:17:00,12:17:00,10001,21,,,,
KRT_Weekday-10_out-c,,,10010,22,,,,
KRT_Weekday-10_out-c,12:22:00,12:22:00,10002,23,,,,
KRT_Weekday-10_out-c,,,6010,24,,,,
KRT_Weekday-10_out-c,,,6012,25,,,,
KRT_Weekday-10_out-c,12:35:00,12:35:00,6002,26,,,,
KRT_Weekday-10_out-d,16:30:00,16:30:00,4,10,,,,
KRT_Weekday-10_out-d,,,2010,11,,,,
KRT_Weekday-10_out-d,,,2011,12,,,,
KRT_Weekday-10_out-d,,,2012,13,,,,
KRT_Weekday-10_out-d,,,2013,14,,,,
KRT_Weekday-10_out-d,,,2014,15,,,,
KRT_Weekday-10_out-d,,,2015,16,,,,
KRT_Weekday-10_out-d,,,2016,17,,,,
KRT_Weekday-10_out-d,,,2017,18,,,,
KRT_Weekday-10_out-d,16:40:00,16:40:00,6001,19,,,,
KRT_Weekday-10_out-d,,,6010,20,,,,
KRT_Weekday-10_out-d,16:47:00,16:47:00,10001,21,,,,
KRT_Weekday-10_out-d,,,10010,22,,,,
KRT_Weekday-10_out-d,16:52:00,16:52:00,10002,23,,,,
KRT_Weekday-10_out-d,,,6010,24,,,,
KRT_Weekday-10_out-d,,,6012,25,,,,
KRT_Weekday-10_out-d,17:05:00,17:05:00,6002,26,,,,
KRT_Weekday-10_out-e,17:30:00,17:30:00,4,10,,,,
KRT_Weekday-10_out-e,,,2010,11,,,,
KRT_Weekday-10_out-e,,,2011,12,,,,
KRT_Weekday-10_out-e,,,2012,13,,,,
KRT_Weekday-10_out-e,,,2013,14,,,,
KRT_Weekday-10_out-e,,,2014,15,,,,
KRT_Weekday-10_out-e,,,2015,16,,,,
KRT_Weekday-10_out-e,,,2016,17,,,,
KRT_Weekday-10_out-e,,,2017,18,,,,
KRT_Weekday-10_out-e,17:40:00,17:40:00,6001,19,,,,
KRT_Weekday-10_out-e,,,6010,20,,,,
KRT_Weekday-10_out-e,17:47:00,17:47:00,10001,21,,,,
KRT_Weekday-10_out-e,,,10010,22,,,,
KRT_Weekday-10_out-e,17:52:00,17:52:00,10002,23,,,,
KRT_Weekday-10_out-e,,,6010,24,,,,
KRT_Weekday-10_out-e,,,6012,25,,,,
KRT_Weekday-10_out-e,18:05:00,18:05:00,6002,26,,,,
