trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-13_in_psp_tm-a,7:30:00,7:30:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-a,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-a,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-a,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-a,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-a,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-a,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-a,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-a,7:40:00,7:40:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-a,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-a,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-a,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-a,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-a,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-a,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-a,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-a,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-a,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-a,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-a,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-a,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-a,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-a,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-a,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-a,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-a,7:57:00,7:57:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-b,8:30:00,8:30:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-b,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-b,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-b,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-b,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-b,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-b,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-b,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-b,8:40:00,8:40:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-b,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-b,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-b,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-b,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-b,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-b,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-b,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-b,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-b,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-b,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-b,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-b,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-b,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-b,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-b,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-b,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-b,8:57:00,8:57:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-c,9:30:00,9:30:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-c,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-c,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-c,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-c,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-c,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-c,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-c,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-c,9:40:00,9:40:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-c,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-c,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-c,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-c,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-c,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-c,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-c,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-c,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-c,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-c,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-c,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-c,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-c,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-c,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-c,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-c,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-c,9:57:00,9:57:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-d,10:30:00,10:30:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-d,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-d,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-d,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-d,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-d,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-d,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-d,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-d,10:40:00,10:40:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-d,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-d,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-d,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-d,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-d,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-d,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-d,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-d,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-d,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-d,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-d,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-d,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-d,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-d,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-d,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-d,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-d,10:57:00,10:57:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-e,12:00:00,12:00:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-e,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-e,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-e,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-e,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-e,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-e,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-e,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-e,12:10:00,12:10:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-e,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-e,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-e,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-e,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-e,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-e,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-e,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-e,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-e,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-e,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-e,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-e,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-e,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-e,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-e,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-e,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-e,12:27:00,12:27:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-f,13:00:00,13:00:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-f,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-f,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-f,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-f,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-f,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-f,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-f,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-f,13:10:00,13:10:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-f,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-f,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-f,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-f,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-f,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-f,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-f,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-f,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-f,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-f,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-f,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-f,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-f,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-f,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-f,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-f,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-f,13:27:00,13:27:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-g,14:00:00,14:00:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-g,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-g,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-g,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-g,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-g,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-g,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-g,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-g,14:10:00,14:10:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-g,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-g,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-g,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-g,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-g,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-g,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-g,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-g,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-g,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-g,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-g,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-g,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-g,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-g,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-g,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-g,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-g,14:27:00,14:27:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-h,16:00:00,16:00:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-h,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-h,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-h,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-h,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-h,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-h,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-h,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-h,16:10:00,16:10:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-h,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-h,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-h,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-h,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-h,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-h,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-h,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-h,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-h,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-h,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-h,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-h,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-h,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-h,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-h,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-h,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-h,16:27:00,16:27:00,3,35,,,,
KRT_Weekday-13_in_psp_tm-i,17:00:00,17:00:00,1002,10,,,,
KRT_Weekday-13_in_psp_tm-i,,,1023,11,,,,
KRT_Weekday-13_in_psp_tm-i,,,1024,12,,,,
KRT_Weekday-13_in_psp_tm-i,,,1020,13,,,,
KRT_Weekday-13_in_psp_tm-i,,,1001,14,,,,
KRT_Weekday-13_in_psp_tm-i,,,3028,15,,,,
KRT_Weekday-13_in_psp_tm-i,,,3027,16,,,,
KRT_Weekday-13_in_psp_tm-i,,,13018,17,,,,
KRT_Weekday-13_in_psp_tm-i,17:10:00,17:10:00,13001,18,,,,
KRT_Weekday-13_in_psp_tm-i,,,13017,19,,,,
KRT_Weekday-13_in_psp_tm-i,,,13016,20,,,,
KRT_Weekday-13_in_psp_tm-i,,,13015,21,,,,
KRT_Weekday-13_in_psp_tm-i,,,13014,22,,,,
KRT_Weekday-13_in_psp_tm-i,,,13013,23,,,,
KRT_Weekday-13_in_psp_tm-i,,,13012,24,,,,
KRT_Weekday-13_in_psp_tm-i,,,13011,25,,,,
KRT_Weekday-13_in_psp_tm-i,,,13010,26,,,,
KRT_Weekday-13_in_psp_tm-i,,,3021,27,,,,
KRT_Weekday-13_in_psp_tm-i,,,3022,28,,,,
KRT_Weekday-13_in_psp_tm-i,,,3083,29,,,,
KRT_Weekday-13_in_psp_tm-i,,,3084,30,,,,
KRT_Weekday-13_in_psp_tm-i,,,3085,31,,,,
KRT_Weekday-13_in_psp_tm-i,,,3086,32,,,,
KRT_Weekday-13_in_psp_tm-i,,,3087,33,,,,
KRT_Weekday-13_in_psp_tm-i,,,3088,34,,,,
KRT_Weekday-13_in_psp_tm-i,17:27:00,17:27:00,3,35,,,,
