trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-18_in_E_NoSCTC_tm-a,6:55:00,6:55:00,18005,10,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18027,11,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18026,12,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18025,13,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18023,14,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18022,15,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18021,16,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,7:05:00,7:05:00,18003,17,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18020,18,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18019,19,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18018,20,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18017,21,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18016,22,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18015,23,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18028,24,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18029,25,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,7:10:00,7:10:00,18002,26,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18014,27,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18013,28,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18012,29,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18011,30,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,7:18:00,7:18:00,18001,31,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,18010,32,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,3087,33,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,,,3088,34,,,,
KRT_Weekday-18_in_E_NoSCTC_tm-a,7:28:00,7:28:00,3,35,,,,
