trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:17:00,8:17:00,18006,10,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,1036,11,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,1035,12,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:21:00,8:21:00,18005,13,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18027,14,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18026,15,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18025,16,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18023,17,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18022,18,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18021,19,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:31:00,8:31:00,18003,20,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18020,21,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18019,22,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18018,23,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18017,24,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18016,25,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18015,26,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18028,27,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18029,28,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:36:00,8:36:00,18002,29,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18014,30,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18013,31,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18012,32,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18011,33,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:44:00,8:44:00,18001,34,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,18010,35,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,3087,36,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,,,3088,37,,,,
KRT_Weekday-18_in_rw_NoSCTC_tm-a,8:54:00,8:54:00,3,38,,,,
