trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-18_out_tm_sctc-a,18:30:00,18:30:00,1,10,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1010,11,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1011,12,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1012,13,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1013,14,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1014,15,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1015,16,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1016,17,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1017,18,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1018,19,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1019,20,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1001,21,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1030,22,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1031,23,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1032,24,,,,
KRT_Weekday-18_out_tm_sctc-a,,,1034,25,,,,
KRT_Weekday-18_out_tm_sctc-a,,,18026,26,,,,
KRT_Weekday-18_out_tm_sctc-a,,,18025,27,,,,
KRT_Weekday-18_out_tm_sctc-a,,,18023,28,,,,
KRT_Weekday-18_out_tm_sctc-a,,,18024,29,,,,
KRT_Weekday-18_out_tm_sctc-a,18:50:00,18:50:00,18004,30,,,,
KRT_Weekday-18_out_tm_sctc-b,21:25:00,21:25:00,1,10,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1010,11,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1011,12,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1012,13,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1013,14,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1014,15,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1015,16,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1016,17,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1017,18,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1018,19,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1019,20,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1001,21,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1030,22,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1031,23,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1032,24,,,,
KRT_Weekday-18_out_tm_sctc-b,,,1034,25,,,,
KRT_Weekday-18_out_tm_sctc-b,,,18026,26,,,,
KRT_Weekday-18_out_tm_sctc-b,,,18025,27,,,,
KRT_Weekday-18_out_tm_sctc-b,,,18023,28,,,,
KRT_Weekday-18_out_tm_sctc-b,,,18024,29,,,,
KRT_Weekday-18_out_tm_sctc-b,21:45:00,21:45:00,18004,30,,,,
