trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-1sa_in_6035_4th-a,24:01:00,24:01:00,1005,10,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1072,11,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1081,12,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1080,13,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1079,14,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1078,15,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1077,16,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1076,17,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1075,18,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1074,19,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1054,20,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1053,21,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1052,22,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1051,23,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1050,24,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1049,25,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1048,26,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1047,27,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1046,28,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1045,29,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1044,30,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1043,31,,,,
KRT_Weekday-1sa_in_6035_4th-a,24:11:00,24:11:00,1003,32,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1042,33,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1041,34,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1040,35,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1039,36,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1082,37,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1083,38,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1036,39,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1035,40,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1034,41,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1084,42,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1032,43,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1031,44,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1085,45,,,,
KRT_Weekday-1sa_in_6035_4th-a,,,1020,46,,,,
KRT_Weekday-1sa_in_6035_4th-a,24:20:00,24:20:00,1001,47,,,,
