trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-1sa_in_6035_tm-a,6:50:00,6:50:00,1005,10,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1072,11,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1073,12,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1069,13,,,,
KRT_Weekday-1sa_in_6035_tm-a,7:00:00,7:00:00,1004,14,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1068,15,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1067,16,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1066,17,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1065,18,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1064,19,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1063,20,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1062,21,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1061,22,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1060,23,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1059,24,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1058,25,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1057,26,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1056,27,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1055,28,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1054,29,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1053,30,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1052,31,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1051,32,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1050,33,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1049,34,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1048,35,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1047,36,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1046,37,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1045,38,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1044,39,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1043,40,,,,
KRT_Weekday-1sa_in_6035_tm-a,7:20:00,7:20:00,1003,41,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1042,42,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1041,43,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1040,44,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1039,45,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1082,46,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1083,47,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1036,48,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1035,49,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1034,50,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1084,51,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1032,52,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1031,53,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1085,54,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1020,55,,,,
KRT_Weekday-1sa_in_6035_tm-a,7:33:00,7:33:00,1001,56,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1019,57,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1018,58,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1017,59,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1016,60,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1015,61,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1025,62,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1026,63,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1027,64,,,,
KRT_Weekday-1sa_in_6035_tm-a,,,1028,65,,,,
