route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-a,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-b,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-c,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-d,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-e,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-f,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-g,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-h,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-i,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-j,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-k,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-l,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-m,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-n,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-o,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-p,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-q,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-r,,,,,,1,1
R1WC,weekday,KRT_Weekday-1wc_out_tm_psp-s,,,,,,1,1
