trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-21_WalLoc_x_tm-a,16:20:00,16:20:00,21004,10,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21021,11,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21022,12,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21023,13,,,,
KRT_Weekday-21_WalLoc_x_tm-a,16:25:00,16:25:00,21005,14,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21023,15,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21024,16,,,,
KRT_Weekday-21_WalLoc_x_tm-a,16:32:00,16:32:00,21006,17,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21017,18,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21018,19,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21019,20,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21020,21,,,,
KRT_Weekday-21_WalLoc_x_tm-a,16:42:00,16:42:00,21003,22,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21020,23,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21027,24,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21013,25,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21012,26,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21025,27,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,21026,28,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,3087,29,,,,
KRT_Weekday-21_WalLoc_x_tm-a,,,3088,30,,,,
KRT_Weekday-21_WalLoc_x_tm-a,16:57:00,16:57:00,1,31,,,,
KRT_Weekday-21_WalLoc_x_tm-b,17:07:00,17:07:00,21004,10,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21021,11,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21022,12,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21023,13,,,,
KRT_Weekday-21_WalLoc_x_tm-b,17:12:00,17:12:00,21005,14,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21023,15,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21024,16,,,,
KRT_Weekday-21_WalLoc_x_tm-b,17:30:00,17:30:00,21006,17,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21017,18,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21018,19,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21019,20,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21020,21,,,,
KRT_Weekday-21_WalLoc_x_tm-b,17:42:00,17:42:00,21003,22,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21020,23,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21027,24,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21013,25,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21012,26,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21025,27,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,21026,28,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,3087,29,,,,
KRT_Weekday-21_WalLoc_x_tm-b,,,3088,30,,,,
KRT_Weekday-21_WalLoc_x_tm-b,17:57:00,17:57:00,1,31,,,,
