trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_in_wvsu_cap-a,10:30:00,10:30:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_cap-a,10:38:00,10:38:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_cap-a,10:48:00,10:48:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3088,41,,,,
KRT_Weekday-3i_in_wvsu_cap-a,11:05:00,11:05:00,1,42,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3089,43,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3090,44,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3091,45,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3092,46,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3093,47,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3094,48,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3095,49,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3096,50,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3097,51,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3098,52,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3099,53,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3100,54,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3101,55,,,,
KRT_Weekday-3i_in_wvsu_cap-a,,,3102,56,,,,
KRT_Weekday-3i_in_wvsu_cap-a,11:17:00,11:17:00,3001,57,,,,
KRT_Weekday-3i_in_wvsu_cap-b,12:20:00,12:20:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_cap-b,12:28:00,12:28:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_cap-b,12:38:00,12:38:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_cap-b,,,3088,41,,,,
