trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_in_wvsu_tm-a,18:35:00,18:35:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_tm-a,18:43:00,18:43:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_tm-a,18:53:00,18:53:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_tm-a,,,3088,41,,,,
KRT_Weekday-3i_in_wvsu_tm-a,19:10:00,19:10:00,1,42,,,,
KRT_Weekday-3i_in_wvsu_tm-b,18:50:00,18:50:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_tm-b,18:58:00,18:58:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_tm-b,19:08:00,19:08:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_tm-b,,,3088,41,,,,
KRT_Weekday-3i_in_wvsu_tm-b,19:25:00,19:25:00,1,42,,,,
KRT_Weekday-3i_in_wvsu_tm-c,19:50:00,19:50:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_tm-c,19:58:00,19:58:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_tm-c,20:08:00,20:08:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_tm-c,,,3088,41,,,,
KRT_Weekday-3i_in_wvsu_tm-c,20:25:00,20:25:00,1,42,,,,
KRT_Weekday-3i_in_wvsu_tm-d,21:35:00,21:35:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_tm-d,21:43:00,21:43:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3038,19,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3037,20,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3036,21,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3035,22,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3034,23,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3033,24,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3032,25,,,,
KRT_Weekday-3i_in_wvsu_tm-d,21:53:00,21:53:00,3009,26,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3031,27,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3030,28,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3029,29,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3028,30,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3027,31,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3026,32,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3025,33,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3024,34,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3023,35,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3083,36,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3084,37,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3085,38,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3086,39,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3087,40,,,,
KRT_Weekday-3i_in_wvsu_tm-d,,,3088,41,,,,
