trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_out_cap_26-a,7:29:00,7:29:00,3001,10,,,,
KRT_Weekday-3i_out_cap_26-a,,,2018,11,,,,
KRT_Weekday-3i_out_cap_26-a,,,3010,12,,,,
KRT_Weekday-3i_out_cap_26-a,,,3011,13,,,,
KRT_Weekday-3i_out_cap_26-a,,,3012,14,,,,
KRT_Weekday-3i_out_cap_26-a,,,3013,15,,,,
KRT_Weekday-3i_out_cap_26-a,,,3014,16,,,,
KRT_Weekday-3i_out_cap_26-a,,,3015,17,,,,
KRT_Weekday-3i_out_cap_26-a,7:40:00,7:40:00,2,18,,,,
KRT_Weekday-3i_out_cap_26-a,,,3016,19,,,,
KRT_Weekday-3i_out_cap_26-a,,,3017,20,,,,
KRT_Weekday-3i_out_cap_26-a,,,3018,21,,,,
KRT_Weekday-3i_out_cap_26-a,,,3019,22,,,,
KRT_Weekday-3i_out_cap_26-a,,,3020,23,,,,
KRT_Weekday-3i_out_cap_26-a,,,3021,24,,,,
KRT_Weekday-3i_out_cap_26-a,,,3022,25,,,,
KRT_Weekday-3i_out_cap_26-a,,,3023,26,,,,
KRT_Weekday-3i_out_cap_26-a,,,3024,27,,,,
KRT_Weekday-3i_out_cap_26-a,,,3025,28,,,,
KRT_Weekday-3i_out_cap_26-a,,,3026,29,,,,
KRT_Weekday-3i_out_cap_26-a,,,3027,30,,,,
KRT_Weekday-3i_out_cap_26-a,,,3028,31,,,,
KRT_Weekday-3i_out_cap_26-a,,,3029,32,,,,
KRT_Weekday-3i_out_cap_26-a,,,3030,33,,,,
KRT_Weekday-3i_out_cap_26-a,,,3031,34,,,,
KRT_Weekday-3i_out_cap_26-a,7:54:00,7:54:00,3002,35,,,,
KRT_Weekday-3i_out_cap_26-b,8:29:00,8:29:00,3001,10,,,,
KRT_Weekday-3i_out_cap_26-b,,,2018,11,,,,
KRT_Weekday-3i_out_cap_26-b,,,3010,12,,,,
KRT_Weekday-3i_out_cap_26-b,,,3011,13,,,,
KRT_Weekday-3i_out_cap_26-b,,,3012,14,,,,
KRT_Weekday-3i_out_cap_26-b,,,3013,15,,,,
KRT_Weekday-3i_out_cap_26-b,,,3014,16,,,,
KRT_Weekday-3i_out_cap_26-b,,,3015,17,,,,
KRT_Weekday-3i_out_cap_26-b,8:40:00,8:40:00,2,18,,,,
KRT_Weekday-3i_out_cap_26-b,,,3016,19,,,,
KRT_Weekday-3i_out_cap_26-b,,,3017,20,,,,
KRT_Weekday-3i_out_cap_26-b,,,3018,21,,,,
KRT_Weekday-3i_out_cap_26-b,,,3019,22,,,,
KRT_Weekday-3i_out_cap_26-b,,,3020,23,,,,
KRT_Weekday-3i_out_cap_26-b,,,3021,24,,,,
KRT_Weekday-3i_out_cap_26-b,,,3022,25,,,,
KRT_Weekday-3i_out_cap_26-b,,,3023,26,,,,
KRT_Weekday-3i_out_cap_26-b,,,3024,27,,,,
KRT_Weekday-3i_out_cap_26-b,,,3025,28,,,,
KRT_Weekday-3i_out_cap_26-b,,,3026,29,,,,
KRT_Weekday-3i_out_cap_26-b,,,3027,30,,,,
KRT_Weekday-3i_out_cap_26-b,,,3028,31,,,,
KRT_Weekday-3i_out_cap_26-b,,,3029,32,,,,
KRT_Weekday-3i_out_cap_26-b,,,3030,33,,,,
KRT_Weekday-3i_out_cap_26-b,,,3031,34,,,,
KRT_Weekday-3i_out_cap_26-b,8:54:00,8:54:00,3002,35,,,,
KRT_Weekday-3i_out_cap_26-c,20:09:00,20:09:00,3001,10,,,,
KRT_Weekday-3i_out_cap_26-c,,,2018,11,,,,
KRT_Weekday-3i_out_cap_26-c,,,3010,12,,,,
KRT_Weekday-3i_out_cap_26-c,,,3011,13,,,,
KRT_Weekday-3i_out_cap_26-c,,,3012,14,,,,
KRT_Weekday-3i_out_cap_26-c,,,3013,15,,,,
KRT_Weekday-3i_out_cap_26-c,,,3014,16,,,,
KRT_Weekday-3i_out_cap_26-c,,,3015,17,,,,
KRT_Weekday-3i_out_cap_26-c,20:20:00,20:20:00,2,18,,,,
KRT_Weekday-3i_out_cap_26-c,,,3016,19,,,,
KRT_Weekday-3i_out_cap_26-c,,,3017,20,,,,
KRT_Weekday-3i_out_cap_26-c,,,3018,21,,,,
KRT_Weekday-3i_out_cap_26-c,,,3019,22,,,,
KRT_Weekday-3i_out_cap_26-c,,,3020,23,,,,
KRT_Weekday-3i_out_cap_26-c,,,3021,24,,,,
KRT_Weekday-3i_out_cap_26-c,,,3022,25,,,,
KRT_Weekday-3i_out_cap_26-c,,,3023,26,,,,
KRT_Weekday-3i_out_cap_26-c,,,3024,27,,,,
KRT_Weekday-3i_out_cap_26-c,,,3025,28,,,,
KRT_Weekday-3i_out_cap_26-c,,,3026,29,,,,
KRT_Weekday-3i_out_cap_26-c,,,3027,30,,,,
KRT_Weekday-3i_out_cap_26-c,,,3028,31,,,,
KRT_Weekday-3i_out_cap_26-c,,,3029,32,,,,
KRT_Weekday-3i_out_cap_26-c,,,3030,33,,,,
KRT_Weekday-3i_out_cap_26-c,,,3031,34,,,,
KRT_Weekday-3i_out_cap_26-c,20:34:00,20:34:00,3002,35,,,,
