trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_in_mgr_tm-a,8:31:00,8:31:00,3007,10,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3080,11,,,,
KRT_Weekday-3n_in_mgr_tm-a,8:34:00,8:34:00,3006,12,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3081,13,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3082,14,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3077,15,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3076,16,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3075,17,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3074,18,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3073,19,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3072,20,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3071,21,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3070,22,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3069,23,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3068,24,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3067,25,,,,
KRT_Weekday-3n_in_mgr_tm-a,8:44:00,8:44:00,3005,26,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3066,27,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3065,28,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3064,29,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3063,30,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3062,31,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3061,32,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3060,33,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3059,34,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3058,35,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3057,36,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3056,37,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3055,38,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3054,39,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3053,40,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3052,41,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3051,42,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3050,43,,,,
KRT_Weekday-3n_in_mgr_tm-a,8:57:00,8:57:00,1004,44,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3050,45,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3051,46,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3049,47,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3048,48,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3047,49,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3046,50,,,,
KRT_Weekday-3n_in_mgr_tm-a,9:10:00,9:10:00,3008,51,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3045,52,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3044,53,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3043,54,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3042,55,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3041,56,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3040,57,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3039,58,,,,
KRT_Weekday-3n_in_mgr_tm-a,9:18:00,9:18:00,3003,59,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3038,60,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3037,61,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3036,62,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3035,63,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3034,64,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3033,65,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3032,66,,,,
KRT_Weekday-3n_in_mgr_tm-a,9:28:00,9:28:00,3009,67,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3031,68,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3030,69,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3029,70,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3028,71,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3027,72,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3026,73,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3025,74,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3024,75,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3023,76,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3083,77,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3084,78,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3085,79,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3086,80,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3087,81,,,,
KRT_Weekday-3n_in_mgr_tm-a,,,3088,82,,,,
KRT_Weekday-3n_in_mgr_tm-a,9:45:00,9:45:00,1,83,,,,
