trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_out_26_NoSas_nmp-a,5:05:00,5:05:00,3002,10,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3032,11,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3033,12,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3034,13,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3035,14,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3036,15,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3037,16,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3038,17,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,5:14:00,5:14:00,3003,18,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3039,19,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3040,20,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3041,21,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3042,22,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3043,23,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3044,24,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3045,25,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,5:22:00,5:22:00,3004,26,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3046,27,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3047,28,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3048,29,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3049,30,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3051,31,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3052,32,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3053,33,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3054,34,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3055,35,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3056,36,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3057,37,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3058,38,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3059,39,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3060,40,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3061,41,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3062,42,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3063,43,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3064,44,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3065,45,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3066,46,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,5:32:00,5:32:00,3005,47,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3067,48,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3068,49,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3069,50,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3070,51,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3071,52,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3072,53,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3073,54,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3074,55,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3075,56,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3076,57,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3077,58,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3078,59,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3079,60,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,,,3080,61,,,,
KRT_Weekday-3n_out_26_NoSas_nmp-a,5:42:00,5:42:00,3006,62,,,,
