trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_out_cap_NoSas_nmp-a,5:09:00,5:09:00,3001,10,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,2018,11,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3010,12,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3011,13,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3012,14,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3013,15,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3014,16,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3015,17,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,5:20:00,5:20:00,2,18,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3016,19,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3017,20,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3018,21,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3019,22,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3020,23,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3021,24,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3022,25,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3023,26,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3024,27,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3025,28,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3026,29,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3027,30,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3028,31,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3029,32,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3030,33,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3031,34,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,5:34:00,5:34:00,3002,35,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3032,36,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3033,37,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3034,38,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3035,39,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3036,40,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3037,41,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3038,42,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,5:43:00,5:43:00,3003,43,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3039,44,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3040,45,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3041,46,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3042,47,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3043,48,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3044,49,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3045,50,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,5:51:00,5:51:00,3004,51,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3046,52,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3047,53,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3048,54,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3049,55,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3051,56,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3052,57,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3053,58,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3054,59,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3055,60,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3056,61,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3057,62,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3058,63,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3059,64,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3060,65,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3061,66,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3062,67,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3063,68,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3064,69,,,,
KRT_Weekday-3n_out_cap_NoSas_nmp-a,,,3065,70,,,,
