trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_out_cap_nmp-a,7:59:00,7:59:00,3001,10,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,2018,11,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3010,12,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3011,13,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3012,14,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3013,15,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3014,16,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3015,17,,,,
KRT_Weekday-3n_out_cap_nmp-a,8:10:00,8:10:00,2,18,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3016,19,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3017,20,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3018,21,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3019,22,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3020,23,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3021,24,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3022,25,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3023,26,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3024,27,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3025,28,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3026,29,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3027,30,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3028,31,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3029,32,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3030,33,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3031,34,,,,
KRT_Weekday-3n_out_cap_nmp-a,8:24:00,8:24:00,3002,35,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3032,36,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3033,37,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3034,38,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3035,39,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3036,40,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3037,41,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3038,42,,,,
KRT_Weekday-3n_out_cap_nmp-a,8:33:00,8:33:00,3003,43,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3039,44,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3040,45,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3041,46,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3042,47,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3043,48,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3044,49,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3045,50,,,,
KRT_Weekday-3n_out_cap_nmp-a,8:41:00,8:41:00,3004,51,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3046,52,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3047,53,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3048,54,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3049,55,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3051,56,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3050,57,,,,
KRT_Weekday-3n_out_cap_nmp-a,8:54:00,8:54:00,1004,58,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3050,59,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3051,60,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3052,61,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3053,62,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3054,63,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3055,64,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3056,65,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3057,66,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3058,67,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3059,68,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3060,69,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3061,70,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3062,71,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3063,72,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3064,73,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3065,74,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3066,75,,,,
KRT_Weekday-3n_out_cap_nmp-a,9:07:00,9:07:00,3005,76,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3067,77,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3068,78,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3069,79,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3070,80,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3071,81,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3072,82,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3073,83,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3074,84,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3075,85,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3076,86,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3077,87,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3078,88,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3079,89,,,,
KRT_Weekday-3n_out_cap_nmp-a,,,3080,90,,,,
KRT_Weekday-3n_out_cap_nmp-a,9:17:00,9:17:00,3006,91,,,,
KRT_Weekday-3n_out_cap_nmp-b,9:59:00,9:59:00,3001,10,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,2018,11,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3010,12,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3011,13,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3012,14,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3013,15,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3014,16,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3015,17,,,,
KRT_Weekday-3n_out_cap_nmp-b,10:10:00,10:10:00,2,18,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3016,19,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3017,20,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3018,21,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3019,22,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3020,23,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3021,24,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3022,25,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3023,26,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3024,27,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3025,28,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3026,29,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3027,30,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3028,31,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3029,32,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3030,33,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3031,34,,,,
KRT_Weekday-3n_out_cap_nmp-b,10:24:00,10:24:00,3002,35,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3032,36,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3033,37,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3034,38,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3035,39,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3036,40,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3037,41,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3038,42,,,,
KRT_Weekday-3n_out_cap_nmp-b,10:33:00,10:33:00,3003,43,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3039,44,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3040,45,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3041,46,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3042,47,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3043,48,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3044,49,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3045,50,,,,
KRT_Weekday-3n_out_cap_nmp-b,10:41:00,10:41:00,3004,51,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3046,52,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3047,53,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3048,54,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3049,55,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3051,56,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3050,57,,,,
KRT_Weekday-3n_out_cap_nmp-b,10:54:00,10:54:00,1004,58,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3050,59,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3051,60,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3052,61,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3053,62,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3054,63,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3055,64,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3056,65,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3057,66,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3058,67,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3059,68,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3060,69,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3061,70,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3062,71,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3063,72,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3064,73,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3065,74,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3066,75,,,,
KRT_Weekday-3n_out_cap_nmp-b,11:07:00,11:07:00,3005,76,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3067,77,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3068,78,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3069,79,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3070,80,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3071,81,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3072,82,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3073,83,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3074,84,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3075,85,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3076,86,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3077,87,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3078,88,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3079,89,,,,
KRT_Weekday-3n_out_cap_nmp-b,,,3080,90,,,,
KRT_Weekday-3n_out_cap_nmp-b,11:17:00,11:17:00,3006,91,,,,
KRT_Weekday-3n_out_cap_nmp-c,10:59:00,10:59:00,3001,10,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,2018,11,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3010,12,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3011,13,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3012,14,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3013,15,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3014,16,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3015,17,,,,
KRT_Weekday-3n_out_cap_nmp-c,11:10:00,11:10:00,2,18,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3016,19,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3017,20,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3018,21,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3019,22,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3020,23,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3021,24,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3022,25,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3023,26,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3024,27,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3025,28,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3026,29,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3027,30,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3028,31,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3029,32,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3030,33,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3031,34,,,,
KRT_Weekday-3n_out_cap_nmp-c,11:24:00,11:24:00,3002,35,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3032,36,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3033,37,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3034,38,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3035,39,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3036,40,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3037,41,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3038,42,,,,
KRT_Weekday-3n_out_cap_nmp-c,11:33:00,11:33:00,3003,43,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3039,44,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3040,45,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3041,46,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3042,47,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3043,48,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3044,49,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3045,50,,,,
KRT_Weekday-3n_out_cap_nmp-c,11:41:00,11:41:00,3004,51,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3046,52,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3047,53,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3048,54,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3049,55,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3051,56,,,,
KRT_Weekday-3n_out_cap_nmp-c,,,3050,57,,,,
