trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_out_tm_mgr-a,23:15:00,23:15:00,2,10,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3016,11,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3017,12,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3018,13,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3019,14,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3020,15,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3021,16,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3022,17,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3023,18,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3024,19,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3025,20,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3026,21,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3027,22,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3028,23,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3029,24,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3030,25,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3031,26,,,,
KRT_Weekday-3n_out_tm_mgr-a,23:34:00,23:34:00,3002,27,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3032,28,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3033,29,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3034,30,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3035,31,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3036,32,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3037,33,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3038,34,,,,
KRT_Weekday-3n_out_tm_mgr-a,23:43:00,23:43:00,3003,35,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3039,36,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3040,37,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3041,38,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3042,39,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3043,40,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3044,41,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3045,42,,,,
KRT_Weekday-3n_out_tm_mgr-a,23:51:00,23:51:00,3004,43,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3046,44,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3047,45,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3048,46,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3049,47,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3051,48,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3050,49,,,,
KRT_Weekday-3n_out_tm_mgr-a,24:04:00,24:04:00,1004,50,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3050,51,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3051,52,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3052,53,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3053,54,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3054,55,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3055,56,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3056,57,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3057,58,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3058,59,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3059,60,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3060,61,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3061,62,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3062,63,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3063,64,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3064,65,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3065,66,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3066,67,,,,
KRT_Weekday-3n_out_tm_mgr-a,24:17:00,24:17:00,3005,68,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3067,69,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3068,70,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3069,71,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3070,72,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3071,73,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3072,74,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3073,75,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3074,76,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3075,77,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3076,78,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3077,79,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3078,80,,,,
KRT_Weekday-3n_out_tm_mgr-a,,,3079,81,,,,
KRT_Weekday-3n_out_tm_mgr-a,24:27:00,24:27:00,3006,82,,,,
KRT_Weekday-3n_out_tm_mgr-a,24:30:00,24:30:00,3007,83,,,,
