trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-5_in_nmp_tm-a,8:57:00,8:57:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-a,9:07:00,9:07:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5016,20,,,,
KRT_Weekday-5_in_nmp_tm-a,9:17:00,9:17:00,5001,21,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5015,22,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5014,23,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5013,24,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5012,25,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5011,26,,,,
KRT_Weekday-5_in_nmp_tm-a,,,5010,27,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3104,28,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3103,29,,,,
KRT_Weekday-5_in_nmp_tm-a,9:29:00,9:29:00,3009,30,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3031,31,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3030,32,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3029,33,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3028,34,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3027,35,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3026,36,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3025,37,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3024,38,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3023,39,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3083,40,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3084,41,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3085,42,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3086,43,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3087,44,,,,
KRT_Weekday-5_in_nmp_tm-a,,,3088,45,,,,
KRT_Weekday-5_in_nmp_tm-a,9:47:00,9:47:00,1,46,,,,
KRT_Weekday-5_in_nmp_tm-b,10:18:00,10:18:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-b,10:28:00,10:28:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5016,20,,,,
KRT_Weekday-5_in_nmp_tm-b,10:38:00,10:38:00,5001,21,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5015,22,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5014,23,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5013,24,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5012,25,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5011,26,,,,
KRT_Weekday-5_in_nmp_tm-b,,,5010,27,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3104,28,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3103,29,,,,
KRT_Weekday-5_in_nmp_tm-b,10:50:00,10:50:00,3009,30,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3031,31,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3030,32,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3029,33,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3028,34,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3027,35,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3026,36,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3025,37,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3024,38,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3023,39,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3083,40,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3084,41,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3085,42,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3086,43,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3087,44,,,,
KRT_Weekday-5_in_nmp_tm-b,,,3088,45,,,,
KRT_Weekday-5_in_nmp_tm-b,11:08:00,11:08:00,1,46,,,,
KRT_Weekday-5_in_nmp_tm-c,11:07:00,11:07:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-c,11:17:00,11:17:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5016,20,,,,
KRT_Weekday-5_in_nmp_tm-c,11:27:00,11:27:00,5001,21,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5015,22,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5014,23,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5013,24,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5012,25,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5011,26,,,,
KRT_Weekday-5_in_nmp_tm-c,,,5010,27,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3104,28,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3103,29,,,,
KRT_Weekday-5_in_nmp_tm-c,11:39:00,11:39:00,3009,30,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3031,31,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3030,32,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3029,33,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3028,34,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3027,35,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3026,36,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3025,37,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3024,38,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3023,39,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3083,40,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3084,41,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3085,42,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3086,43,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3087,44,,,,
KRT_Weekday-5_in_nmp_tm-c,,,3088,45,,,,
KRT_Weekday-5_in_nmp_tm-c,11:57:00,11:57:00,1,46,,,,
KRT_Weekday-5_in_nmp_tm-d,12:03:00,12:03:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-d,12:13:00,12:13:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5016,20,,,,
KRT_Weekday-5_in_nmp_tm-d,12:23:00,12:23:00,5001,21,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5015,22,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5014,23,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5013,24,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5012,25,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5011,26,,,,
KRT_Weekday-5_in_nmp_tm-d,,,5010,27,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3104,28,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3103,29,,,,
KRT_Weekday-5_in_nmp_tm-d,12:35:00,12:35:00,3009,30,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3031,31,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3030,32,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3029,33,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3028,34,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3027,35,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3026,36,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3025,37,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3024,38,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3023,39,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3083,40,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3084,41,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3085,42,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3086,43,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3087,44,,,,
KRT_Weekday-5_in_nmp_tm-d,,,3088,45,,,,
KRT_Weekday-5_in_nmp_tm-d,12:53:00,12:53:00,1,46,,,,
KRT_Weekday-5_in_nmp_tm-e,14:02:00,14:02:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-e,14:12:00,14:12:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5016,20,,,,
KRT_Weekday-5_in_nmp_tm-e,14:22:00,14:22:00,5001,21,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5015,22,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5014,23,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5013,24,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5012,25,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5011,26,,,,
KRT_Weekday-5_in_nmp_tm-e,,,5010,27,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3104,28,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3103,29,,,,
KRT_Weekday-5_in_nmp_tm-e,14:34:00,14:34:00,3009,30,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3031,31,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3030,32,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3029,33,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3028,34,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3027,35,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3026,36,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3025,37,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3024,38,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3023,39,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3083,40,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3084,41,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3085,42,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3086,43,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3087,44,,,,
KRT_Weekday-5_in_nmp_tm-e,,,3088,45,,,,
KRT_Weekday-5_in_nmp_tm-e,14:52:00,14:52:00,1,46,,,,
KRT_Weekday-5_in_nmp_tm-f,16:17:00,16:17:00,3006,10,,,,
KRT_Weekday-5_in_nmp_tm-f,,,3081,11,,,,
KRT_Weekday-5_in_nmp_tm-f,,,3082,12,,,,
KRT_Weekday-5_in_nmp_tm-f,,,3077,13,,,,
KRT_Weekday-5_in_nmp_tm-f,,,3076,14,,,,
KRT_Weekday-5_in_nmp_tm-f,,,3075,15,,,,
KRT_Weekday-5_in_nmp_tm-f,16:27:00,16:27:00,5002,16,,,,
KRT_Weekday-5_in_nmp_tm-f,,,5019,17,,,,
KRT_Weekday-5_in_nmp_tm-f,,,5018,18,,,,
KRT_Weekday-5_in_nmp_tm-f,,,5017,19,,,,
KRT_Weekday-5_in_nmp_tm-f,,,5016,20,,,,
