trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-6_in_cm_ng_tm-a,9:24:00,9:24:00,6005,10,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6023,11,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6022,12,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6021,13,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6020,14,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6019,15,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6018,16,,,,
KRT_Weekday-6_in_cm_ng_tm-a,9:36:00,9:36:00,6004,17,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6017,18,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6016,19,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6015,20,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6014,21,,,,
KRT_Weekday-6_in_cm_ng_tm-a,9:48:00,9:48:00,6003,22,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6013,23,,,,
KRT_Weekday-6_in_cm_ng_tm-a,9:56:00,9:56:00,6002,24,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6012,25,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6011,26,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,6010,27,,,,
KRT_Weekday-6_in_cm_ng_tm-a,10:05:00,10:05:00,6001,28,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2017,29,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2016,30,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2015,31,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2014,32,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2013,33,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2012,34,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2035,35,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2036,36,,,,
KRT_Weekday-6_in_cm_ng_tm-a,,,2037,37,,,,
KRT_Weekday-6_in_cm_ng_tm-a,10:15:00,10:15:00,2,38,,,,
KRT_Weekday-6_in_cm_ng_tm-b,14:54:00,14:54:00,6005,10,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6023,11,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6022,12,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6021,13,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6020,14,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6019,15,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6018,16,,,,
KRT_Weekday-6_in_cm_ng_tm-b,15:06:00,15:06:00,6004,17,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6017,18,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6016,19,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6015,20,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6014,21,,,,
KRT_Weekday-6_in_cm_ng_tm-b,15:18:00,15:18:00,6003,22,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6013,23,,,,
KRT_Weekday-6_in_cm_ng_tm-b,15:26:00,15:26:00,6002,24,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6012,25,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6011,26,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,6010,27,,,,
KRT_Weekday-6_in_cm_ng_tm-b,15:35:00,15:35:00,6001,28,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2017,29,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2016,30,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2015,31,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2014,32,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2013,33,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2012,34,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2035,35,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2036,36,,,,
KRT_Weekday-6_in_cm_ng_tm-b,,,2037,37,,,,
KRT_Weekday-6_in_cm_ng_tm-b,15:45:00,15:45:00,2,38,,,,
