trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
None-a,16:25:00,16:25:00,100078,5,,,,
None-a,,,501113,50,,,,
None-a,,,201114,60,,,,
None-a,,,501115,70,,,,
None-a,,,501116,95,,,,
None-a,,,501117,105,,,,
None-a,,,201118,115,,,,
None-a,,,501119,125,,,,
None-a,,,501120,130,,,,
None-a,,,301121,135,,,,
None-a,,,501124,140,,,,
None-a,,,501125,145,,,,
None-a,,,501126,150,,,,
None-a,,,501127,155,,,,
None-a,,,501128,160,,,,
None-a,,,501129,165,,,,
None-a,,,501130,170,,,,
None-a,,,501131,175,,,,
None-a,,,501133,185,,,,
None-a,,,501134,190,,,,
None-a,,,501136,195,,,,
None-a,,,501137,205,,,,
None-a,,,501138,215,,,,
None-a,,,201139,230,,,,
None-a,,,501140,235,,,,
None-a,,,501142,255,,,,
None-a,,,501143,265,,,,
None-a,,,501145,275,,,,
None-a,,,501148,290,,,,
None-a,,,501149,295,,,,
None-a,,,501152,345,,,,
None-a,,,501153,350,,,,
None-a,,,501154,355,,,,
None-a,,,501022,370,,,,
None-b,18:05:00,18:05:00,100078,5,,,,
None-b,,,501113,50,,,,
None-b,,,201114,60,,,,
None-b,,,501115,70,,,,
None-b,,,501116,95,,,,
None-b,,,501117,105,,,,
None-b,,,201118,115,,,,
None-b,,,501119,125,,,,
None-b,,,501120,130,,,,
None-b,,,301121,135,,,,
None-b,,,501124,140,,,,
None-b,,,501125,145,,,,
None-b,,,501126,150,,,,
None-b,,,501127,155,,,,
None-b,,,501128,160,,,,
None-b,,,501129,165,,,,
None-b,,,501130,170,,,,
None-b,,,501131,175,,,,
None-b,,,501133,185,,,,
None-b,,,501134,190,,,,
None-b,,,501136,195,,,,
None-b,,,501137,205,,,,
None-b,,,501138,215,,,,
None-b,,,201139,230,,,,
None-b,,,501140,235,,,,
None-b,,,501142,255,,,,
None-b,,,501143,265,,,,
None-b,,,501145,275,,,,
None-b,,,501148,290,,,,
None-b,,,501149,295,,,,
None-b,,,501152,345,,,,
None-b,,,501153,350,,,,
None-b,,,501154,355,,,,
None-b,,,501022,370,,,,
None-c,20:25:00,20:25:00,100078,5,,,,
None-c,,,501113,50,,,,
None-c,,,201114,60,,,,
None-c,,,501115,70,,,,
None-c,,,501116,95,,,,
None-c,,,501117,105,,,,
None-c,,,201118,115,,,,
None-c,,,501119,125,,,,
None-c,,,501120,130,,,,
None-c,,,301121,135,,,,
None-c,,,501124,140,,,,
None-c,,,501125,145,,,,
None-c,,,501126,150,,,,
None-c,,,501127,155,,,,
None-c,,,501128,160,,,,
None-c,,,501129,165,,,,
None-c,,,501130,170,,,,
None-c,,,501131,175,,,,
None-c,,,501133,185,,,,
None-c,,,501134,190,,,,
None-c,,,501136,195,,,,
None-c,,,501137,205,,,,
None-c,,,501138,215,,,,
None-c,,,201139,230,,,,
None-c,,,501140,235,,,,
None-c,,,501142,255,,,,
None-c,,,501143,265,,,,
None-c,,,501145,275,,,,
None-c,,,501148,290,,,,
None-c,,,501149,295,,,,
None-c,,,501152,345,,,,
None-c,,,501153,350,,,,
None-c,,,501154,355,,,,
None-c,,,501022,370,,,,
