trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
None-a,06:55:00,06:55:00,100079,5,,,,
None-a,07:10:00,07:10:00,100078,5,,,,
None-a,,,501113,50,,,,
None-a,,,201114,60,,,,
None-a,,,501115,70,,,,
None-a,,,501116,95,,,,
None-a,,,501117,105,,,,
None-a,,,201118,115,,,,
None-a,,,501119,125,,,,
None-a,,,501120,130,,,,
None-a,,,301121,135,,,,
None-a,,,501124,140,,,,
None-a,,,501125,145,,,,
None-a,,,501126,150,,,,
None-a,,,501127,155,,,,
None-a,,,501128,160,,,,
None-a,,,501129,165,,,,
None-a,,,501130,170,,,,
None-a,,,501131,175,,,,
None-a,,,501133,185,,,,
None-a,,,501134,190,,,,
None-a,,,501136,195,,,,
None-a,,,501137,205,,,,
None-a,,,501138,215,,,,
None-a,,,201139,230,,,,
None-a,,,501140,235,,,,
None-a,,,501142,255,,,,
None-a,,,501143,265,,,,
None-a,,,501145,275,,,,
None-a,,,501148,290,,,,
None-a,,,501149,295,,,,
None-a,,,501152,345,,,,
None-a,,,501153,350,,,,
None-a,,,501154,355,,,,
None-a,,,501024,365,,,,
None-a,,,501026,380,,,,
None-a,,,501027,390,,,,
None-a,,,501028,400,,,,
None-a,,,501029,405,,,,
None-a,,,501030,415,,,,
None-a,,,501032,445,,,,
None-a,,,501033,450,,,,
None-a,,,501034,460,,,,
None-a,,,501035,470,,,,
None-b,07:55:00,07:55:00,100079,5,,,,
None-b,08:10:00,08:10:00,100078,5,,,,
None-b,,,501113,50,,,,
None-b,,,201114,60,,,,
None-b,,,501115,70,,,,
None-b,,,501116,95,,,,
None-b,,,501117,105,,,,
None-b,,,201118,115,,,,
None-b,,,501119,125,,,,
None-b,,,501120,130,,,,
None-b,,,301121,135,,,,
None-b,,,501124,140,,,,
None-b,,,501125,145,,,,
None-b,,,501126,150,,,,
None-b,,,501127,155,,,,
None-b,,,501128,160,,,,
None-b,,,501129,165,,,,
None-b,,,501130,170,,,,
None-b,,,501131,175,,,,
None-b,,,501133,185,,,,
None-b,,,501134,190,,,,
