trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
01_SA_out_KanTer-a,04:40:00,04:40:00,101017,125,,,,
01_SA_out_KanTer-a,,,501018,130,,,,
01_SA_out_KanTer-a,,,501036,140,,,,
01_SA_out_KanTer-a,,,501037,145,,,,
01_SA_out_KanTer-a,,,501038,150,,,,
01_SA_out_KanTer-a,,,201039,155,,,,
01_SA_out_KanTer-a,,,501040,170,,,,
01_SA_out_KanTer-a,,,501041,180,,,,
01_SA_out_KanTer-a,,,301042,185,,,,
01_SA_out_KanTer-a,,,501043,195,,,,
01_SA_out_KanTer-a,,,501044,205,,,,
01_SA_out_KanTer-a,,,501045,210,,,,
01_SA_out_KanTer-a,,,501046,215,,,,
01_SA_out_KanTer-a,,,501047,225,,,,
01_SA_out_KanTer-a,04:50:00,04:50:00,101048,230,,,,
01_SA_out_KanTer-a,,,501049,250,,,,
01_SA_out_KanTer-a,,,501050,260,,,,
01_SA_out_KanTer-a,,,301051,275,,,,
01_SA_out_KanTer-a,,,501052,280,,,,
01_SA_out_KanTer-a,,,501053,285,,,,
01_SA_out_KanTer-a,,,501054,290,,,,
01_SA_out_KanTer-a,,,501055,295,,,,
01_SA_out_KanTer-a,,,501056,300,,,,
01_SA_out_KanTer-a,,,201057,305,,,,
01_SA_out_KanTer-a,,,501058,310,,,,
01_SA_out_KanTer-a,,,501059,320,,,,
01_SA_out_KanTer-a,,,501060,330,,,,
01_SA_out_KanTer-a,,,101061,335,,,,
01_SA_out_KanTer-a,,,501062,340,,,,
01_SA_out_KanTer-a,,,501063,355,,,,
01_SA_out_KanTer-a,,,501064,360,,,,
01_SA_out_KanTer-a,,,501066,365,,,,
01_SA_out_KanTer-a,,,501067,370,,,,
01_SA_out_KanTer-a,,,501068,375,,,,
01_SA_out_KanTer-a,,,501069,380,,,,
01_SA_out_KanTer-a,,,501070,395,,,,
01_SA_out_KanTer-a,,,501071,400,,,,
01_SA_out_KanTer-a,,,501072,415,,,,
01_SA_out_KanTer-a,,,501073,430,,,,
01_SA_out_KanTer-a,,,501074,440,,,,
01_SA_out_KanTer-a,,,501075,450,,,,
01_SA_out_KanTer-a,,,501076,465,,,,
01_SA_out_KanTer-a,,,501077,480,,,,
01_SA_out_KanTer-b,05:10:00,05:10:00,101017,125,,,,
01_SA_out_KanTer-b,,,501018,130,,,,
01_SA_out_KanTer-b,,,501036,140,,,,
01_SA_out_KanTer-b,,,501037,145,,,,
01_SA_out_KanTer-b,,,501038,150,,,,
01_SA_out_KanTer-b,,,201039,155,,,,
01_SA_out_KanTer-b,,,501040,170,,,,
01_SA_out_KanTer-b,,,501041,180,,,,
01_SA_out_KanTer-b,,,301042,185,,,,
01_SA_out_KanTer-b,,,501043,195,,,,
01_SA_out_KanTer-b,,,501044,205,,,,
01_SA_out_KanTer-b,,,501045,210,,,,
01_SA_out_KanTer-b,,,501046,215,,,,
01_SA_out_KanTer-b,,,501047,225,,,,
01_SA_out_KanTer-b,05:20:00,05:20:00,101048,230,,,,
01_SA_out_KanTer-b,,,501049,250,,,,
01_SA_out_KanTer-b,,,501050,260,,,,
01_SA_out_KanTer-b,,,301051,275,,,,
01_SA_out_KanTer-b,,,501052,280,,,,
01_SA_out_KanTer-b,,,501053,285,,,,
01_SA_out_KanTer-b,,,501054,290,,,,
01_SA_out_KanTer-b,,,501055,295,,,,
01_SA_out_KanTer-b,,,501056,300,,,,
