trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
None-a,06:00:00,06:00:00,100003,5,,,,
None-a,,,201006,20,,,,
None-a,,,501007,30,,,,
None-a,,,501008,45,,,,
None-a,,,201009,55,,,,
None-a,,,501010,65,,,,
None-a,,,501011,75,,,,
None-a,,,501012,80,,,,
None-a,,,501013,90,,,,
None-a,,,501014,95,,,,
None-a,,,501015,105,,,,
None-a,,,501016,115,,,,
None-a,06:12:00,06:12:00,101017,125,,,,
None-a,,,501018,130,,,,
None-a,,,501036,140,,,,
None-a,,,501037,145,,,,
None-a,,,501038,150,,,,
None-a,,,201039,155,,,,
None-a,,,501040,170,,,,
None-a,,,501041,180,,,,
None-a,,,301042,185,,,,
None-a,,,501043,195,,,,
None-a,,,501044,205,,,,
None-a,,,501045,210,,,,
None-a,,,501046,215,,,,
None-a,,,501047,225,,,,
None-a,06:24:00,06:24:00,101048,230,,,,
None-a,,,501049,250,,,,
None-a,,,501050,260,,,,
None-a,,,301051,275,,,,
None-a,,,501052,280,,,,
None-a,,,501053,285,,,,
None-a,,,501054,290,,,,
None-a,,,501055,295,,,,
None-a,,,501056,300,,,,
None-a,,,201057,305,,,,
None-a,,,501058,310,,,,
None-a,,,501059,320,,,,
None-a,,,501060,330,,,,
None-a,,,101061,335,,,,
None-a,,,501062,340,,,,
None-a,,,501063,355,,,,
None-a,,,501064,360,,,,
None-a,,,501066,365,,,,
None-a,,,501067,370,,,,
None-a,,,501068,375,,,,
None-a,,,501069,380,,,,
None-a,,,501070,395,,,,
None-a,,,501071,400,,,,
None-a,,,501072,415,,,,
None-a,,,501073,430,,,,
None-a,,,501074,440,,,,
None-a,,,501075,450,,,,
None-a,,,501076,465,,,,
None-a,,,501077,480,,,,
None-a,06:44:00,06:44:00,100078,490,,,,
None-b,07:00:00,07:00:00,100003,5,,,,
None-b,,,201006,20,,,,
None-b,,,501007,30,,,,
None-b,,,501008,45,,,,
None-b,,,201009,55,,,,
None-b,,,501010,65,,,,
None-b,,,501011,75,,,,
None-b,,,501012,80,,,,
None-b,,,501013,90,,,,
None-b,,,501014,95,,,,
None-b,,,501015,105,,,,
None-b,,,501016,115,,,,
None-b,07:12:00,07:12:00,101017,125,,,,
None-b,,,501018,130,,,,
None-b,,,501036,140,,,,
None-b,,,501037,145,,,,
None-b,,,501038,150,,,,
None-b,,,201039,155,,,,
None-b,,,501040,170,,,,
None-b,,,501041,180,,,,
None-b,,,301042,185,,,,
None-b,,,501043,195,,,,
None-b,,,501044,205,,,,
None-b,,,501045,210,,,,
None-b,,,501046,215,,,,
None-b,,,501047,225,,,,
None-b,07:24:00,07:24:00,101048,230,,,,
None-b,,,501049,250,,,,
None-b,,,501050,260,,,,
None-b,,,301051,275,,,,
None-b,,,501052,280,,,,
None-b,,,501053,285,,,,
None-b,,,501054,290,,,,
None-b,,,501055,295,,,,
None-b,,,501056,300,,,,
None-b,,,201057,305,,,,
None-b,,,501058,310,,,,
None-b,,,501059,320,,,,
None-b,,,501060,330,,,,
None-b,,,101061,335,,,,
None-b,,,501062,340,,,,
None-b,,,501063,355,,,,
None-b,,,501064,360,,,,
None-b,,,501066,365,,,,
None-b,,,501067,370,,,,
None-b,,,501068,375,,,,
None-b,,,501069,380,,,,
None-b,,,501070,395,,,,
None-b,,,501071,400,,,,
None-b,,,501072,415,,,,
None-b,,,501073,430,,,,
None-b,,,501074,440,,,,
None-b,,,501075,450,,,,
None-b,,,501076,465,,,,
None-b,,,501077,480,,,,
None-b,07:44:00,07:44:00,100078,490,,,,
None-c,08:00:00,08:00:00,100003,5,,,,
None-c,,,201006,20,,,,
None-c,,,501007,30,,,,
None-c,,,501008,45,,,,
None-c,,,201009,55,,,,
None-c,,,501010,65,,,,
None-c,,,501011,75,,,,
None-c,,,501012,80,,,,
None-c,,,501013,90,,,,
None-c,,,501014,95,,,,
None-c,,,501015,105,,,,
None-c,,,501016,115,,,,
None-c,08:12:00,08:12:00,101017,125,,,,
None-c,,,501018,130,,,,
None-c,,,501036,140,,,,
None-c,,,501037,145,,,,
None-c,,,501038,150,,,,
None-c,,,201039,155,,,,
None-c,,,501040,170,,,,
None-c,,,501041,180,,,,
None-c,,,301042,185,,,,
None-c,,,501043,195,,,,
None-c,,,501044,205,,,,
None-c,,,501045,210,,,,
None-c,,,501046,215,,,,
None-c,,,501047,225,,,,
None-c,08:24:00,08:24:00,101048,230,,,,
None-c,,,501049,250,,,,
None-c,,,501050,260,,,,
None-c,,,301051,275,,,,
None-c,,,501052,280,,,,
None-c,,,501053,285,,,,
None-c,,,501054,290,,,,
None-c,,,501055,295,,,,
None-c,,,501056,300,,,,
None-c,,,201057,305,,,,
None-c,,,501058,310,,,,
None-c,,,501059,320,,,,
None-c,,,501060,330,,,,
None-c,,,101061,335,,,,
None-c,,,501062,340,,,,
None-c,,,501063,355,,,,
None-c,,,501064,360,,,,
None-c,,,501066,365,,,,
None-c,,,501067,370,,,,
None-c,,,501068,375,,,,
None-c,,,501069,380,,,,
None-c,,,501070,395,,,,
None-c,,,501071,400,,,,
None-c,,,501072,415,,,,
None-c,,,501073,430,,,,
None-c,,,501074,440,,,,
None-c,,,501075,450,,,,
None-c,,,501076,465,,,,
None-c,,,501077,480,,,,
None-c,08:44:00,08:44:00,100078,490,,,,
None-d,11:00:00,11:00:00,100003,5,,,,
None-d,,,201006,20,,,,
None-d,,,501007,30,,,,
None-d,,,501008,45,,,,
None-d,,,201009,55,,,,
None-d,,,501010,65,,,,
None-d,,,501011,75,,,,
None-d,,,501012,80,,,,
None-d,,,501013,90,,,,
None-d,,,501014,95,,,,
None-d,,,501015,105,,,,
None-d,,,501016,115,,,,
None-d,11:12:00,11:12:00,101017,125,,,,
None-d,,,501018,130,,,,
None-d,,,501036,140,,,,
None-d,,,501037,145,,,,
None-d,,,501038,150,,,,
None-d,,,201039,155,,,,
None-d,,,501040,170,,,,
None-d,,,501041,180,,,,
None-d,,,301042,185,,,,
None-d,,,501043,195,,,,
None-d,,,501044,205,,,,
None-d,,,501045,210,,,,
None-d,,,501046,215,,,,
None-d,,,501047,225,,,,
None-d,11:24:00,11:24:00,101048,230,,,,
None-d,,,501049,250,,,,
None-d,,,501050,260,,,,
None-d,,,301051,275,,,,
None-d,,,501052,280,,,,
None-d,,,501053,285,,,,
None-d,,,501054,290,,,,
None-d,,,501055,295,,,,
None-d,,,501056,300,,,,
None-d,,,201057,305,,,,
None-d,,,501058,310,,,,
None-d,,,501059,320,,,,
None-d,,,501060,330,,,,
None-d,,,101061,335,,,,
None-d,,,501062,340,,,,
None-d,,,501063,355,,,,
None-d,,,501064,360,,,,
None-d,,,501066,365,,,,
None-d,,,501067,370,,,,
None-d,,,501068,375,,,,
None-d,,,501069,380,,,,
None-d,,,501070,395,,,,
None-d,,,501071,400,,,,
None-d,,,501072,415,,,,
None-d,,,501073,430,,,,
None-d,,,501074,440,,,,
None-d,,,501075,450,,,,
None-d,,,501076,465,,,,
None-d,,,501077,480,,,,
None-d,11:44:00,11:44:00,100078,490,,,,
None-e,12:00:00,12:00:00,100003,5,,,,
None-e,,,201006,20,,,,
None-e,,,501007,30,,,,
None-e,,,501008,45,,,,
None-e,,,201009,55,,,,
None-e,,,501010,65,,,,
None-e,,,501011,75,,,,
None-e,,,501012,80,,,,
None-e,,,501013,90,,,,
None-e,,,501014,95,,,,
None-e,,,501015,105,,,,
None-e,,,501016,115,,,,
None-e,12:12:00,12:12:00,101017,125,,,,
None-e,,,501018,130,,,,
None-e,,,501036,140,,,,
None-e,,,501037,145,,,,
None-e,,,501038,150,,,,
None-e,,,201039,155,,,,
None-e,,,501040,170,,,,
None-e,,,501041,180,,,,
None-e,,,301042,185,,,,
None-e,,,501043,195,,,,
None-e,,,501044,205,,,,
None-e,,,501045,210,,,,
None-e,,,501046,215,,,,
None-e,,,501047,225,,,,
None-e,12:24:00,12:24:00,101048,230,,,,
None-e,,,501049,250,,,,
None-e,,,501050,260,,,,
None-e,,,301051,275,,,,
None-e,,,501052,280,,,,
None-e,,,501053,285,,,,
None-e,,,501054,290,,,,
None-e,,,501055,295,,,,
None-e,,,501056,300,,,,
None-e,,,201057,305,,,,
None-e,,,501058,310,,,,
None-e,,,501059,320,,,,
None-e,,,501060,330,,,,
None-e,,,101061,335,,,,
None-e,,,501062,340,,,,
None-e,,,501063,355,,,,
None-e,,,501064,360,,,,
None-e,,,501066,365,,,,
None-e,,,501067,370,,,,
None-e,,,501068,375,,,,
None-e,,,501069,380,,,,
None-e,,,501070,395,,,,
None-e,,,501071,400,,,,
None-e,,,501072,415,,,,
None-e,,,501073,430,,,,
None-e,,,501074,440,,,,
None-e,,,501075,450,,,,
None-e,,,501076,465,,,,
None-e,,,501077,480,,,,
None-e,12:44:00,12:44:00,100078,490,,,,
None-f,14:00:00,14:00:00,100003,5,,,,
None-f,,,201006,20,,,,
None-f,,,501007,30,,,,
None-f,,,501008,45,,,,
None-f,,,201009,55,,,,
None-f,,,501010,65,,,,
None-f,,,501011,75,,,,
None-f,,,501012,80,,,,
None-f,,,501013,90,,,,
None-f,,,501014,95,,,,
None-f,,,501015,105,,,,
None-f,,,501016,115,,,,
None-f,14:12:00,14:12:00,101017,125,,,,
None-f,,,501018,130,,,,
None-f,,,501036,140,,,,
None-f,,,501037,145,,,,
