trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
None-a,06:30:00,06:30:00,100003,5,,,,
None-a,,,201006,20,,,,
None-a,,,501007,30,,,,
None-a,,,501008,45,,,,
None-a,,,201009,55,,,,
None-a,,,501010,65,,,,
None-a,,,501011,75,,,,
None-a,,,501012,80,,,,
None-a,,,501013,90,,,,
None-a,,,501014,95,,,,
None-a,,,501015,105,,,,
None-a,,,501016,115,,,,
None-a,06:42:00,06:42:00,101017,125,,,,
None-a,,,501018,130,,,,
None-a,,,501036,140,,,,
None-a,,,501037,145,,,,
None-a,,,501038,150,,,,
None-a,,,201039,155,,,,
None-a,,,501040,170,,,,
None-a,,,501041,180,,,,
None-a,,,301042,185,,,,
None-a,,,501043,195,,,,
None-a,,,501044,205,,,,
None-a,,,501045,210,,,,
None-a,,,501046,215,,,,
None-a,,,501047,225,,,,
None-a,06:54:00,06:54:00,101048,230,,,,
None-a,,,501049,250,,,,
None-a,,,501050,260,,,,
None-a,,,301051,275,,,,
None-a,,,501052,280,,,,
None-a,,,501053,285,,,,
None-a,,,501054,290,,,,
None-a,,,501055,295,,,,
None-a,,,501056,300,,,,
None-a,,,201057,305,,,,
None-a,,,501058,310,,,,
None-a,,,501059,320,,,,
None-a,,,501060,330,,,,
None-a,,,101061,335,,,,
None-b,17:15:00,17:15:00,100003,5,,,,
None-b,,,201006,20,,,,
None-b,,,501007,30,,,,
None-b,,,501008,45,,,,
None-b,,,201009,55,,,,
None-b,,,501010,65,,,,
None-b,,,501011,75,,,,
None-b,,,501012,80,,,,
None-b,,,501013,90,,,,
None-b,,,501014,95,,,,
None-b,,,501015,105,,,,
None-b,,,501016,115,,,,
None-b,17:27:00,17:27:00,101017,125,,,,
None-b,,,501018,130,,,,
None-b,,,501036,140,,,,
None-b,,,501037,145,,,,
None-b,,,501038,150,,,,
None-b,,,201039,155,,,,
None-b,,,501040,170,,,,
None-b,,,501041,180,,,,
None-b,,,301042,185,,,,
None-b,,,501043,195,,,,
None-b,,,501044,205,,,,
None-b,,,501045,210,,,,
None-b,,,501046,215,,,,
None-b,,,501047,225,,,,
None-b,17:39:00,17:39:00,101048,230,,,,
None-b,,,501049,250,,,,
None-b,,,501050,260,,,,
None-b,,,301051,275,,,,
None-b,,,501052,280,,,,
None-b,,,501053,285,,,,
None-b,,,501054,290,,,,
None-b,,,501055,295,,,,
None-b,,,501056,300,,,,
None-b,,,201057,305,,,,
None-b,,,501058,310,,,,
None-b,,,501059,320,,,,
None-b,,,501060,330,,,,
None-b,,,101061,335,,,,
