trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
R1_out_KanTer_SAS-a,05:28:00,05:28:00,101017,125,,,,
R1_out_KanTer_SAS-a,,,501018,130,,,,
R1_out_KanTer_SAS-a,,,501036,140,,,,
R1_out_KanTer_SAS-a,,,501037,145,,,,
R1_out_KanTer_SAS-a,,,501038,150,,,,
R1_out_KanTer_SAS-a,,,201039,155,,,,
R1_out_KanTer_SAS-a,,,501040,170,,,,
R1_out_KanTer_SAS-a,,,501041,180,,,,
R1_out_KanTer_SAS-a,,,301042,185,,,,
R1_out_KanTer_SAS-a,,,501043,195,,,,
R1_out_KanTer_SAS-a,,,501044,205,,,,
R1_out_KanTer_SAS-a,,,501045,210,,,,
R1_out_KanTer_SAS-a,,,501046,215,,,,
R1_out_KanTer_SAS-a,,,501047,225,,,,
R1_out_KanTer_SAS-a,05:43:00,05:43:00,101048,230,,,,
R1_out_KanTer_SAS-a,,,501049,250,,,,
R1_out_KanTer_SAS-a,,,501050,260,,,,
R1_out_KanTer_SAS-a,,,301051,275,,,,
R1_out_KanTer_SAS-a,,,501052,280,,,,
R1_out_KanTer_SAS-a,,,501053,285,,,,
R1_out_KanTer_SAS-a,,,501054,290,,,,
R1_out_KanTer_SAS-a,,,501055,295,,,,
R1_out_KanTer_SAS-a,,,501056,300,,,,
R1_out_KanTer_SAS-a,,,201057,305,,,,
R1_out_KanTer_SAS-a,,,501058,310,,,,
R1_out_KanTer_SAS-a,,,501059,320,,,,
R1_out_KanTer_SAS-a,,,501060,330,,,,
R1_out_KanTer_SAS-a,,,101061,335,,,,
R1_out_KanTer_SAS-a,,,501062,340,,,,
R1_out_KanTer_SAS-a,,,501063,355,,,,
R1_out_KanTer_SAS-a,,,501064,360,,,,
R1_out_KanTer_SAS-a,,,501066,365,,,,
R1_out_KanTer_SAS-a,,,501067,370,,,,
R1_out_KanTer_SAS-a,,,501068,375,,,,
R1_out_KanTer_SAS-a,,,501069,380,,,,
R1_out_KanTer_SAS-a,,,501070,395,,,,
R1_out_KanTer_SAS-a,,,501071,400,,,,
R1_out_KanTer_SAS-a,,,501072,415,,,,
R1_out_KanTer_SAS-a,,,501073,430,,,,
R1_out_KanTer_SAS-a,,,501074,440,,,,
R1_out_KanTer_SAS-a,,,501075,450,,,,
R1_out_KanTer_SAS-a,,,501076,465,,,,
R1_out_KanTer_SAS-a,,,501077,480,,,,
R1_out_KanTer_SAS-b,13:15:00,13:15:00,100003,5,,,,
R1_out_KanTer_SAS-b,,,201006,20,,,,
R1_out_KanTer_SAS-b,,,501007,30,,,,
R1_out_KanTer_SAS-b,,,501008,45,,,,
R1_out_KanTer_SAS-b,,,201009,55,,,,
R1_out_KanTer_SAS-b,,,501010,65,,,,
R1_out_KanTer_SAS-b,,,501011,75,,,,
R1_out_KanTer_SAS-b,,,501012,80,,,,
R1_out_KanTer_SAS-b,,,501013,90,,,,
R1_out_KanTer_SAS-b,,,501014,95,,,,
R1_out_KanTer_SAS-b,,,501015,105,,,,
R1_out_KanTer_SAS-b,,,501016,115,,,,
R1_out_KanTer_SAS-b,13:28:00,13:28:00,101017,125,,,,
R1_out_KanTer_SAS-b,,,501018,130,,,,
R1_out_KanTer_SAS-b,,,501036,140,,,,
R1_out_KanTer_SAS-b,,,501037,145,,,,
