trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
01_out_Sat_SA-KanTer-a,05:20:00,05:20:00,101017,125,,,,
01_out_Sat_SA-KanTer-a,,,501018,130,,,,
01_out_Sat_SA-KanTer-a,,,501036,140,,,,
01_out_Sat_SA-KanTer-a,,,501037,145,,,,
01_out_Sat_SA-KanTer-a,,,501038,150,,,,
01_out_Sat_SA-KanTer-a,,,201039,155,,,,
01_out_Sat_SA-KanTer-a,,,501040,170,,,,
01_out_Sat_SA-KanTer-a,,,501041,180,,,,
01_out_Sat_SA-KanTer-a,,,301042,185,,,,
01_out_Sat_SA-KanTer-a,,,501043,195,,,,
01_out_Sat_SA-KanTer-a,,,501044,205,,,,
01_out_Sat_SA-KanTer-a,,,501045,210,,,,
01_out_Sat_SA-KanTer-a,,,501046,215,,,,
01_out_Sat_SA-KanTer-a,,,501047,225,,,,
01_out_Sat_SA-KanTer-a,05:30:00,05:30:00,101048,230,,,,
01_out_Sat_SA-KanTer-a,,,501049,250,,,,
01_out_Sat_SA-KanTer-a,,,501050,260,,,,
01_out_Sat_SA-KanTer-a,,,301051,275,,,,
01_out_Sat_SA-KanTer-a,,,501052,280,,,,
01_out_Sat_SA-KanTer-a,,,501053,285,,,,
01_out_Sat_SA-KanTer-a,,,501054,290,,,,
01_out_Sat_SA-KanTer-a,,,501055,295,,,,
01_out_Sat_SA-KanTer-a,,,501056,300,,,,
01_out_Sat_SA-KanTer-a,,,201057,305,,,,
01_out_Sat_SA-KanTer-a,,,501058,310,,,,
01_out_Sat_SA-KanTer-a,,,501059,320,,,,
01_out_Sat_SA-KanTer-a,,,501060,330,,,,
01_out_Sat_SA-KanTer-a,,,101061,335,,,,
01_out_Sat_SA-KanTer-a,,,501062,340,,,,
01_out_Sat_SA-KanTer-a,,,501063,355,,,,
01_out_Sat_SA-KanTer-a,,,501064,360,,,,
01_out_Sat_SA-KanTer-a,,,501066,365,,,,
01_out_Sat_SA-KanTer-a,,,501067,370,,,,
01_out_Sat_SA-KanTer-a,,,501068,375,,,,
01_out_Sat_SA-KanTer-a,,,501069,380,,,,
01_out_Sat_SA-KanTer-a,,,501070,395,,,,
01_out_Sat_SA-KanTer-a,,,501071,400,,,,
01_out_Sat_SA-KanTer-a,,,501072,415,,,,
01_out_Sat_SA-KanTer-a,,,501073,430,,,,
01_out_Sat_SA-KanTer-a,,,501074,440,,,,
01_out_Sat_SA-KanTer-a,,,501075,450,,,,
01_out_Sat_SA-KanTer-a,,,501076,465,,,,
01_out_Sat_SA-KanTer-a,,,501077,480,,,,
01_out_Sat_SA-KanTer-b,09:00:00,09:00:00,100003,5,,,,
01_out_Sat_SA-KanTer-b,,,201006,20,,,,
01_out_Sat_SA-KanTer-b,,,501007,30,,,,
01_out_Sat_SA-KanTer-b,,,501008,45,,,,
01_out_Sat_SA-KanTer-b,,,201009,55,,,,
01_out_Sat_SA-KanTer-b,,,501010,65,,,,
01_out_Sat_SA-KanTer-b,,,501011,75,,,,
01_out_Sat_SA-KanTer-b,,,501012,80,,,,
01_out_Sat_SA-KanTer-b,,,501013,90,,,,
01_out_Sat_SA-KanTer-b,,,501014,95,,,,
01_out_Sat_SA-KanTer-b,,,501015,105,,,,
01_out_Sat_SA-KanTer-b,,,501016,115,,,,
01_out_Sat_SA-KanTer-b,09:13:00,09:13:00,101017,125,,,,
01_out_Sat_SA-KanTer-b,,,501018,130,,,,
01_out_Sat_SA-KanTer-b,,,501036,140,,,,
01_out_Sat_SA-KanTer-b,,,501037,145,,,,
01_out_Sat_SA-KanTer-b,,,501038,150,,,,
01_out_Sat_SA-KanTer-b,,,201039,155,,,,
01_out_Sat_SA-KanTer-b,,,501040,170,,,,
01_out_Sat_SA-KanTer-b,,,501041,180,,,,
01_out_Sat_SA-KanTer-b,,,301042,185,,,,
01_out_Sat_SA-KanTer-b,,,501043,195,,,,
01_out_Sat_SA-KanTer-b,,,501044,205,,,,
01_out_Sat_SA-KanTer-b,,,501045,210,,,,
01_out_Sat_SA-KanTer-b,,,501046,215,,,,
01_out_Sat_SA-KanTer-b,,,501047,225,,,,
01_out_Sat_SA-KanTer-b,09:28:00,09:28:00,101048,230,,,,
01_out_Sat_SA-KanTer-b,,,501049,250,,,,
01_out_Sat_SA-KanTer-b,,,501050,260,,,,
01_out_Sat_SA-KanTer-b,,,301051,275,,,,
01_out_Sat_SA-KanTer-b,,,501052,280,,,,
01_out_Sat_SA-KanTer-b,,,501053,285,,,,
01_out_Sat_SA-KanTer-b,,,501054,290,,,,
01_out_Sat_SA-KanTer-b,,,501055,295,,,,
01_out_Sat_SA-KanTer-b,,,501056,300,,,,
01_out_Sat_SA-KanTer-b,,,201057,305,,,,
01_out_Sat_SA-KanTer-b,,,501058,310,,,,
01_out_Sat_SA-KanTer-b,,,501059,320,,,,
01_out_Sat_SA-KanTer-b,,,501060,330,,,,
01_out_Sat_SA-KanTer-b,,,101061,335,,,,
01_out_Sat_SA-KanTer-b,,,501062,340,,,,
01_out_Sat_SA-KanTer-b,,,501063,355,,,,
01_out_Sat_SA-KanTer-b,,,501064,360,,,,
01_out_Sat_SA-KanTer-b,,,501066,365,,,,
01_out_Sat_SA-KanTer-b,,,501067,370,,,,
01_out_Sat_SA-KanTer-b,,,501068,375,,,,
01_out_Sat_SA-KanTer-b,,,501069,380,,,,
01_out_Sat_SA-KanTer-b,,,501070,395,,,,
01_out_Sat_SA-KanTer-b,,,501071,400,,,,
01_out_Sat_SA-KanTer-b,,,501072,415,,,,
01_out_Sat_SA-KanTer-b,,,501073,430,,,,
01_out_Sat_SA-KanTer-b,,,501074,440,,,,
01_out_Sat_SA-KanTer-b,,,501075,450,,,,
01_out_Sat_SA-KanTer-b,,,501076,465,,,,
01_out_Sat_SA-KanTer-b,,,501077,480,,,,
01_out_Sat_SA-KanTer-c,13:00:00,13:00:00,100003,5,,,,
01_out_Sat_SA-KanTer-c,,,201006,20,,,,
01_out_Sat_SA-KanTer-c,,,501007,30,,,,
01_out_Sat_SA-KanTer-c,,,501008,45,,,,
01_out_Sat_SA-KanTer-c,,,201009,55,,,,
01_out_Sat_SA-KanTer-c,,,501010,65,,,,
01_out_Sat_SA-KanTer-c,,,501011,75,,,,
01_out_Sat_SA-KanTer-c,,,501012,80,,,,
