trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
01_WC_out-a,06:45:00,06:45:00,100003,5,,,,
01_WC_out-a,,,201006,20,,,,
01_WC_out-a,,,501007,30,,,,
01_WC_out-a,,,501008,45,,,,
01_WC_out-a,,,201009,55,,,,
01_WC_out-a,,,501010,65,,,,
01_WC_out-a,,,501011,75,,,,
01_WC_out-a,,,501012,80,,,,
01_WC_out-a,,,501013,90,,,,
01_WC_out-a,,,501014,95,,,,
01_WC_out-a,,,501015,105,,,,
01_WC_out-a,,,501016,115,,,,
01_WC_out-a,06:57:00,06:57:00,101017,125,,,,
01_WC_out-a,,,501018,130,,,,
01_WC_out-a,,,501019,135,,,,
01_WC_out-a,,,501020,140,,,,
01_WC_out-b,07:15:00,07:15:00,100003,5,,,,
01_WC_out-b,,,201006,20,,,,
01_WC_out-b,,,501007,30,,,,
01_WC_out-b,,,501008,45,,,,
01_WC_out-b,,,201009,55,,,,
01_WC_out-b,,,501010,65,,,,
01_WC_out-b,,,501011,75,,,,
01_WC_out-b,,,501012,80,,,,
01_WC_out-b,,,501013,90,,,,
01_WC_out-b,,,501014,95,,,,
01_WC_out-b,,,501015,105,,,,
01_WC_out-b,,,501016,115,,,,
01_WC_out-b,07:27:00,07:27:00,101017,125,,,,
01_WC_out-b,,,501018,130,,,,
01_WC_out-b,,,501019,135,,,,
01_WC_out-b,,,501020,140,,,,
01_WC_out-c,07:45:00,07:45:00,100003,5,,,,
01_WC_out-c,,,201006,20,,,,
01_WC_out-c,,,501007,30,,,,
01_WC_out-c,,,501008,45,,,,
01_WC_out-c,,,201009,55,,,,
01_WC_out-c,,,501010,65,,,,
01_WC_out-c,,,501011,75,,,,
01_WC_out-c,,,501012,80,,,,
01_WC_out-c,,,501013,90,,,,
01_WC_out-c,,,501014,95,,,,
01_WC_out-c,,,501015,105,,,,
01_WC_out-c,,,501016,115,,,,
01_WC_out-c,07:57:00,07:57:00,101017,125,,,,
01_WC_out-c,,,501018,130,,,,
01_WC_out-c,,,501019,135,,,,
01_WC_out-c,,,501020,140,,,,
01_WC_out-d,08:15:00,08:15:00,100003,5,,,,
01_WC_out-d,,,201006,20,,,,
01_WC_out-d,,,501007,30,,,,
01_WC_out-d,,,501008,45,,,,
01_WC_out-d,,,201009,55,,,,
01_WC_out-d,,,501010,65,,,,
01_WC_out-d,,,501011,75,,,,
01_WC_out-d,,,501012,80,,,,
01_WC_out-d,,,501013,90,,,,
01_WC_out-d,,,501014,95,,,,
01_WC_out-d,,,501015,105,,,,
01_WC_out-d,,,501016,115,,,,
01_WC_out-d,08:27:00,08:27:00,101017,125,,,,
01_WC_out-d,,,501018,130,,,,
01_WC_out-d,,,501019,135,,,,
01_WC_out-d,,,501020,140,,,,
01_WC_out-e,08:45:00,08:45:00,100003,5,,,,
01_WC_out-e,,,201006,20,,,,
01_WC_out-e,,,501007,30,,,,
01_WC_out-e,,,501008,45,,,,
01_WC_out-e,,,201009,55,,,,
01_WC_out-e,,,501010,65,,,,
01_WC_out-e,,,501011,75,,,,
01_WC_out-e,,,501012,80,,,,
01_WC_out-e,,,501013,90,,,,
01_WC_out-e,,,501014,95,,,,
01_WC_out-e,,,501015,105,,,,
01_WC_out-e,,,501016,115,,,,
01_WC_out-e,08:57:00,08:57:00,101017,125,,,,
01_WC_out-e,,,501018,130,,,,
01_WC_out-e,,,501019,135,,,,
01_WC_out-e,,,501020,140,,,,
01_WC_out-f,09:15:00,09:15:00,100003,5,,,,
01_WC_out-f,,,201006,20,,,,
01_WC_out-f,,,501007,30,,,,
01_WC_out-f,,,501008,45,,,,
01_WC_out-f,,,201009,55,,,,
01_WC_out-f,,,501010,65,,,,
01_WC_out-f,,,501011,75,,,,
01_WC_out-f,,,501012,80,,,,
01_WC_out-f,,,501013,90,,,,
01_WC_out-f,,,501014,95,,,,
01_WC_out-f,,,501015,105,,,,
01_WC_out-f,,,501016,115,,,,
01_WC_out-f,09:27:00,09:27:00,101017,125,,,,
01_WC_out-f,,,501018,130,,,,
01_WC_out-f,,,501019,135,,,,
01_WC_out-f,,,501020,140,,,,
01_WC_out-g,09:45:00,09:45:00,100003,5,,,,
01_WC_out-g,,,201006,20,,,,
01_WC_out-g,,,501007,30,,,,
01_WC_out-g,,,501008,45,,,,
01_WC_out-g,,,201009,55,,,,
01_WC_out-g,,,501010,65,,,,
01_WC_out-g,,,501011,75,,,,
01_WC_out-g,,,501012,80,,,,
01_WC_out-g,,,501013,90,,,,
01_WC_out-g,,,501014,95,,,,
01_WC_out-g,,,501015,105,,,,
01_WC_out-g,,,501016,115,,,,
01_WC_out-g,09:57:00,09:57:00,101017,125,,,,
01_WC_out-g,,,501018,130,,,,
01_WC_out-g,,,501019,135,,,,
01_WC_out-g,,,501020,140,,,,
01_WC_out-h,10:15:00,10:15:00,100003,5,,,,
01_WC_out-h,,,201006,20,,,,
01_WC_out-h,,,501007,30,,,,
01_WC_out-h,,,501008,45,,,,
01_WC_out-h,,,201009,55,,,,
01_WC_out-h,,,501010,65,,,,
01_WC_out-h,,,501011,75,,,,
01_WC_out-h,,,501012,80,,,,
01_WC_out-h,,,501013,90,,,,
01_WC_out-h,,,501014,95,,,,
01_WC_out-h,,,501015,105,,,,
01_WC_out-h,,,501016,115,,,,
01_WC_out-h,10:27:00,10:27:00,101017,125,,,,
01_WC_out-h,,,501018,130,,,,
01_WC_out-h,,,501019,135,,,,
01_WC_out-h,,,501020,140,,,,
01_WC_out-i,10:45:00,10:45:00,100003,5,,,,
01_WC_out-i,,,201006,20,,,,
01_WC_out-i,,,501007,30,,,,
01_WC_out-i,,,501008,45,,,,
01_WC_out-i,,,201009,55,,,,
01_WC_out-i,,,501010,65,,,,
01_WC_out-i,,,501011,75,,,,
01_WC_out-i,,,501012,80,,,,
01_WC_out-i,,,501013,90,,,,
01_WC_out-i,,,501014,95,,,,
01_WC_out-i,,,501015,105,,,,
01_WC_out-i,,,501016,115,,,,
01_WC_out-i,10:57:00,10:57:00,101017,125,,,,
01_WC_out-i,,,501018,130,,,,
01_WC_out-i,,,501019,135,,,,
01_WC_out-i,,,501020,140,,,,
01_WC_out-j,11:15:00,11:15:00,100003,5,,,,
01_WC_out-j,,,201006,20,,,,
01_WC_out-j,,,501007,30,,,,
01_WC_out-j,,,501008,45,,,,
01_WC_out-j,,,201009,55,,,,
01_WC_out-j,,,501010,65,,,,
01_WC_out-j,,,501011,75,,,,
01_WC_out-j,,,501012,80,,,,
01_WC_out-j,,,501013,90,,,,
01_WC_out-j,,,501014,95,,,,
01_WC_out-j,,,501015,105,,,,
01_WC_out-j,,,501016,115,,,,
01_WC_out-j,11:27:00,11:27:00,101017,125,,,,
01_WC_out-j,,,501018,130,,,,
01_WC_out-j,,,501019,135,,,,
01_WC_out-j,,,501020,140,,,,
01_WC_out-k,11:55:00,11:55:00,100003,5,,,,
01_WC_out-k,,,201006,20,,,,
01_WC_out-k,,,501007,30,,,,
01_WC_out-k,,,501008,45,,,,
01_WC_out-k,,,201009,55,,,,
01_WC_out-k,,,501010,65,,,,
01_WC_out-k,,,501011,75,,,,
01_WC_out-k,,,501012,80,,,,
01_WC_out-k,,,501013,90,,,,
01_WC_out-k,,,501014,95,,,,
01_WC_out-k,,,501015,105,,,,
01_WC_out-k,,,501016,115,,,,
01_WC_out-k,12:07:00,12:07:00,101017,125,,,,
01_WC_out-k,,,501018,130,,,,
01_WC_out-k,,,501019,135,,,,
01_WC_out-k,,,501020,140,,,,
01_WC_out-l,12:15:00,12:15:00,100003,5,,,,
01_WC_out-l,,,201006,20,,,,
01_WC_out-l,,,501007,30,,,,
01_WC_out-l,,,501008,45,,,,
01_WC_out-l,,,201009,55,,,,
01_WC_out-l,,,501010,65,,,,
01_WC_out-l,,,501011,75,,,,
01_WC_out-l,,,501012,80,,,,
01_WC_out-l,,,501013,90,,,,
01_WC_out-l,,,501014,95,,,,
01_WC_out-l,,,501015,105,,,,
01_WC_out-l,,,501016,115,,,,
01_WC_out-l,12:27:00,12:27:00,101017,125,,,,
01_WC_out-l,,,501018,130,,,,
01_WC_out-l,,,501019,135,,,,
01_WC_out-l,,,501020,140,,,,
01_WC_out-m,12:45:00,12:45:00,100003,5,,,,
01_WC_out-m,,,201006,20,,,,
01_WC_out-m,,,501007,30,,,,
01_WC_out-m,,,501008,45,,,,
01_WC_out-m,,,201009,55,,,,
01_WC_out-m,,,501010,65,,,,
01_WC_out-m,,,501011,75,,,,
01_WC_out-m,,,501012,80,,,,
01_WC_out-m,,,501013,90,,,,
01_WC_out-m,,,501014,95,,,,
01_WC_out-m,,,501015,105,,,,
01_WC_out-m,,,501016,115,,,,
01_WC_out-m,12:57:00,12:57:00,101017,125,,,,
01_WC_out-m,,,501018,130,,,,
01_WC_out-m,,,501019,135,,,,
01_WC_out-m,,,501020,140,,,,
01_WC_out-n,13:15:00,13:15:00,100003,5,,,,
01_WC_out-n,,,201006,20,,,,
01_WC_out-n,,,501007,30,,,,
01_WC_out-n,,,501008,45,,,,
01_WC_out-n,,,201009,55,,,,
01_WC_out-n,,,501010,65,,,,
01_WC_out-n,,,501011,75,,,,
01_WC_out-n,,,501012,80,,,,
01_WC_out-n,,,501013,90,,,,
01_WC_out-n,,,501014,95,,,,
01_WC_out-n,,,501015,105,,,,
01_WC_out-n,,,501016,115,,,,
01_WC_out-n,13:27:00,13:27:00,101017,125,,,,
01_WC_out-n,,,501018,130,,,,
01_WC_out-n,,,501019,135,,,,
01_WC_out-n,,,501020,140,,,,
01_WC_out-o,13:55:00,13:55:00,100003,5,,,,
01_WC_out-o,,,201006,20,,,,
01_WC_out-o,,,501007,30,,,,
01_WC_out-o,,,501008,45,,,,
01_WC_out-o,,,201009,55,,,,
01_WC_out-o,,,501010,65,,,,
01_WC_out-o,,,501011,75,,,,
01_WC_out-o,,,501012,80,,,,
01_WC_out-o,,,501013,90,,,,
01_WC_out-o,,,501014,95,,,,
01_WC_out-o,,,501015,105,,,,
01_WC_out-o,,,501016,115,,,,
01_WC_out-o,14:07:00,14:07:00,101017,125,,,,
01_WC_out-o,,,501018,130,,,,
01_WC_out-o,,,501019,135,,,,
01_WC_out-o,,,501020,140,,,,
01_WC_out-p,14:15:00,14:15:00,100003,5,,,,
01_WC_out-p,,,201006,20,,,,
01_WC_out-p,,,501007,30,,,,
01_WC_out-p,,,501008,45,,,,
01_WC_out-p,,,201009,55,,,,
01_WC_out-p,,,501010,65,,,,
01_WC_out-p,,,501011,75,,,,
01_WC_out-p,,,501012,80,,,,
01_WC_out-p,,,501013,90,,,,
01_WC_out-p,,,501014,95,,,,
01_WC_out-p,,,501015,105,,,,
01_WC_out-p,,,501016,115,,,,
01_WC_out-p,14:27:00,14:27:00,101017,125,,,,
01_WC_out-p,,,501018,130,,,,
01_WC_out-p,,,501019,135,,,,
01_WC_out-p,,,501020,140,,,,
01_WC_out-q,14:55:00,14:55:00,100003,5,,,,
01_WC_out-q,,,201006,20,,,,
01_WC_out-q,,,501007,30,,,,
01_WC_out-q,,,501008,45,,,,
01_WC_out-q,,,201009,55,,,,
01_WC_out-q,,,501010,65,,,,
01_WC_out-q,,,501011,75,,,,
01_WC_out-q,,,501012,80,,,,
01_WC_out-q,,,501013,90,,,,
01_WC_out-q,,,501014,95,,,,
01_WC_out-q,,,501015,105,,,,
01_WC_out-q,,,501016,115,,,,
01_WC_out-q,15:07:00,15:07:00,101017,125,,,,
01_WC_out-q,,,501018,130,,,,
01_WC_out-q,,,501019,135,,,,
01_WC_out-q,,,501020,140,,,,
01_WC_out-r,15:15:00,15:15:00,100003,5,,,,
01_WC_out-r,,,201006,20,,,,
01_WC_out-r,,,501007,30,,,,
01_WC_out-r,,,501008,45,,,,
01_WC_out-r,,,201009,55,,,,
01_WC_out-r,,,501010,65,,,,
01_WC_out-r,,,501011,75,,,,
01_WC_out-r,,,501012,80,,,,
01_WC_out-r,,,501013,90,,,,
01_WC_out-r,,,501014,95,,,,
01_WC_out-r,,,501015,105,,,,
01_WC_out-r,,,501016,115,,,,
01_WC_out-r,15:27:00,15:27:00,101017,125,,,,
01_WC_out-r,,,501018,130,,,,
01_WC_out-r,,,501019,135,,,,
01_WC_out-r,,,501020,140,,,,
01_WC_out-s,16:15:00,16:15:00,100003,5,,,,
01_WC_out-s,,,201006,20,,,,
01_WC_out-s,,,501007,30,,,,
01_WC_out-s,,,501008,45,,,,
01_WC_out-s,,,201009,55,,,,
01_WC_out-s,,,501010,65,,,,
01_WC_out-s,,,501011,75,,,,
01_WC_out-s,,,501012,80,,,,
01_WC_out-s,,,501013,90,,,,
01_WC_out-s,,,501014,95,,,,
01_WC_out-s,,,501015,105,,,,
01_WC_out-s,,,501016,115,,,,
01_WC_out-s,16:27:00,16:27:00,101017,125,,,,
01_WC_out-s,,,501018,130,,,,
01_WC_out-s,,,501019,135,,,,
01_WC_out-s,,,501020,140,,,,
01_WC_out-t,18:57:00,18:57:00,101017,125,,,,
01_WC_out-t,,,501018,130,,,,
01_WC_out-t,,,501019,135,,,,
01_WC_out-t,,,501020,140,,,,
