trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
None-a,06:30:00,06:30:00,100003,5,,,,
None-a,,,201006,20,,,,
None-a,,,501007,30,,,,
None-a,,,501008,45,,,,
None-a,,,201009,55,,,,
None-a,,,501010,65,,,,
None-a,,,501011,75,,,,
None-a,,,501012,80,,,,
None-a,,,501013,90,,,,
None-a,,,501014,95,,,,
None-a,,,501015,105,,,,
None-a,,,501016,115,,,,
None-a,06:43:00,06:43:00,101017,125,,,,
None-a,,,501018,130,,,,
None-a,,,501019,135,,,,
None-a,,,501020,140,,,,
None-b,07:30:00,07:30:00,100003,5,,,,
None-b,,,201006,20,,,,
None-b,,,501007,30,,,,
None-b,,,501008,45,,,,
None-b,,,201009,55,,,,
None-b,,,501010,65,,,,
None-b,,,501011,75,,,,
None-b,,,501012,80,,,,
None-b,,,501013,90,,,,
None-b,,,501014,95,,,,
None-b,,,501015,105,,,,
None-b,,,501016,115,,,,
None-b,07:43:00,07:43:00,101017,125,,,,
None-b,,,501018,130,,,,
None-b,,,501019,135,,,,
None-b,,,501020,140,,,,
None-c,08:30:00,08:30:00,100003,5,,,,
None-c,,,201006,20,,,,
None-c,,,501007,30,,,,
None-c,,,501008,45,,,,
None-c,,,201009,55,,,,
None-c,,,501010,65,,,,
None-c,,,501011,75,,,,
None-c,,,501012,80,,,,
None-c,,,501013,90,,,,
None-c,,,501014,95,,,,
None-c,,,501015,105,,,,
None-c,,,501016,115,,,,
None-c,08:43:00,08:43:00,101017,125,,,,
None-c,,,501018,130,,,,
None-c,,,501019,135,,,,
None-c,,,501020,140,,,,
None-d,09:30:00,09:30:00,100003,5,,,,
None-d,,,201006,20,,,,
None-d,,,501007,30,,,,
None-d,,,501008,45,,,,
None-d,,,201009,55,,,,
None-d,,,501010,65,,,,
None-d,,,501011,75,,,,
None-d,,,501012,80,,,,
None-d,,,501013,90,,,,
None-d,,,501014,95,,,,
None-d,,,501015,105,,,,
None-d,,,501016,115,,,,
None-d,09:43:00,09:43:00,101017,125,,,,
None-d,,,501018,130,,,,
None-d,,,501019,135,,,,
None-d,,,501020,140,,,,
None-e,10:30:00,10:30:00,100003,5,,,,
None-e,,,201006,20,,,,
None-e,,,501007,30,,,,
None-e,,,501008,45,,,,
None-e,,,201009,55,,,,
None-e,,,501010,65,,,,
None-e,,,501011,75,,,,
None-e,,,501012,80,,,,
None-e,,,501013,90,,,,
None-e,,,501014,95,,,,
None-e,,,501015,105,,,,
None-e,,,501016,115,,,,
