trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-13_out_tm_psp-a,7:00:00,7:00:00,3,100,,,,
KRT_Saturday-13_out_tm_psp-a,,,2087,101,,,,
KRT_Saturday-13_out_tm_psp-a,,,3016,102,,,,
KRT_Saturday-13_out_tm_psp-a,,,3017,103,,,,
KRT_Saturday-13_out_tm_psp-a,,,3018,104,,,,
KRT_Saturday-13_out_tm_psp-a,,,3019,105,,,,
KRT_Saturday-13_out_tm_psp-a,,,3020,106,,,,
KRT_Saturday-13_out_tm_psp-a,,,13010,107,,,,
KRT_Saturday-13_out_tm_psp-a,,,13011,108,,,,
KRT_Saturday-13_out_tm_psp-a,,,13012,109,,,,
KRT_Saturday-13_out_tm_psp-a,,,13013,110,,,,
KRT_Saturday-13_out_tm_psp-a,,,13014,111,,,,
KRT_Saturday-13_out_tm_psp-a,,,13015,112,,,,
KRT_Saturday-13_out_tm_psp-a,,,13016,113,,,,
KRT_Saturday-13_out_tm_psp-a,,,13017,114,,,,
KRT_Saturday-13_out_tm_psp-a,7:14:00,7:14:00,13001,115,,,,
KRT_Saturday-13_out_tm_psp-a,,,13018,116,,,,
KRT_Saturday-13_out_tm_psp-a,,,3027,117,,,,
KRT_Saturday-13_out_tm_psp-a,,,3028,118,,,,
KRT_Saturday-13_out_tm_psp-a,,,1001,119,,,,
KRT_Saturday-13_out_tm_psp-a,,,1020,120,,,,
KRT_Saturday-13_out_tm_psp-a,,,1021,121,,,,
KRT_Saturday-13_out_tm_psp-a,,,1022,122,,,,
KRT_Saturday-13_out_tm_psp-a,7:24:00,7:24:00,1002,123,,,,
KRT_Saturday-13_out_tm_psp-b,8:00:00,8:00:00,3,100,,,,
KRT_Saturday-13_out_tm_psp-b,,,2087,101,,,,
KRT_Saturday-13_out_tm_psp-b,,,3016,102,,,,
KRT_Saturday-13_out_tm_psp-b,,,3017,103,,,,
KRT_Saturday-13_out_tm_psp-b,,,3018,104,,,,
