trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-16_in-a,6:30:00,6:30:00,16001,100,,,,
KRT_Saturday-16_in-a,,,16015,101,,,,
KRT_Saturday-16_in-a,,,16014,102,,,,
KRT_Saturday-16_in-a,,,16013,103,,,,
KRT_Saturday-16_in-a,,,16012,104,,,,
KRT_Saturday-16_in-a,,,16011,105,,,,
KRT_Saturday-16_in-a,,,16010,106,,,,
KRT_Saturday-16_in-a,,,2022,107,,,,
KRT_Saturday-16_in-a,,,2021,108,,,,
KRT_Saturday-16_in-a,,,2020,109,,,,
KRT_Saturday-16_in-a,,,2019,110,,,,
KRT_Saturday-16_in-a,6:45:00,6:45:00,2001,111,,,,
KRT_Saturday-16_in-a,,,2018,112,,,,
KRT_Saturday-16_in-a,,,3010,113,,,,
KRT_Saturday-16_in-a,,,3011,114,,,,
KRT_Saturday-16_in-a,,,3012,115,,,,
KRT_Saturday-16_in-a,,,3013,116,,,,
KRT_Saturday-16_in-a,,,3014,117,,,,
KRT_Saturday-16_in-a,,,3015,118,,,,
KRT_Saturday-16_in-a,7:00:00,7:00:00,4,119,,,,
KRT_Saturday-16_in-b,7:30:00,7:30:00,16001,100,,,,
KRT_Saturday-16_in-b,,,16015,101,,,,
KRT_Saturday-16_in-b,,,16014,102,,,,
KRT_Saturday-16_in-b,,,16013,103,,,,
KRT_Saturday-16_in-b,,,16012,104,,,,
KRT_Saturday-16_in-b,,,16011,105,,,,
KRT_Saturday-16_in-b,,,16010,106,,,,
KRT_Saturday-16_in-b,,,2022,107,,,,
KRT_Saturday-16_in-b,,,2021,108,,,,
KRT_Saturday-16_in-b,,,2020,109,,,,
KRT_Saturday-16_in-b,,,2019,110,,,,
KRT_Saturday-16_in-b,7:45:00,7:45:00,2001,111,,,,
KRT_Saturday-16_in-b,,,2018,112,,,,
KRT_Saturday-16_in-b,,,3010,113,,,,
KRT_Saturday-16_in-b,,,3011,114,,,,
KRT_Saturday-16_in-b,,,3012,115,,,,
KRT_Saturday-16_in-b,,,3013,116,,,,
KRT_Saturday-16_in-b,,,3014,117,,,,
KRT_Saturday-16_in-b,,,3015,118,,,,
KRT_Saturday-16_in-b,8:00:00,8:00:00,4,119,,,,
KRT_Saturday-16_in-c,8:30:00,8:30:00,16001,100,,,,
KRT_Saturday-16_in-c,,,16015,101,,,,
KRT_Saturday-16_in-c,,,16014,102,,,,
KRT_Saturday-16_in-c,,,16013,103,,,,
KRT_Saturday-16_in-c,,,16012,104,,,,
KRT_Saturday-16_in-c,,,16011,105,,,,
KRT_Saturday-16_in-c,,,16010,106,,,,
