trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-18_in_E_tm-a,6:54:00,6:54:00,18005,100,,,,
KRT_Saturday-18_in_E_tm-a,,,18027,101,,,,
KRT_Saturday-18_in_E_tm-a,,,18026,102,,,,
KRT_Saturday-18_in_E_tm-a,,,18025,103,,,,
KRT_Saturday-18_in_E_tm-a,,,18023,104,,,,
KRT_Saturday-18_in_E_tm-a,,,18022,105,,,,
KRT_Saturday-18_in_E_tm-a,,,18021,106,,,,
KRT_Saturday-18_in_E_tm-a,7:00:00,7:00:00,18003,107,,,,
KRT_Saturday-18_in_E_tm-a,,,18020,108,,,,
KRT_Saturday-18_in_E_tm-a,,,18019,109,,,,
KRT_Saturday-18_in_E_tm-a,,,18018,110,,,,
KRT_Saturday-18_in_E_tm-a,,,18017,111,,,,
KRT_Saturday-18_in_E_tm-a,,,18016,112,,,,
KRT_Saturday-18_in_E_tm-a,,,18015,113,,,,
KRT_Saturday-18_in_E_tm-a,,,18028,114,,,,
KRT_Saturday-18_in_E_tm-a,,,18029,115,,,,
KRT_Saturday-18_in_E_tm-a,7:10:00,7:10:00,18002,116,,,,
KRT_Saturday-18_in_E_tm-a,,,18014,117,,,,
KRT_Saturday-18_in_E_tm-a,,,18013,118,,,,
KRT_Saturday-18_in_E_tm-a,,,18012,119,,,,
KRT_Saturday-18_in_E_tm-a,,,18011,120,,,,
KRT_Saturday-18_in_E_tm-a,7:20:00,7:20:00,18001,121,,,,
KRT_Saturday-18_in_E_tm-a,,,18010,122,,,,
KRT_Saturday-18_in_E_tm-a,,,3087,123,,,,
KRT_Saturday-18_in_E_tm-a,,,3088,124,,,,
KRT_Saturday-18_in_E_tm-a,7:30:00,7:30:00,3,125,,,,
