trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-1sa_out_tm_sas_kanter-a,9:00:00,9:00:00,1,100,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1010,101,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1011,102,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1012,103,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1013,104,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1014,105,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1015,106,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1016,107,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1017,108,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1018,109,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1019,110,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,9:13:00,9:13:00,1001,111,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1030,112,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1031,113,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1032,114,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1034,115,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1035,116,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1036,117,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1037,118,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1038,119,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1039,120,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1040,121,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1041,122,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1042,123,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,9:28:00,9:28:00,1003,124,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1043,125,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1044,126,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1045,127,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1046,128,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1047,129,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1048,130,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1049,131,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1050,132,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1051,133,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1052,134,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1053,135,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1054,136,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1055,137,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1056,138,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1057,139,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1058,140,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1059,141,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1060,142,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1061,143,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1062,144,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1063,145,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1064,146,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1065,147,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1066,148,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1067,149,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,,,1068,150,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-a,9:50:00,9:50:00,1004,151,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,13:00:00,13:00:00,1,100,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1010,101,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1011,102,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1012,103,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1013,104,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1014,105,,,,
KRT_Saturday-1sa_out_tm_sas_kanter-b,,,1015,106,,,,
