trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-1wc_in_psp_tm-a,7:03:00,7:03:00,1002,100,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1023,101,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1024,102,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1020,103,,,,
KRT_Saturday-1wc_in_psp_tm-a,7:07:00,7:07:00,1001,104,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1019,105,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1018,106,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1017,107,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1016,108,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1015,109,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1025,110,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1026,111,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1027,112,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1028,113,,,,
KRT_Saturday-1wc_in_psp_tm-a,,,1029,114,,,,
KRT_Saturday-1wc_in_psp_tm-a,7:20:00,7:20:00,2,115,,,,
KRT_Saturday-1wc_in_psp_tm-b,8:03:00,8:03:00,1002,100,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1023,101,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1024,102,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1020,103,,,,
KRT_Saturday-1wc_in_psp_tm-b,8:07:00,8:07:00,1001,104,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1019,105,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1018,106,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1017,107,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1016,108,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1015,109,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1025,110,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1026,111,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1027,112,,,,
KRT_Saturday-1wc_in_psp_tm-b,,,1028,113,,,,
